stock1 - stock2,corr
./data\20MICRONS.json - ./data\21STCENMGM.json,0.047906167000987036
./data\20MICRONS.json - ./data\360ONE.json,0.001170283835984354
./data\20MICRONS.json - ./data\3IINFOLTD.json,0.18042030994044508
./data\20MICRONS.json - ./data\3MINDIA.json,0.03882296047075222
./data\20MICRONS.json - ./data\3PLAND.json,0.03485966874719864
./data\20MICRONS.json - ./data\5PAISA.json,-0.07155247914744803
./data\20MICRONS.json - ./data\63MOONS.json,0.11651586874563832
./data\20MICRONS.json - ./data\A2ZINFRA.json,0.011045204515598098
./data\20MICRONS.json - ./data\AAATECH.json,
./data\20MICRONS.json - ./data\AAKASH.json,-0.021073698903235936
./data\20MICRONS.json - ./data\AAREYDRUGS.json,
./data\20MICRONS.json - ./data\AARON.json,-0.12829445831047076
./data\20MICRONS.json - ./data\AARTECH.json,
./data\20MICRONS.json - ./data\AARTIDRUGS.json,-0.014020722807859359
./data\20MICRONS.json - ./data\AARTIIND.json,0.16690384786063678
./data\20MICRONS.json - ./data\AARTIPHARM.json,
./data\20MICRONS.json - ./data\AARTISURF.json,
./data\20MICRONS.json - ./data\AARVEEDEN.json,0.020976430732123644
./data\20MICRONS.json - ./data\AARVI.json,-0.02013968966148098
./data\20MICRONS.json - ./data\AAVAS.json,-0.11199733589820797
./data\20MICRONS.json - ./data\ABAN.json,
./data\20MICRONS.json - ./data\ABB.json,0.1772179441040018
./data\20MICRONS.json - ./data\ABBOTINDIA.json,0.15939895416602784
./data\20MICRONS.json - ./data\ABCAPITAL.json,-0.03704667684350853
./data\20MICRONS.json - ./data\ABFRL.json,-0.01509094630686849
./data\20MICRONS.json - ./data\ABMINTLLTD.json,-0.05507948929281162
./data\20MICRONS.json - ./data\ABSLAMC.json,
./data\20MICRONS.json - ./data\ACC.json,0.22773731841283512
./data\20MICRONS.json - ./data\ACCELYA.json,0.10692888285018728
./data\20MICRONS.json - ./data\ACCURACY.json,0.026227858186052163
./data\20MICRONS.json - ./data\ACE.json,0.22438563254236207
