,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,30044452.26385,106772025.862063,129662954.534861
Tax Rate For Calcs,0.224323,0.206908,0.224686,0.178656
Normalized EBITDA,14751802000.0,8627145000.0,7799213000.0,7493157000.0
Total Unusual Items,220312000.0,145207000.0,475206000.0,725770000.0
Total Unusual Items Excluding Goodwill,220312000.0,145207000.0,475206000.0,725770000.0
Net Income From Continuing Operation Net Minority Interest,10559289000.0,6196809000.0,5661219000.0,5903580000.0
Reconciled Depreciation,930401000.0,921163000.0,935009000.0,978792000.0
Reconciled Cost Of Revenue,20658202000.0,14749811000.0,11454974000.0,11763839000.0
EBITDA,14751802000.0,8772352000.0,8274419000.0,8218927000.0
EBIT,13821401000.0,7851189000.0,7339410000.0,7240135000.0
Net Interest Income,-201039000.0,701340000.0,418576000.0,115532000.0
Interest Expense,201039000.0,38504000.0,42931000.0,52892000.0
Interest Income,1070921000.0,786348000.0,500428000.0,213232000.0
Normalized Income,10559289000.0,6081646452.26385,5292785025.862063,5307472954.534861
Net Income From Continuing And Discontinued Operation,10559289000.0,6196809000.0,5661219000.0,5903580000.0
Total Expenses,36904241000.0,28863377000.0,22509778000.0,22934205000.0
Rent Expense Supplemental,15076000.0,4874000.0,5585000.0,7538000.0
Diluted Average Shares,94320370.0,94320370.0,94320370.0,94320370.0
Basic Average Shares,94320370.0,94320370.0,94320370.0,94320370.0
Diluted EPS,111.95,65.7,60.02,62.59
Basic EPS,111.95,65.7,60.02,62.59
Diluted NI Availto Com Stockholders,10559289000.0,6196809000.0,5661219000.0,5903580000.0
Net Income Common Stockholders,10559289000.0,6196809000.0,5661219000.0,5903580000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,10559289000.0,6196809000.0,5661219000.0,5903580000.0
Minority Interests,-5714000.0,629000.0,4155000.0,379000.0
Net Income Including Noncontrolling Interests,10565003000.0,6196180000.0,5657064000.0,5903201000.0
Net Income Continuous Operations,10565003000.0,6196180000.0,5657064000.0,5903201000.0
Tax Provision,3055359000.0,1616505000.0,1639415000.0,1284042000.0
Pretax Income,13620362000.0,7812685000.0,7296479000.0,7187243000.0
Other Non Operating Income Expenses,2345394000.0,8563000.0,9691000.0,109054000.0
Special Income Charges,-6565000.0,-2448000.0,-21637000.0,4619000.0
Other Special Charges,-1692000.0,1501000.0,21637000.0,-5725000.0
Write Off,8257000.0,947000.0,0.0,1106000.0
Net Non Operating Interest Income Expense,-201039000.0,701340000.0,418576000.0,115532000.0
Total Other Finance Cost,47328000.0,46504000.0,38921000.0,44808000.0
Interest Expense Non Operating,201039000.0,38504000.0,42931000.0,52892000.0
Interest Income Non Operating,1070921000.0,786348000.0,500428000.0,213232000.0
Operating Income,11476007000.0,6368257000.0,5678009000.0,5869932000.0
Operating Expense,16246039000.0,14113566000.0,11054804000.0,11170366000.0
Other Operating Expenses,9738636000.0,6422121000.0,5610278000.0,6375722000.0
Depreciation And Amortization In Income Statement,930401000.0,921163000.0,935009000.0,978792000.0
Amortization,8602000.0,9595000.0,8689000.0,7138000.0
Depreciation Income Statement,930401000.0,911568000.0,926320000.0,971654000.0
Selling General And Administration,4765425000.0,5104551000.0,3095259000.0,2593585000.0
Selling And Marketing Expense,4765425000.0,4660046000.0,2670518000.0,2177856000.0
General And Administrative Expense,609342000.0,444505000.0,424741000.0,415729000.0
Rent And Landing Fees,15076000.0,4874000.0,5585000.0,7538000.0
Gross Profit,27722046000.0,20481823000.0,16732813000.0,17040298000.0
Cost Of Revenue,20658202000.0,14749811000.0,11454974000.0,11763839000.0
Total Revenue,48380248000.0,35231634000.0,28187787000.0,28804137000.0
Operating Revenue,48380248000.0,35231634000.0,28187787000.0,28804137000.0
