,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,70691337.369044,-23867800.0,-368550000.0,121963920.0
Tax Rate For Calcs,0.270434,0.2284,0.3,0.2328
Normalized EBITDA,12225900000.0,17133600000.0,7205000000.0,5509600000.0
Total Unusual Items,261400000.0,-104500000.0,-1228500000.0,523900000.0
Total Unusual Items Excluding Goodwill,261400000.0,-104500000.0,-1228500000.0,523900000.0
Net Income From Continuing Operation Net Minority Interest,6295900000.0,9257300000.0,1729000000.0,2230000000.0
Reconciled Depreciation,2780100000.0,3433600000.0,3060900000.0,2316100000.0
Reconciled Cost Of Revenue,21855000000.0,180767100000.0,95517500000.0,67016700000.0
EBITDA,12487300000.0,17029100000.0,5976500000.0,6033500000.0
EBIT,9707200000.0,13595500000.0,2915600000.0,3717400000.0
Net Interest Income,-753800000.0,-1024800000.0,-1328600000.0,-617700000.0
Interest Expense,753800000.0,1094000000.0,1324800000.0,663000000.0
Interest Income,272900000.0,170300000.0,103900000.0,129200000.0
Normalized Income,6105191337.369044,9337932200.0,2588950000.0,1828063920.0
Net Income From Continuing And Discontinued Operation,6295900000.0,9257300000.0,1729000000.0,2230000000.0
Total Expenses,171882900000.0,187932600000.0,101127100000.0,70390900000.0
Rent Expense Supplemental,703400000.0,727300000.0,782700000.0,334800000.0
Diluted Average Shares,245695524.0,245695524.0,245695524.0,245695524.0
Basic Average Shares,245695524.0,245695524.0,245695524.0,245695524.0
Diluted EPS,25.62,37.68,7.04,9.08
Basic EPS,25.62,37.68,7.04,9.08
Diluted NI Availto Com Stockholders,6295900000.0,9257300000.0,1729000000.0,2230000000.0
Net Income Common Stockholders,6295900000.0,9257300000.0,1729000000.0,2230000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6295900000.0,9257300000.0,1729000000.0,2230000000.0
Minority Interests,-236200000.0,-388700000.0,777900000.0,-113400000.0
Net Income Including Noncontrolling Interests,6532100000.0,9646000000.0,951100000.0,2343400000.0
Net Income Discontinuous Operations,0.0,,,
Net Income Continuous Operations,6532100000.0,9646000000.0,951100000.0,2343400000.0
Tax Provision,2421300000.0,2855500000.0,639700000.0,711000000.0
Pretax Income,8953400000.0,12501500000.0,1590800000.0,3054400000.0
Other Non Operating Income Expenses,646600000.0,127000000.0,174500000.0,83900000.0
Special Income Charges,251800000.0,-114500000.0,-269500000.0,480500000.0
Other Special Charges,-251800000.0,-710900000.0,-90600000.0,-799800000.0
Write Off,669100000.0,825400000.0,360100000.0,215800000.0
Impairment Of Capital Assets,-9600000.0,,,
Restructuring And Mergern Acquisition,0.0,49800000.0,0.0,103500000.0
Net Non Operating Interest Income Expense,-753800000.0,-1024800000.0,-1328600000.0,-617700000.0
Total Other Finance Cost,107400000.0,101100000.0,107700000.0,83900000.0
Interest Expense Non Operating,753800000.0,1094000000.0,1324800000.0,663000000.0
Interest Income Non Operating,272900000.0,170300000.0,103900000.0,129200000.0
Operating Income,8624800000.0,12689900000.0,3757400000.0,2996100000.0
Operating Expense,150027900000.0,7165500000.0,5609600000.0,3374200000.0
Other Operating Expenses,150027900000.0,2335900000.0,2049400000.0,1728100000.0
Depreciation And Amortization In Income Statement,2780100000.0,,,
Depreciation Income Statement,2780100000.0,,,
Selling General And Administration,2568900000.0,2734200000.0,1805600000.0,1394900000.0
Selling And Marketing Expense,459900000.0,263200000.0,117200000.0,264400000.0
General And Administrative Expense,2109000000.0,2471000000.0,1688400000.0,1130500000.0
Rent And Landing Fees,703400000.0,727300000.0,782700000.0,312300000.0
Gross Profit,158652700000.0,19855400000.0,9367000000.0,6370300000.0
Cost Of Revenue,21855000000.0,180767100000.0,95517500000.0,67016700000.0
Total Revenue,180507700000.0,200622500000.0,104884500000.0,73387000000.0
Operating Revenue,180507700000.0,200622500000.0,104884500000.0,73387000000.0
