,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-258233250.0,-385637000.0,88219620.0
Tax Rate For Calcs,0.2825,0.2225,0.2833
Normalized EBITDA,65471000000.0,54608800000.0,51622100000.0
Total Unusual Items,-914100000.0,-1733200000.0,311400000.0
Total Unusual Items Excluding Goodwill,-914100000.0,-1733200000.0,311400000.0
Net Income From Continuing Operation Net Minority Interest,27803800000.0,23654400000.0,20950000000.0
Reconciled Depreciation,11524900000.0,11617800000.0,11525200000.0
Reconciled Cost Of Revenue,49193700000.0,45863800000.0,55429700000.0
EBITDA,64556900000.0,52875600000.0,51933500000.0
EBIT,53031300000.0,41257800000.0,40408300000.0
Net Interest Income,1879600000.0,2671100000.0,3582000000.0
Interest Expense,1386600000.0,1341900000.0,1655200000.0
Interest Income,3336200000.0,4073300000.0,5280700000.0
Normalized Income,28459666750.0,25001963000.0,20726819620.0
Net Income From Continuing And Discontinued Operation,27803800000.0,23654400000.0,20950000000.0
Total Expenses,235358600000.0,202231900000.0,230809300000.0
Rent Expense Supplemental,1695800000.0,1366200000.0,1886800000.0
Diluted Average Shares,1985960632.0,1985960632.0,1985960696.0
Basic Average Shares,1985645229.0,1985645229.0,1985645229.0
Diluted EPS,14.0,11.91,10.55
Basic EPS,14.0,11.91,10.55
Diluted NI Availto Com Stockholders,27803800000.0,23654400000.0,20950000000.0
Net Income Common Stockholders,27803800000.0,23654400000.0,20950000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,27803800000.0,23654400000.0,20950000000.0
Minority Interests,-9306600000.0,-7414000000.0,-6881600000.0
Net Income Including Noncontrolling Interests,37110400000.0,31068400000.0,27831600000.0
Net Income Continuous Operations,37110400000.0,31068400000.0,27831600000.0
Tax Provision,14534300000.0,8847500000.0,10921500000.0
Pretax Income,51644700000.0,39915900000.0,38753100000.0
Other Non Operating Income Expenses,452800000.0,243700000.0,84900000.0
Special Income Charges,-1095800000.0,-2004400000.0,-215100000.0
Other Special Charges,1204500000.0,1631000000.0,
Write Off,-108700000.0,373400000.0,215100000.0
Net Non Operating Interest Income Expense,1879600000.0,2671100000.0,3582000000.0
Total Other Finance Cost,70000000.0,60300000.0,43500000.0
Interest Expense Non Operating,1386600000.0,1341900000.0,1655200000.0
Interest Income Non Operating,3336200000.0,4073300000.0,5280700000.0
Operating Income,50122200000.0,38706700000.0,34576900000.0
Operating Expense,186164900000.0,156368100000.0,175379600000.0
Other Operating Expenses,159110200000.0,130362700000.0,149364200000.0
Depreciation And Amortization In Income Statement,11525600000.0,11617800000.0,11525200000.0
Amortization,165000000.0,94000000.0,67200000.0
Depreciation Income Statement,11360600000.0,11523800000.0,11458000000.0
Selling General And Administration,2530300000.0,1721900000.0,2411900000.0
Selling And Marketing Expense,1756200000.0,1205100000.0,1970500000.0
General And Administrative Expense,774100000.0,516800000.0,441400000.0
Rent And Landing Fees,1695800000.0,1366200000.0,1886800000.0
Gross Profit,236287100000.0,195074800000.0,209956500000.0
Cost Of Revenue,49193700000.0,45863800000.0,55429700000.0
Total Revenue,285480800000.0,240938600000.0,265386200000.0
Operating Revenue,285480800000.0,240938600000.0,265386200000.0
