,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,51025085.899745,7682238.0,-2270729202.0,2427278.0
Tax Rate For Calcs,0.226005,0.2467,0.3759,0.1234
Normalized EBITDA,33549870000.0,26785950000.0,29180220000.0,19552760000.0
Total Unusual Items,225770000.0,31140000.0,-6040780000.0,19670000.0
Total Unusual Items Excluding Goodwill,225770000.0,31140000.0,-6040780000.0,19670000.0
Net Income From Continuing Operation Net Minority Interest,11045360000.0,6386000000.0,3502130000.0,4763950000.0
Reconciled Depreciation,14191420000.0,13996730000.0,13149520000.0,11381180000.0
Reconciled Cost Of Revenue,146370559000.0,125219920000.0,95103170000.0,92010910000.0
EBITDA,33775640000.0,26817090000.0,23139440000.0,19572430000.0
EBIT,19584220000.0,12820360000.0,9989920000.0,8191250000.0
Net Interest Income,-5312350000.0,-4248650000.0,-3809820000.0,-2945920000.0
Interest Expense,5312350000.0,4343620000.0,4377760000.0,2756880000.0
Interest Income,257080000.0,402980000.0,821030000.0,55820000.0
Normalized Income,10870615085.899746,6362542238.0,7272180798.0,4746707278.0
Net Income From Continuing And Discontinued Operation,11045360000.0,6386000000.0,3502130000.0,4763950000.0
Total Expenses,226736189000.0,193856460000.0,154519730000.0,152980080000.0
Rent Expense Supplemental,214400000.0,119400000.0,113390000.0,242170000.0
Diluted Average Shares,635100946.0,635100946.0,616962997.0,572049980.0
Basic Average Shares,635100946.0,635100946.0,616962997.0,572049980.0
Diluted EPS,17.39,10.06,5.68,8.33
Basic EPS,17.39,10.06,5.68,8.33
Diluted NI Availto Com Stockholders,11045360000.0,6386000000.0,3502130000.0,4763950000.0
Net Income Common Stockholders,11045360000.0,6386000000.0,3502130000.0,4763950000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,11045360000.0,6386000000.0,3502130000.0,4763950000.0
Net Income Including Noncontrolling Interests,11046360000.0,6386000000.0,3502130000.0,4763950000.0
Net Income Continuous Operations,11046360000.0,6386000000.0,3502130000.0,4763950000.0
Tax Provision,3225510000.0,2090740000.0,2110030000.0,670420000.0
Pretax Income,14271870000.0,8476740000.0,5612160000.0,5434370000.0
Other Non Operating Income Expenses,410920000.0,128980000.0,169310000.0,393270000.0
Special Income Charges,225770000.0,31140000.0,-6040780000.0,19670000.0
Other Special Charges,-225770000.0,-31140000.0,6040780000.0,-19670000.0
Net Non Operating Interest Income Expense,-5312350000.0,-4248650000.0,-3809820000.0,-2945920000.0
Total Other Finance Cost,342150000.0,308010000.0,253090000.0,244860000.0
Interest Expense Non Operating,5312350000.0,4343620000.0,4377760000.0,2756880000.0
Interest Income Non Operating,257080000.0,402980000.0,821030000.0,55820000.0
Operating Income,18945111000.0,11951680000.0,15026340000.0,7984830000.0
Operating Expense,80365630000.0,68636540000.0,59416560000.0,60969170000.0
Other Operating Expenses,39975000000.0,14624040000.0,12216710000.0,13172260000.0
Depreciation And Amortization In Income Statement,14191420000.0,13996730000.0,13149520000.0,11381180000.0
Amortization,1230220000.0,,,
Depreciation Income Statement,14191420000.0,13996730000.0,13149520000.0,11381180000.0
Selling General And Administration,7066660000.0,17745890000.0,13167290000.0,13596830000.0
Selling And Marketing Expense,5130300000.0,16083170000.0,11703210000.0,12033330000.0
General And Administrative Expense,1936360000.0,1662720000.0,1464080000.0,1563500000.0
Rent And Landing Fees,214400000.0,119400000.0,113390000.0,242170000.0
Gross Profit,99310741000.0,80588220000.0,74442900000.0,68954000000.0
Cost Of Revenue,146370559000.0,125219920000.0,95103170000.0,92010910000.0
Total Revenue,245681300000.0,205808140000.0,169546070000.0,160964910000.0
Operating Revenue,245681300000.0,205808140000.0,169546070000.0,160964910000.0
