,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,1580205212.188696,573289468.278904,1048586765.947464
Tax Rate For Calcs,0.227209,0.194181,0.22181,0.221188
Normalized EBITDA,81673400000.0,71339900000.0,62545700000.0,64676500000.0
Total Unusual Items,0.0,8137800000.0,2584600000.0,4740700000.0
Total Unusual Items Excluding Goodwill,0.0,8137800000.0,2584600000.0,4740700000.0
Net Income From Continuing Operation Net Minority Interest,60602100000.0,61658700000.0,48570200000.0,52119100000.0
Reconciled Depreciation,2858500000.0,2697600000.0,2593700000.0,2464300000.0
Reconciled Cost Of Revenue,260934300000.0,249911600000.0,200776700000.0,214838600000.0
EBITDA,81673400000.0,79477700000.0,65130300000.0,69417200000.0
EBIT,78814900000.0,76780100000.0,62536600000.0,66952900000.0
Net Interest Income,-395100000.0,8787500000.0,9907700000.0,9463300000.0
Interest Expense,395100000.0,263300000.0,122300000.0,31600000.0
Interest Income,15987100000.0,9050800000.0,10030000000.0,9494900000.0
Normalized Income,60602100000.0,55101105212.1887,46558889468.27891,48426986765.947464
Net Income From Continuing And Discontinued Operation,60602100000.0,61658700000.0,48570200000.0,52119100000.0
Total Expenses,292268400000.0,269576100000.0,225641300000.0,243397800000.0
Rent Expense Supplemental,172200000.0,176600000.0,177600000.0,160500000.0
Diluted Average Shares,285206634.0,289145562.0,289244778.0,289267270.0
Basic Average Shares,285206634.0,289145562.0,289244778.0,289267270.0
Diluted EPS,212.5,213.2,167.9,180.2
Basic EPS,212.5,213.2,167.9,180.2
Diluted NI Availto Com Stockholders,60602100000.0,61658700000.0,48570200000.0,52119100000.0
Net Income Common Stockholders,60602100000.0,61658700000.0,48570200000.0,52119100000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,60602100000.0,61658700000.0,48570200000.0,52119100000.0
Minority Interests,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,60602100000.0,61658700000.0,48570200000.0,52119100000.0
Net Income Continuous Operations,60602100000.0,61658700000.0,48570200000.0,52119100000.0
Tax Provision,17817700000.0,14858100000.0,13844100000.0,14802200000.0
Pretax Income,78419800000.0,76516800000.0,62414300000.0,66921300000.0
Other Non Operating Income Expenses,11875200000.0,266700000.0,365500000.0,501700000.0
Special Income Charges,0.0,131800000.0,-115300000.0,-81600000.0
Other Special Charges,-986400000.0,-132000000.0,109100000.0,79400000.0
Write Off,59800000.0,200000.0,6200000.0,2200000.0
Net Non Operating Interest Income Expense,-395100000.0,8787500000.0,9907700000.0,9463300000.0
Interest Expense Non Operating,395100000.0,263300000.0,122300000.0,31600000.0
Interest Income Non Operating,15987100000.0,9050800000.0,10030000000.0,9494900000.0
Operating Income,61646800000.0,52771800000.0,46720600000.0,48307700000.0
Operating Expense,31334100000.0,19664500000.0,24864600000.0,28559200000.0
Other Operating Expenses,24269500000.0,10169600000.0,8852200000.0,11274700000.0
Depreciation And Amortization In Income Statement,2858500000.0,2697600000.0,2593700000.0,2464300000.0
Amortization,303500000.0,219800000.0,249700000.0,134200000.0
Depreciation Income Statement,2858500000.0,2477800000.0,2344000000.0,2330100000.0
Selling General And Administration,6106100000.0,4941100000.0,5032300000.0,7867100000.0
Selling And Marketing Expense,5962200000.0,4809100000.0,4948100000.0,7815500000.0
General And Administrative Expense,143900000.0,132000000.0,84200000.0,51600000.0
Rent And Landing Fees,172200000.0,176600000.0,177600000.0,160500000.0
Gross Profit,92980900000.0,72436300000.0,71585200000.0,76866900000.0
Cost Of Revenue,260934300000.0,249911600000.0,200776700000.0,214838600000.0
Total Revenue,353915200000.0,322347900000.0,272361900000.0,291705500000.0
Operating Revenue,353915200000.0,322347900000.0,272361900000.0,291705500000.0
