,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-22335440.0,447703.517075,-333537.051184
Tax Rate For Calcs,0.024754,0.3137,0.00984,0.045073
Normalized EBITDA,2851600000.0,2042500000.0,1809700000.0,4656600000.0
Total Unusual Items,0.0,-71200000.0,45500000.0,-7400000.0
Total Unusual Items Excluding Goodwill,0.0,-71200000.0,45500000.0,-7400000.0
Net Income From Continuing Operation Net Minority Interest,-1347300000.0,-2675400000.0,-2908200000.0,-499900000.0
Reconciled Depreciation,2132000000.0,2146600000.0,2157100000.0,2164100000.0
Reconciled Cost Of Revenue,51790100000.0,45877100000.0,56652300000.0,55815200000.0
EBITDA,2851600000.0,1971300000.0,1855200000.0,4649200000.0
EBIT,719600000.0,-175300000.0,-301900000.0,2485100000.0
Net Interest Income,-2101200000.0,-2526900000.0,-2625300000.0,-2985000000.0
Interest Expense,2101200000.0,2539900000.0,2635200000.0,3008700000.0
Interest Income,,13000000.0,9900000.0,23700000.0
Normalized Income,-1347300000.0,-2626535440.0,-2953252296.482925,-492833537.051184
Net Income From Continuing And Discontinued Operation,-1347300000.0,-2675400000.0,-2908200000.0,-499900000.0
Total Expenses,62883800000.0,55420000000.0,66090200000.0,63759600000.0
Rent Expense Supplemental,,30400000.0,59300000.0,31000000.0
Diluted Average Shares,,1199730942.0,1100700000.0,1100700000.0
Basic Average Shares,,1199730942.0,1100700000.0,1100700000.0
Diluted EPS,,-2.23,-2.64,-0.45
Basic EPS,,-2.23,-2.64,-0.45
Diluted NI Availto Com Stockholders,-1347300000.0,-2675400000.0,-2908200000.0,-499900000.0
Net Income Common Stockholders,-1347300000.0,-2675400000.0,-2908200000.0,-499900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1347300000.0,-2675400000.0,-2908200000.0,-499900000.0
Minority Interests,-100000.0,0.0,0.0,100000.0
Net Income Including Noncontrolling Interests,-1347400000.0,-2675400000.0,-2908200000.0,-500000000.0
Net Income Continuous Operations,-1347400000.0,-2675400000.0,-2908200000.0,-500000000.0
Tax Provision,-34200000.0,-39800000.0,-28900000.0,-23600000.0
Pretax Income,-1381600000.0,-2715200000.0,-2937100000.0,-523600000.0
Other Non Operating Income Expenses,223100000.0,298700000.0,157800000.0,96100000.0
Special Income Charges,0.0,-71200000.0,45500000.0,-7400000.0
Other Special Charges,,71200000.0,-45500000.0,7400000.0
Net Non Operating Interest Income Expense,-2101200000.0,-2526900000.0,-2625300000.0,-2985000000.0
Total Other Finance Cost,,,47500000.0,29000000.0
Interest Expense Non Operating,2101200000.0,2539900000.0,2635200000.0,3008700000.0
Interest Income Non Operating,,13000000.0,9900000.0,23700000.0
Operating Income,496500000.0,-422200000.0,-523900000.0,2381500000.0
Operating Expense,11093700000.0,9542900000.0,9437900000.0,7944400000.0
Other Operating Expenses,5167100000.0,3931100000.0,4375700000.0,2643500000.0
Depreciation And Amortization In Income Statement,2132000000.0,2146600000.0,2157100000.0,2164100000.0
Amortization,,,26600000.0,
Depreciation Income Statement,2132000000.0,2146600000.0,2130500000.0,2164100000.0
Selling General And Administration,,761500000.0,650500000.0,657900000.0
Selling And Marketing Expense,,611500000.0,521100000.0,570400000.0
General And Administrative Expense,,150000000.0,129400000.0,87500000.0
Rent And Landing Fees,,30400000.0,59300000.0,31000000.0
Gross Profit,11590200000.0,9120700000.0,8914000000.0,10325900000.0
Cost Of Revenue,51790100000.0,45877100000.0,56652300000.0,55815200000.0
Total Revenue,63380300000.0,54997800000.0,65566300000.0,66141100000.0
Operating Revenue,63380300000.0,54997800000.0,65566300000.0,66141100000.0
