,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.01303,0.023732,0.029633,0.07046
Net Income From Continuing Operation Net Minority Interest,48505200000.0,40556800000.0,36498300000.0,29920000000.0
Reconciled Depreciation,338600000.0,337100000.0,336100000.0,333300000.0
Net Interest Income,2622600000.0,2505800000.0,2494700000.0,2346500000.0
Interest Expense,69400000.0,31500000.0,38000000.0,125400000.0
Interest Income,2692000000.0,2537300000.0,2532700000.0,2471900000.0
Normalized Income,48505200000.0,40556800000.0,36498300000.0,29920000000.0
Net Income From Continuing And Discontinued Operation,48505200000.0,40556800000.0,36498300000.0,29920000000.0
Rent Expense Supplemental,68600000.0,60200000.0,51600000.0,109000000.0
Diluted Average Shares,111293510.0,111293510.0,111293510.0,111293510.0
Basic Average Shares,111293510.0,111293510.0,111293510.0,111293510.0
Diluted EPS,435.8,364.4,327.9,268.8
Basic EPS,435.8,364.4,327.9,268.8
Diluted NI Availto Com Stockholders,48505200000.0,40556800000.0,36498300000.0,29920000000.0
Net Income Common Stockholders,48505200000.0,40556800000.0,36498300000.0,29920000000.0
Net Income,48505200000.0,40556800000.0,36498300000.0,29920000000.0
Minority Interests,-956900000.0,-699300000.0,-43200000.0,-881900000.0
Net Income Including Noncontrolling Interests,49462100000.0,41256100000.0,36541500000.0,30801900000.0
Net Income Continuous Operations,49462100000.0,41256100000.0,36541500000.0,30801900000.0
Tax Provision,653000000.0,1002900000.0,1115900000.0,2334800000.0
Pretax Income,50115100000.0,42259000000.0,37657400000.0,33136700000.0
Gain On Sale Of Security,250700000.0,446200000.0,664500000.0,
Operating Expense,1759100000.0,1467200000.0,1389100000.0,1601800000.0
Other Operating Expenses,-6200000.0,-800000.0,-2100000.0,-2600000.0
Depreciation And Amortization In Income Statement,338600000.0,336900000.0,335900000.0,333100000.0
Depreciation Income Statement,338600000.0,336900000.0,335900000.0,333100000.0
Selling General And Administration,922700000.0,626300000.0,562100000.0,716900000.0
General And Administrative Expense,922700000.0,626300000.0,562100000.0,716900000.0
Rent And Landing Fees,68600000.0,60200000.0,51600000.0,109000000.0
Total Revenue,51874200000.0,43726200000.0,39046500000.0,34738500000.0
Operating Revenue,51874200000.0,43726200000.0,39046500000.0,34738500000.0
