,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,45653349.912851,-278070988.86797,96450000.0
Tax Rate For Calcs,0.4,0.054734,0.249235,0.3
Normalized EBITDA,12612100000.0,10557300000.0,-26381400000.0,3181400000.0
Total Unusual Items,,834100000.0,-1115700000.0,321500000.0
Total Unusual Items Excluding Goodwill,,834100000.0,-1115700000.0,321500000.0
Net Income From Continuing Operation Net Minority Interest,4773900000.0,4460300000.0,-26971100000.0,-14660100000.0
Reconciled Depreciation,2603400000.0,3141200000.0,4732500000.0,5032700000.0
Reconciled Cost Of Revenue,163007200000.0,147938400000.0,118706300000.0,162777600000.0
EBITDA,12612100000.0,11391400000.0,-27497100000.0,3502900000.0
EBIT,10008700000.0,8250200000.0,-32229600000.0,-1529800000.0
Net Interest Income,-5214300000.0,-1453400000.0,-1456900000.0,-1034800000.0
Interest Expense,5214300000.0,3545600000.0,3729700000.0,5060900000.0
Interest Income,,3027900000.0,3208600000.0,5091900000.0
Normalized Income,4773900000.0,3671853349.912851,-26133470988.86797,-14885150000.0
Net Income From Continuing And Discontinued Operation,4773900000.0,4460300000.0,-26971100000.0,-14660100000.0
Total Expenses,216800800000.0,197913900000.0,197622400000.0,215757100000.0
Rent Expense Supplemental,,609900000.0,622600000.0,825700000.0
Diluted Average Shares,3484598540.0,3482063355.0,3482100000.0,3482100000.0
Basic Average Shares,3484598540.0,3482063355.0,3482100000.0,3482100000.0
Diluted EPS,1.37,0.12,-7.75,-4.21
Basic EPS,1.37,0.12,-7.75,-4.21
Diluted NI Availto Com Stockholders,4773900000.0,4460300000.0,-26971100000.0,-14660100000.0
Net Income Common Stockholders,4773900000.0,4460300000.0,-26971100000.0,-14660100000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4773900000.0,4460300000.0,-26971100000.0,-14660100000.0
Minority Interests,,13200000.0,25900000.0,23400000.0
Net Income Including Noncontrolling Interests,4773900000.0,4447100000.0,-26997000000.0,-14683500000.0
Net Income Continuous Operations,4814900000.0,4447100000.0,-26997000000.0,-14683500000.0
Tax Provision,-20500000.0,257500000.0,-8962300000.0,8092800000.0
Pretax Income,4794400000.0,4704600000.0,-35959300000.0,-6590700000.0
Other Non Operating Income Expenses,4886300000.0,386500000.0,178100000.0,329300000.0
Special Income Charges,,834100000.0,-1129900000.0,257200000.0
Other Special Charges,,-834100000.0,-1653600000.0,-257200000.0
Write Off,,,2783500000.0,
Net Non Operating Interest Income Expense,-5214300000.0,-1453400000.0,-1456900000.0,-1034800000.0
Total Other Finance Cost,,935700000.0,935800000.0,1065800000.0
Interest Expense Non Operating,5214300000.0,3545600000.0,3729700000.0,5060900000.0
Interest Income Non Operating,,3027900000.0,3208600000.0,5091900000.0
Operating Income,4562200000.0,3619900000.0,-34664400000.0,-10811200000.0
Operating Expense,53793600000.0,49975500000.0,78916100000.0,52979500000.0
Other Operating Expenses,6470300000.0,-3056400000.0,24077200000.0,2559800000.0
Depreciation And Amortization In Income Statement,2603400000.0,3141200000.0,4732500000.0,5032700000.0
Depreciation Income Statement,2603400000.0,3141200000.0,4732500000.0,5032700000.0
Research And Development,,249300000.0,447000000.0,749700000.0
Selling General And Administration,,3715000000.0,3813900000.0,404700000.0
Selling And Marketing Expense,,2431700000.0,2182600000.0,54300000.0
General And Administrative Expense,,1283300000.0,1631300000.0,350400000.0
Rent And Landing Fees,,609900000.0,622600000.0,
Gross Profit,58355800000.0,53595400000.0,44251700000.0,42168300000.0
Cost Of Revenue,163007200000.0,147938400000.0,118706300000.0,162777600000.0
Total Revenue,221363000000.0,201533800000.0,162958000000.0,204945900000.0
Operating Revenue,221363000000.0,201533800000.0,162958000000.0,204945900000.0
