,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-825378887.526474,-219120000.0,358955819.565621,204310202.360877
Tax Rate For Calcs,0.283246,0.22,0.205588,0.265683
Normalized EBITDA,27206000000.0,19645000000.0,16756000000.0,17283000000.0
Total Unusual Items,-2914000000.0,-996000000.0,1746000000.0,769000000.0
Total Unusual Items Excluding Goodwill,-2914000000.0,-996000000.0,1746000000.0,769000000.0
Net Income From Continuing Operation Net Minority Interest,4627000000.0,6484000000.0,7502000000.0,7482000000.0
Reconciled Depreciation,11131000000.0,8142000000.0,7151000000.0,5522000000.0
Reconciled Cost Of Revenue,36631000000.0,27236000000.0,22102000000.0,20543000000.0
EBITDA,24292000000.0,18649000000.0,18502000000.0,18052000000.0
EBIT,13161000000.0,10507000000.0,11351000000.0,12530000000.0
Net Interest Income,-4190000000.0,445000000.0,193000000.0,154000000.0
Interest Expense,4190000000.0,676000000.0,577000000.0,670000000.0
Interest Income,1124000000.0,1121000000.0,770000000.0,824000000.0
Normalized Income,6715621112.473526,7260880000.0,6114955819.565621,6917310202.360877
Net Income From Continuing And Discontinued Operation,4627000000.0,6484000000.0,7405000000.0,7482000000.0
Total Expenses,101678000000.0,73147000000.0,63654000000.0,55050000000.0
Rent Expense Supplemental,29000000.0,38000000.0,58000000.0,5000000.0
Diluted Average Shares,1195925590.0,1196351671.0,1196760905.0,1187294477.0
Basic Average Shares,1193095945.0,1191074681.0,1187130762.0,1184130514.0
Diluted EPS,3.87,5.42,6.19,6.3
Basic EPS,3.88,5.44,6.24,6.32
Diluted NI Availto Com Stockholders,4627000000.0,6484000000.0,7405000000.0,7482000000.0
Net Income Common Stockholders,4627000000.0,6484000000.0,7405000000.0,7482000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4627000000.0,6484000000.0,7405000000.0,7482000000.0
Minority Interests,-1803000000.0,-1232000000.0,-1057000000.0,-1227000000.0
Net Income Including Noncontrolling Interests,6430000000.0,7716000000.0,8462000000.0,8709000000.0
Net Income Discontinuous Operations,,,-97000000.0,
Net Income Continuous Operations,6430000000.0,7716000000.0,8559000000.0,8709000000.0
Tax Provision,2541000000.0,2115000000.0,2215000000.0,3151000000.0
Pretax Income,8971000000.0,9831000000.0,10774000000.0,11860000000.0
Other Non Operating Income Expenses,7681000000.0,4771000000.0,3572000000.0,3508000000.0
Special Income Charges,-2914000000.0,-843000000.0,1633000000.0,663000000.0
Other Special Charges,2914000000.0,835000000.0,-1650000000.0,-664000000.0
Write Off,10000000.0,8000000.0,17000000.0,1000000.0
Net Non Operating Interest Income Expense,-4190000000.0,445000000.0,193000000.0,154000000.0
Interest Expense Non Operating,4190000000.0,676000000.0,577000000.0,670000000.0
Interest Income Non Operating,1124000000.0,1121000000.0,770000000.0,824000000.0
Operating Income,10064000000.0,7101000000.0,6047000000.0,7065000000.0
Operating Expense,65047000000.0,45911000000.0,41552000000.0,34507000000.0
Other Operating Expenses,32106000000.0,11054000000.0,9390000000.0,8596000000.0
Depreciation And Amortization In Income Statement,11131000000.0,8142000000.0,7151000000.0,5522000000.0
Amortization,2914000000.0,1310000000.0,1131000000.0,567000000.0
Depreciation Income Statement,11131000000.0,6832000000.0,6020000000.0,4955000000.0
Research And Development,6132000000.0,5028000000.0,3950000000.0,3077000000.0
Selling General And Administration,4867000000.0,4307000000.0,4869000000.0,4216000000.0
Selling And Marketing Expense,2216000000.0,2438000000.0,2340000000.0,2703000000.0
General And Administrative Expense,2651000000.0,1869000000.0,2529000000.0,1513000000.0
Rent And Landing Fees,29000000.0,38000000.0,58000000.0,5000000.0
Gross Profit,75111000000.0,53012000000.0,47599000000.0,41572000000.0
Cost Of Revenue,36631000000.0,27236000000.0,22102000000.0,20543000000.0
Total Revenue,111742000000.0,80248000000.0,69701000000.0,62115000000.0
Operating Revenue,111742000000.0,80248000000.0,69701000000.0,62115000000.0
