,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-2753172460.680649,1957630114.0,12151080467.875832,-5458980000.0
Tax Rate For Calcs,0.244611,0.27158,0.227897,0.3
Normalized EBITDA,145782500000.0,230815700000.0,233810300000.0,116360300000.0
Total Unusual Items,-11255300000.0,7208300000.0,53318300000.0,-18196600000.0
Total Unusual Items Excluding Goodwill,-11255300000.0,7208300000.0,53318300000.0,-18196600000.0
Net Income From Continuing Operation Net Minority Interest,21310500000.0,116815000000.0,161649800000.0,30553600000.0
Reconciled Depreciation,63688200000.0,54343500000.0,43342100000.0,40800900000.0
Reconciled Cost Of Revenue,4395811100000.0,3139793100000.0,1957530800000.0,2613837700000.0
EBITDA,134527200000.0,238024000000.0,287128600000.0,98163700000.0
EBIT,70839000000.0,183680500000.0,243786500000.0,57362800000.0
Net Interest Income,-42627700000.0,-12810100000.0,-8901100000.0,-10582800000.0
Interest Expense,42627700000.0,23313200000.0,19466300000.0,20847100000.0
Interest Income,7654100000.0,10887200000.0,10851900000.0,10597200000.0
Normalized Income,29812627539.31935,111564330114.0,120482580467.87582,43291220000.0
Net Income From Continuing And Discontinued Operation,21310500000.0,116815000000.0,161649800000.0,30553600000.0
Total Expenses,4686678900000.0,3308177000000.0,2120520200000.0,2760874000000.0
Rent Expense Supplemental,8698800000.0,4231000000.0,1294600000.0,1684700000.0
Diluted Average Shares,2129500000.0,2127500000.0,1981000000.0,1966900000.0
Basic Average Shares,2129500000.0,2127500000.0,1974500000.0,1966900000.0
Diluted EPS,10.01,54.91,81.6,15.53
Basic EPS,10.01,54.91,81.87,15.53
Diluted NI Availto Com Stockholders,21310500000.0,116815000000.0,161649800000.0,30553600000.0
Net Income Common Stockholders,21310500000.0,116815000000.0,161649800000.0,30553600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,21310500000.0,116815000000.0,161649800000.0,30553600000.0
Minority Interests,0.0,0.0,-11548500000.0,-6104200000.0
Net Income Including Noncontrolling Interests,21310500000.0,116815000000.0,173198300000.0,36657800000.0
Net Income Continuous Operations,21310500000.0,116815000000.0,173198300000.0,36657800000.0
Tax Provision,6900800000.0,43552300000.0,51121900000.0,-142100000.0
Pretax Income,28211300000.0,160367300000.0,224320200000.0,36515700000.0
Other Non Operating Income Expenses,14982200000.0,7733500000.0,7884100000.0,4517400000.0
Special Income Charges,-11255300000.0,13996600000.0,52024400000.0,-20698400000.0
Other Special Charges,1869800000.0,-13622300000.0,-52437300000.0,13544400000.0
Write Off,9385500000.0,-374300000.0,88800000.0,823800000.0
Impairment Of Capital Assets,625900000.0,0.0,324100000.0,6330200000.0
Restructuring And Mergern Acquisition,0.0,,,
Net Non Operating Interest Income Expense,-42627700000.0,-12810100000.0,-8901100000.0,-10582800000.0
Total Other Finance Cost,291400000.0,384100000.0,286700000.0,332900000.0
Interest Expense Non Operating,42627700000.0,23313200000.0,19466300000.0,20847100000.0
Interest Income Non Operating,7654100000.0,10887200000.0,10851900000.0,10597200000.0
Operating Income,45192900000.0,147783300000.0,170569700000.0,70061200000.0
Operating Expense,290867800000.0,168383900000.0,162989400000.0,147036300000.0
Other Operating Expenses,263117700000.0,134513700000.0,116741700000.0,111951300000.0
Selling General And Administration,9164900000.0,7509700000.0,6926000000.0,7979000000.0
General And Administrative Expense,9164900000.0,7509700000.0,6926000000.0,7979000000.0
Rent And Landing Fees,8698800000.0,4231000000.0,1294600000.0,1684700000.0
Gross Profit,336060700000.0,316167200000.0,333559100000.0,217097500000.0
Cost Of Revenue,4395811100000.0,3139793100000.0,1957530800000.0,2613837700000.0
Total Revenue,4731871800000.0,3455960300000.0,2291089900000.0,2830935200000.0
Operating Revenue,4731871800000.0,3455960300000.0,2291089900000.0,2830935200000.0
