,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,887303092.552353,78149280.0,172036410.0,163739180.0
Tax Rate For Calcs,0.236236,0.2706,0.2639,0.2222
Normalized EBITDA,30521800000.0,23917000000.0,27525800000.0,20285700000.0
Total Unusual Items,3756000000.0,288800000.0,651900000.0,736900000.0
Total Unusual Items Excluding Goodwill,3756000000.0,288800000.0,651900000.0,736900000.0
Net Income From Continuing Operation Net Minority Interest,23217700000.0,15248200000.0,18639000000.0,14026300000.0
Reconciled Depreciation,2259100000.0,2005400000.0,1978500000.0,1848100000.0
Reconciled Cost Of Revenue,95913000000.0,88002900000.0,76641800000.0,69661300000.0
EBITDA,34277800000.0,24205800000.0,28177700000.0,21022600000.0
EBIT,32018700000.0,22200400000.0,26199200000.0,19167400000.0
Net Interest Income,-1691000000.0,403100000.0,1237600000.0,998700000.0
Interest Expense,1691000000.0,1417100000.0,1063100000.0,724400000.0
Interest Income,1631500000.0,1846000000.0,2346600000.0,1767700000.0
Normalized Income,20349003092.552353,15037549280.0,18159136410.0,13453139180.0
Net Income From Continuing And Discontinued Operation,23217700000.0,15248200000.0,18639000000.0,14026300000.0
Total Expenses,133799000000.0,119437000000.0,105716000000.0,97863300000.0
Rent Expense Supplemental,871100000.0,397900000.0,368300000.0,340500000.0
Diluted Average Shares,240868296.0,240868296.0,240800190.0,240438381.0
Basic Average Shares,240868296.0,240868296.0,240716747.0,240379360.0
Diluted EPS,96.39,63.31,77.4,58.34
Basic EPS,96.39,63.31,77.43,58.35
Diluted NI Availto Com Stockholders,23217700000.0,15248200000.0,18639000000.0,14026300000.0
Net Income Common Stockholders,23217700000.0,15248200000.0,18639000000.0,14026300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,23217700000.0,15248200000.0,18639000000.0,14026300000.0
Minority Interests,54500000.0,88400000.0,133100000.0,90300000.0
Net Income Including Noncontrolling Interests,23163200000.0,15159800000.0,18505900000.0,13936000000.0
Net Income Continuous Operations,23163200000.0,15159800000.0,18505900000.0,13936000000.0
Tax Provision,7164500000.0,5623500000.0,6630200000.0,4507000000.0
Pretax Income,30327700000.0,20783300000.0,25136100000.0,18443000000.0
Other Non Operating Income Expenses,2158600000.0,50600000.0,103600000.0,67200000.0
Special Income Charges,3756000000.0,-300000.0,-2800000.0,-161900000.0
Other Special Charges,-3764300000.0,300000.0,2800000.0,169000000.0
Write Off,55900000.0,,,0.0
Impairment Of Capital Assets,,,,-7100000.0
Restructuring And Mergern Acquisition,,9800000.0,,
Net Non Operating Interest Income Expense,-1691000000.0,403100000.0,1237600000.0,998700000.0
Total Other Finance Cost,33900000.0,25800000.0,45900000.0,44600000.0
Interest Expense Non Operating,1691000000.0,1417100000.0,1063100000.0,724400000.0
Interest Income Non Operating,1631500000.0,1846000000.0,2346600000.0,1767700000.0
Operating Income,26050000000.0,20009700000.0,23114400000.0,16576600000.0
Operating Expense,37886000000.0,31434100000.0,29074200000.0,28202000000.0
Other Operating Expenses,32199600000.0,14115900000.0,12806100000.0,11867100000.0
Depreciation And Amortization In Income Statement,2259100000.0,2005400000.0,1978500000.0,1855200000.0
Amortization,,,,29300000.0
Depreciation Income Statement,2259100000.0,2005400000.0,1978500000.0,1825900000.0
Selling General And Administration,13790600000.0,11408200000.0,11178500000.0,10827900000.0
Selling And Marketing Expense,13654600000.0,11299800000.0,11072700000.0,10755100000.0
General And Administrative Expense,136000000.0,108400000.0,105800000.0,72800000.0
Rent And Landing Fees,871100000.0,397900000.0,368300000.0,340500000.0
Gross Profit,63936000000.0,51443800000.0,52188600000.0,44778600000.0
Cost Of Revenue,95913000000.0,88002900000.0,76641800000.0,69661300000.0
Total Revenue,159849000000.0,139446700000.0,128830400000.0,114439900000.0
Operating Revenue,159849000000.0,139446700000.0,128830400000.0,114439900000.0
