,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-147317.764766
Tax Rate For Calcs,0.118439,0.218047,0.223702,0.263538
Normalized EBITDA,4031080000.0,3322352000.0,3001104000.0,2880960000.0
Total Unusual Items,1725000.0,,,-559000.0
Total Unusual Items Excluding Goodwill,1725000.0,,,-559000.0
Net Income From Continuing Operation Net Minority Interest,2688783000.0,2043505000.0,1822616000.0,1659360000.0
Reconciled Depreciation,637045000.0,574630000.0,494115000.0,471122000.0
Reconciled Cost Of Revenue,11295801000.0,8153855000.0,6886268000.0,6286908000.0
EBITDA,4031080000.0,3322352000.0,3001104000.0,2880401000.0
EBIT,3394035000.0,2747722000.0,2506989000.0,2409279000.0
Net Interest Income,-344009000.0,-162254000.0,-167383000.0,-162876000.0
Interest Expense,344009000.0,134386000.0,159159000.0,156128000.0
Interest Income,1435000.0,1336000.0,2162000.0,16757000.0
Normalized Income,2688783000.0,2043505000.0,1822616000.0,1659771682.235234
Net Income From Continuing And Discontinued Operation,2688783000.0,2043505000.0,1822616000.0,1659360000.0
Total Expenses,17350621000.0,11954039000.0,9992420000.0,9077660000.0
Rent Expense Supplemental,15141000.0,21295000.0,13184000.0,10640000.0
Diluted Average Shares,133027920.0,133027920.0,133027920.0,133027920.0
Basic Average Shares,133027920.0,133027920.0,133027920.0,133027920.0
Diluted EPS,20.21,15.36,13.7,12.47
Basic EPS,20.21,15.36,13.7,12.47
Diluted NI Availto Com Stockholders,2688783000.0,2043505000.0,1822616000.0,1659360000.0
Net Income Common Stockholders,2688783000.0,2043505000.0,1822616000.0,1659360000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2688783000.0,2043505000.0,1822616000.0,1659360000.0
Minority Interests,0.0,,,
Net Income Including Noncontrolling Interests,2688783000.0,2043505000.0,1822616000.0,1659360000.0
Net Income Continuous Operations,2688783000.0,2043505000.0,1822615000.0,1659360000.0
Tax Provision,361243000.0,569831000.0,525215000.0,593791000.0
Pretax Income,3050026000.0,2613336000.0,2347830000.0,2253151000.0
Other Non Operating Income Expenses,32558000.0,39596000.0,30693000.0,26435000.0
Special Income Charges,1725000.0,,,0.0
Other Special Charges,25000.0,,,
Write Off,-1750000.0,,,0.0
Net Non Operating Interest Income Expense,-344009000.0,-162254000.0,-167383000.0,-162876000.0
Total Other Finance Cost,31379000.0,29204000.0,10386000.0,23505000.0
Interest Expense Non Operating,344009000.0,134386000.0,159159000.0,156128000.0
Interest Income Non Operating,1435000.0,1336000.0,2162000.0,16757000.0
Operating Income,3361539000.0,2666250000.0,2432383000.0,2313867000.0
Operating Expense,6054820000.0,3800184000.0,3106152000.0,2790752000.0
Other Operating Expenses,4283141000.0,1789995000.0,1302841000.0,1244801000.0
Depreciation And Amortization In Income Statement,637045000.0,574630000.0,494115000.0,471122000.0
Depreciation Income Statement,637045000.0,574630000.0,494115000.0,471122000.0
Selling General And Administration,524051000.0,424475000.0,491227000.0,351026000.0
Selling And Marketing Expense,402871000.0,290567000.0,417660000.0,280406000.0
General And Administrative Expense,121180000.0,133908000.0,73567000.0,70620000.0
Rent And Landing Fees,15141000.0,21295000.0,13184000.0,10640000.0
Gross Profit,9416359000.0,6466434000.0,5538535000.0,5104619000.0
Cost Of Revenue,11295801000.0,8153855000.0,6886268000.0,6286908000.0
Total Revenue,20712160000.0,14620289000.0,12424803000.0,11391527000.0
Operating Revenue,20712160000.0,14620289000.0,12424803000.0,11391527000.0
