,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,468124480.0,4955249.266862,575651.120533,-7590000.0
Tax Rate For Calcs,0.3488,0.24653,0.08722,0.3
Normalized EBITDA,5530100000.0,4854300000.0,2846600000.0,6017700000.0
Total Unusual Items,1342100000.0,20100000.0,6600000.0,-25300000.0
Total Unusual Items Excluding Goodwill,1342100000.0,20100000.0,6600000.0,-25300000.0
Net Income From Continuing Operation Net Minority Interest,2718800000.0,1589900000.0,-119000000.0,3829000000.0
Reconciled Depreciation,2270800000.0,2306600000.0,2311300000.0,2285800000.0
Reconciled Cost Of Revenue,28087300000.0,25525100000.0,15090500000.0,18432500000.0
EBITDA,6872200000.0,4874400000.0,2853200000.0,5992400000.0
EBIT,4601400000.0,2567800000.0,541900000.0,3706600000.0
Net Interest Income,-538900000.0,-455100000.0,-342000000.0,-796100000.0
Interest Expense,538900000.0,521800000.0,707000000.0,862700000.0
Interest Income,56700000.0,66700000.0,365000000.0,66600000.0
Normalized Income,1844824480.0,1574755249.266862,-125024348.879467,3846710000.0
Net Income From Continuing And Discontinued Operation,2718800000.0,1665300000.0,-304400000.0,3652500000.0
Total Expenses,44190700000.0,38446300000.0,25672900000.0,29839700000.0
Rent Expense Supplemental,40000000.0,22700000.0,22200000.0,33800000.0
Diluted Average Shares,111695680.0,111695680.0,111695680.0,111695680.0
Basic Average Shares,111695680.0,111695680.0,111695680.0,111695680.0
Diluted EPS,24.34,14.91,-2.73,32.7
Basic EPS,24.34,14.91,-2.73,32.7
Diluted NI Availto Com Stockholders,2718800000.0,1665300000.0,-304400000.0,3652500000.0
Net Income Common Stockholders,2718800000.0,1665300000.0,-304400000.0,3652500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2718800000.0,1665300000.0,-304400000.0,3652500000.0
Minority Interests,73300000.0,48300000.0,31700000.0,48200000.0
Net Income Including Noncontrolling Interests,2645500000.0,1617000000.0,-336100000.0,3604300000.0
Net Income Discontinuous Operations,0.0,75400000.0,-185400000.0,-176500000.0
Net Income Continuous Operations,2645500000.0,1541600000.0,-150700000.0,3780800000.0
Tax Provision,1417000000.0,504400000.0,-14400000.0,-936900000.0
Pretax Income,4062500000.0,2046000000.0,-165100000.0,2843900000.0
Other Non Operating Income Expenses,275200000.0,130600000.0,111100000.0,159800000.0
Special Income Charges,1342100000.0,20100000.0,6900000.0,7000000.0
Other Special Charges,-1344000000.0,-20100000.0,-6900000.0,-7000000.0
Net Non Operating Interest Income Expense,-538900000.0,-455100000.0,-342000000.0,-796100000.0
Interest Expense Non Operating,538900000.0,521800000.0,707000000.0,862700000.0
Interest Income Non Operating,56700000.0,66700000.0,365000000.0,66600000.0
Operating Income,3002500000.0,2248200000.0,700000.0,3484500000.0
Operating Expense,16103400000.0,12921200000.0,10582400000.0,11407200000.0
Other Operating Expenses,10195900000.0,6972000000.0,5317700000.0,6099100000.0
Depreciation And Amortization In Income Statement,2270800000.0,2306600000.0,2311300000.0,2285800000.0
Amortization,24000000.0,20200000.0,19700000.0,13900000.0
Depreciation Income Statement,2270800000.0,2286400000.0,2291600000.0,2271900000.0
Selling General And Administration,991700000.0,973500000.0,604600000.0,859100000.0
Selling And Marketing Expense,991700000.0,762700000.0,412700000.0,735700000.0
General And Administrative Expense,234000000.0,210800000.0,191900000.0,123400000.0
Rent And Landing Fees,40000000.0,22700000.0,22200000.0,33800000.0
Gross Profit,19105900000.0,15169400000.0,10583100000.0,14891700000.0
Cost Of Revenue,28087300000.0,25525100000.0,15090500000.0,18432500000.0
Total Revenue,47193200000.0,40694500000.0,25673600000.0,33324200000.0
Operating Revenue,47193200000.0,40694500000.0,25673600000.0,33324200000.0
