,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,20464919.73336,43909210.51128,-48486773.247868
Tax Rate For Calcs,0.248538,0.270053,0.273668,0.28035
Normalized EBITDA,7715908000.0,5907568000.0,5531652000.0,5037758000.0
Total Unusual Items,0.0,75781000.0,160447000.0,-172951000.0
Total Unusual Items Excluding Goodwill,0.0,75781000.0,160447000.0,-172951000.0
Net Income From Continuing Operation Net Minority Interest,4026539000.0,2921753000.0,2740490000.0,1845042000.0
Reconciled Depreciation,1269072000.0,1226324000.0,1084854000.0,913722000.0
Reconciled Cost Of Revenue,45774621000.0,36484925000.0,32651197000.0,30932166000.0
EBITDA,7715908000.0,5983349000.0,5692099000.0,4864807000.0
EBIT,6446836000.0,4757025000.0,4607245000.0,3951085000.0
Net Interest Income,-821005000.0,-676078000.0,-860518000.0,-1298135000.0
Interest Expense,821005000.0,521056000.0,627273000.0,1181616000.0
Interest Income,7375000.0,11184000.0,13404000.0,24569000.0
Normalized Income,4026539000.0,2866436919.73336,2623952210.51128,1969506226.752132
Net Income From Continuing And Discontinued Operation,4026539000.0,2921753000.0,2740490000.0,1845042000.0
Total Expenses,63619919000.0,49155799000.0,41773092000.0,37464072000.0
Rent Expense Supplemental,520342000.0,446866000.0,422312000.0,234459000.0
Diluted Average Shares,322172597.0,319844780.0,319845000.0,319845000.0
Basic Average Shares,322172597.0,319844780.0,319845000.0,319845000.0
Diluted EPS,12.5,9.13,8.57,5.77
Basic EPS,12.5,9.13,8.57,5.77
Diluted NI Availto Com Stockholders,4026539000.0,2921753000.0,2740490000.0,1845042000.0
Net Income Common Stockholders,4026539000.0,2921753000.0,2740490000.0,1845042000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4026539000.0,2921753000.0,2740490000.0,1845042000.0
Minority Interests,-201059000.0,-170278000.0,-150291000.0,-148007000.0
Net Income Including Noncontrolling Interests,4227598000.0,3092031000.0,2890781000.0,1993049000.0
Net Income Continuous Operations,4227598000.0,3092031000.0,2890781000.0,1993049000.0
Tax Provision,1398233000.0,1143938000.0,1089191000.0,776420000.0
Pretax Income,5625831000.0,4235969000.0,3979972000.0,2769469000.0
Other Non Operating Income Expenses,430214000.0,83529000.0,108050000.0,98792000.0
Special Income Charges,0.0,3445000.0,-17271000.0,-147008000.0
Other Special Charges,-50336000.0,-3592000.0,-3175000.0,43319000.0
Write Off,7925000.0,147000.0,20446000.0,103689000.0
Net Non Operating Interest Income Expense,-821005000.0,-676078000.0,-860518000.0,-1298135000.0
Total Other Finance Cost,215742000.0,166206000.0,246649000.0,141088000.0
Interest Expense Non Operating,821005000.0,521056000.0,627273000.0,1181616000.0
Interest Income Non Operating,7375000.0,11184000.0,13404000.0,24569000.0
Operating Income,5738000000.0,4733287000.0,4660088000.0,3986813000.0
Operating Expense,17845298000.0,12670874000.0,9121895000.0,6531906000.0
Other Operating Expenses,12979844000.0,4557590000.0,2796949000.0,2064075000.0
Depreciation And Amortization In Income Statement,1269072000.0,1226324000.0,1084854000.0,913722000.0
Amortization,46670000.0,48792000.0,75369000.0,62184000.0
Depreciation Income Statement,1269072000.0,1177532000.0,1009485000.0,851538000.0
Research And Development,50069000.0,,,
Selling General And Administration,4199307000.0,3484601000.0,1958815000.0,1385568000.0
Selling And Marketing Expense,2824527000.0,2409204000.0,1031205000.0,688039000.0
General And Administrative Expense,1374780000.0,1075397000.0,927610000.0,697529000.0
Rent And Landing Fees,520342000.0,446866000.0,422312000.0,234459000.0
Gross Profit,23583298000.0,17404161000.0,13781983000.0,10518719000.0
Cost Of Revenue,45774621000.0,36484925000.0,32651197000.0,30932166000.0
Total Revenue,69357919000.0,53889086000.0,46433180000.0,41450885000.0
Operating Revenue,69357919000.0,53889086000.0,46433180000.0,41450885000.0
