,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,14904501.953678,62821334.729129,45094308.854705,10418636.602416
Tax Rate For Calcs,0.296902,0.221827,0.265261,0.21934
Normalized EBITDA,5052100000.0,4815700000.0,5055100000.0,3838400000.0
Total Unusual Items,50200000.0,283200000.0,170000000.0,47500000.0
Total Unusual Items Excluding Goodwill,50200000.0,283200000.0,170000000.0,47500000.0
Net Income From Continuing Operation Net Minority Interest,2483200000.0,2973400000.0,2703400000.0,1931900000.0
Reconciled Depreciation,1212500000.0,947100000.0,955500000.0,572300000.0
Reconciled Cost Of Revenue,23421200000.0,21332400000.0,18287100000.0,14069800000.0
EBITDA,5102300000.0,5098900000.0,5225100000.0,3885900000.0
EBIT,3889800000.0,4151800000.0,4269600000.0,3313600000.0
Net Interest Income,-249000000.0,-328300000.0,-524200000.0,-862500000.0
Interest Expense,358000000.0,330800000.0,590200000.0,838900000.0
Interest Income,127800000.0,19900000.0,94400000.0,21300000.0
Normalized Income,2447904501.953678,2753021334.729129,2578494308.854705,1894818636.602416
Net Income From Continuing And Discontinued Operation,2500700000.0,2957300000.0,2703400000.0,1931900000.0
Total Expenses,28739400000.0,25393400000.0,20928900000.0,17160900000.0
Rent Expense Supplemental,11800000.0,11800000.0,19300000.0,17400000.0
Diluted Average Shares,80939303.0,80939303.0,80939303.0,80939303.0
Basic Average Shares,80939303.0,80939303.0,80939303.0,80939303.0
Diluted EPS,30.9,36.49,33.4,23.87
Basic EPS,30.9,36.49,33.4,23.87
Diluted NI Availto Com Stockholders,2500700000.0,2957300000.0,2703400000.0,1931900000.0
Net Income Common Stockholders,2500700000.0,2957300000.0,2703400000.0,1931900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2500700000.0,2957300000.0,2703400000.0,1931900000.0
Net Income Including Noncontrolling Interests,2500700000.0,2957300000.0,2703400000.0,1931900000.0
Net Income Discontinuous Operations,17500000.0,-16100000.0,,
Net Income Continuous Operations,2483200000.0,2973400000.0,2703400000.0,1931900000.0
Tax Provision,1048600000.0,847600000.0,976000000.0,542800000.0
Pretax Income,3531800000.0,3821000000.0,3679400000.0,2474700000.0
Other Non Operating Income Expenses,58500000.0,83300000.0,104600000.0,70600000.0
Special Income Charges,-1200000.0,187200000.0,-2500000.0,-13600000.0
Other Special Charges,-2300000.0,,,-600000.0
Write Off,2900000.0,600000.0,1300000.0,1100000.0
Impairment Of Capital Assets,600000.0,-187800000.0,1200000.0,13100000.0
Net Non Operating Interest Income Expense,-249000000.0,-328300000.0,-524200000.0,-862500000.0
Total Other Finance Cost,18800000.0,17400000.0,28400000.0,44900000.0
Interest Expense Non Operating,358000000.0,330800000.0,590200000.0,838900000.0
Interest Income Non Operating,127800000.0,19900000.0,94400000.0,21300000.0
Operating Income,3715100000.0,3761600000.0,4032200000.0,3185900000.0
Operating Expense,5318200000.0,4061000000.0,2641800000.0,3091100000.0
Other Operating Expenses,1703300000.0,2039700000.0,1984400000.0,2121200000.0
Depreciation And Amortization In Income Statement,1212500000.0,947100000.0,955500000.0,572300000.0
Amortization,500000.0,900000.0,1400000.0,3800000.0
Depreciation Income Statement,1212000000.0,946200000.0,954100000.0,568500000.0
Selling General And Administration,864400000.0,405200000.0,309500000.0,194800000.0
Selling And Marketing Expense,758800000.0,171000000.0,124100000.0,56000000.0
General And Administrative Expense,105600000.0,234200000.0,185400000.0,138800000.0
Rent And Landing Fees,11800000.0,11800000.0,19300000.0,17400000.0
Gross Profit,9033300000.0,7822600000.0,6674000000.0,6277000000.0
Cost Of Revenue,23421200000.0,21332400000.0,18287100000.0,14069800000.0
Total Revenue,32454500000.0,29155000000.0,24961100000.0,20346800000.0
Operating Revenue,32454500000.0,29155000000.0,24961100000.0,20346800000.0
