,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,134515904.356605,-82161215.515593,-92021698.523266
Tax Rate For Calcs,0.355445,0.318758,0.243947,0.198194
Normalized EBITDA,17261000000.0,18234700000.0,12541500000.0,13048200000.0
Total Unusual Items,-93300000.0,422000000.0,-336800000.0,-464300000.0
Total Unusual Items Excluding Goodwill,-93300000.0,422000000.0,-336800000.0,-464300000.0
Net Income From Continuing Operation Net Minority Interest,9108400000.0,10673500000.0,6732800000.0,7167100000.0
Reconciled Depreciation,2601600000.0,2379500000.0,2331100000.0,2190200000.0
Reconciled Cost Of Revenue,77681000000.0,63162800000.0,56999500000.0,51433800000.0
EBITDA,17261000000.0,18656700000.0,12204700000.0,12583900000.0
EBIT,14659400000.0,16277200000.0,9873600000.0,10393700000.0
Net Interest Income,-528100000.0,-298900000.0,-736500000.0,-1310200000.0
Interest Expense,528100000.0,627400000.0,981900000.0,1421200000.0
Interest Income,529300000.0,374300000.0,287600000.0,145900000.0
Normalized Income,9108400000.0,10386015904.356606,6987438784.484407,7539378301.476734
Net Income From Continuing And Discontinued Operation,9108400000.0,10673500000.0,6732800000.0,7167100000.0
Total Expenses,101330700000.0,80129300000.0,72826200000.0,67022700000.0
Rent Expense Supplemental,145300000.0,161700000.0,154600000.0,171200000.0
Diluted Average Shares,155942296.0,155942296.0,155942296.0,155942296.0
Basic Average Shares,155942296.0,155942296.0,155942296.0,155942296.0
Diluted EPS,58.41,68.45,43.17,45.96
Basic EPS,58.41,68.45,43.17,45.96
Diluted NI Availto Com Stockholders,9108400000.0,10673500000.0,6732800000.0,7167100000.0
Net Income Common Stockholders,9108400000.0,10673500000.0,6732800000.0,7167100000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9108400000.0,10673500000.0,6732800000.0,7167100000.0
Minority Interests,,0.0,-7100000.0,-54900000.0
Net Income Including Noncontrolling Interests,9108400000.0,10673500000.0,6739900000.0,7222000000.0
Net Income Continuous Operations,9108400000.0,10673500000.0,6739900000.0,7222000000.0
Tax Provision,5022900000.0,4988500000.0,2169100000.0,1778300000.0
Pretax Income,14131300000.0,15649800000.0,8891700000.0,8972500000.0
Other Non Operating Income Expenses,1196800000.0,51500000.0,113600000.0,744000000.0
Special Income Charges,-385100000.0,119400000.0,-481100000.0,-757900000.0
Other Special Charges,-122000000.0,-124900000.0,137200000.0,587100000.0
Write Off,507100000.0,5500000.0,343900000.0,170800000.0
Net Non Operating Interest Income Expense,-528100000.0,-298900000.0,-736500000.0,-1310200000.0
Total Other Finance Cost,31500000.0,45800000.0,42200000.0,34900000.0
Interest Expense Non Operating,528100000.0,627400000.0,981900000.0,1421200000.0
Interest Income Non Operating,529300000.0,374300000.0,287600000.0,145900000.0
Operating Income,13462600000.0,15601200000.0,9996900000.0,10181700000.0
Operating Expense,23649700000.0,16966500000.0,15826700000.0,15588900000.0
Other Operating Expenses,12818200000.0,3081100000.0,2681600000.0,2758600000.0
Depreciation And Amortization In Income Statement,2601600000.0,2379500000.0,2331100000.0,2190200000.0
Amortization,36600000.0,48500000.0,97800000.0,94900000.0
Depreciation Income Statement,2601600000.0,2331000000.0,2233300000.0,2095300000.0
Selling General And Administration,4720500000.0,4096700000.0,3924600000.0,3105800000.0
Selling And Marketing Expense,4409500000.0,3807700000.0,3675000000.0,2929200000.0
General And Administrative Expense,311000000.0,289000000.0,249600000.0,176600000.0
Rent And Landing Fees,145300000.0,161700000.0,154600000.0,171200000.0
Gross Profit,37112300000.0,32567700000.0,25823600000.0,25770600000.0
Cost Of Revenue,77681000000.0,63162800000.0,56999500000.0,51433800000.0
Total Revenue,114793300000.0,95730500000.0,82823100000.0,77204400000.0
Operating Revenue,114793300000.0,95730500000.0,82823100000.0,77204400000.0
