,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-228667818.817768,-305625432.829864,-175739700.0,1416667800.0
Tax Rate For Calcs,0.267237,0.275608,0.3,0.3
Normalized EBITDA,21008774000.0,20007526000.0,18227081000.0,17031760000.0
Total Unusual Items,-855675000.0,-1108912000.0,-585799000.0,4722226000.0
Total Unusual Items Excluding Goodwill,-855675000.0,-1108912000.0,-585799000.0,4722226000.0
Net Income From Continuing Operation Net Minority Interest,20358252000.0,15008546000.0,10936024000.0,-5831983000.0
Reconciled Depreciation,1486327000.0,1494387000.0,1594830000.0,2003030000.0
Reconciled Cost Of Revenue,25892421000.0,28926823000.0,29674706000.0,35036439000.0
EBITDA,20153099000.0,18898614000.0,17641282000.0,21753986000.0
EBIT,18666772000.0,17404227000.0,16046452000.0,19750956000.0
Net Interest Income,-1910291000.0,-4083621000.0,-5562365000.0,-9407362000.0
Interest Expense,3642578000.0,5758300000.0,7650772000.0,13216319000.0
Interest Income,2011059000.0,2161900000.0,2971281000.0,4862050000.0
Normalized Income,20985259181.18223,15811832567.170135,11346083300.0,-9137541200.0
Net Income From Continuing And Discontinued Operation,20358252000.0,15008546000.0,10936024000.0,-5831983000.0
Total Expenses,39399460000.0,40977822000.0,40463836000.0,50888829000.0
Rent Expense Supplemental,159608000.0,196647000.0,107759000.0,163173000.0
Diluted Average Shares,2475311706.0,2475311706.0,2475311706.0,2450977336.0
Basic Average Shares,2475311706.0,2475311706.0,2475311706.0,2424039249.0
Diluted EPS,8.22,6.06,4.42,-2.41
Basic EPS,8.22,6.06,4.42,-2.41
Diluted NI Availto Com Stockholders,20358252000.0,15008546000.0,10936024000.0,-5831983000.0
Net Income Common Stockholders,20358252000.0,15008546000.0,10936024000.0,-5831983000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,20358252000.0,15008546000.0,10936024000.0,-5831983000.0
Minority Interests,18786000.0,5367000.0,110126000.0,64917000.0
Net Income Including Noncontrolling Interests,20339466000.0,15003179000.0,10825898000.0,-5896900000.0
Net Income Continuous Operations,20339466000.0,15003179000.0,10825898000.0,-5896900000.0
Tax Provision,4015017000.0,3209715000.0,3622823000.0,21326743000.0
Pretax Income,15024194000.0,11645927000.0,8395680000.0,6534637000.0
Other Non Operating Income Expenses,365644000.0,706400000.0,946871000.0,1172431000.0
Special Income Charges,-1195651000.0,-2405686000.0,-1263837000.0,3275433000.0
Other Special Charges,870817000.0,314000.0,774010000.0,-7177249000.0
Write Off,324834000.0,2405372000.0,489827000.0,2169550000.0
Impairment Of Capital Assets,,,,2172643000.0
Restructuring And Mergern Acquisition,,,,-440377000.0
Net Non Operating Interest Income Expense,-1910291000.0,-4083621000.0,-5562365000.0,-9407362000.0
Total Other Finance Cost,278772000.0,487221000.0,882874000.0,1053093000.0
Interest Expense Non Operating,3642578000.0,5758300000.0,7650772000.0,13216319000.0
Interest Income Non Operating,2011059000.0,2161900000.0,2971281000.0,4862050000.0
Operating Income,17420255000.0,16112063000.0,13588511000.0,9882079000.0
Operating Expense,13507039000.0,12050999000.0,10789130000.0,15852390000.0
Other Operating Expenses,2507474000.0,4516453000.0,4105585000.0,7037000000.0
Depreciation And Amortization In Income Statement,1486327000.0,1494387000.0,1594830000.0,2003030000.0
Amortization,51762000.0,43130000.0,54976000.0,69175000.0
Depreciation Income Statement,1434565000.0,1451257000.0,1539854000.0,1933855000.0
Selling General And Administration,3951933000.0,2337334000.0,1883058000.0,3086983000.0
Selling And Marketing Expense,2291400000.0,712509000.0,339464000.0,876994000.0
General And Administrative Expense,1660533000.0,1624825000.0,1543594000.0,2209989000.0
Rent And Landing Fees,159608000.0,196647000.0,107759000.0,163173000.0
Gross Profit,30927294000.0,28163062000.0,24377641000.0,25734469000.0
Cost Of Revenue,25892421000.0,28926823000.0,29674706000.0,35036439000.0
Total Revenue,56819715000.0,57089885000.0,54052347000.0,60770908000.0
Operating Revenue,56819715000.0,57089885000.0,54052347000.0,60770908000.0
