,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,205115747.735069,-66483000.0,0.0
Tax Rate For Calcs,0.4,0.067315,0.3,0.168066
Total Unusual Items,-3300000.0,3047120000.0,-221610000.0,-109360000.0
Total Unusual Items Excluding Goodwill,-3300000.0,3047120000.0,-221610000.0,-109360000.0
Net Income From Continuing Operation Net Minority Interest,3441600000.0,1887840000.0,2653360000.0,-20452450000.0
Reconciled Depreciation,1381600000.0,1511230000.0,2598810000.0,2322250000.0
Net Interest Income,3713000000.0,1078700000.0,2003680000.0,11089070000.0
Interest Expense,25745600000.0,29841090000.0,38340330000.0,47930390000.0
Interest Income,29458600000.0,30919790000.0,40344010000.0,59019460000.0
Normalized Income,3441600000.0,-954164252.264931,2808487000.0,-20452450000.0
Net Income From Continuing And Discontinued Operation,3441600000.0,1887840000.0,2653360000.0,-20452450000.0
Diluted Average Shares,898322585.0,894774648.0,893751107.0,894288822.0
Basic Average Shares,898207466.0,893981653.0,889951721.0,888713129.0
Diluted EPS,3.83,2.11,2.97,-23.01
Basic EPS,3.83,2.11,2.98,-23.01
Diluted NI Availto Com Stockholders,3441600000.0,1887840000.0,2653360000.0,-20452450000.0
Net Income Common Stockholders,3441600000.0,1887840000.0,2653360000.0,-20452450000.0
Net Income,3441600000.0,1887840000.0,2653360000.0,-20452450000.0
Minority Interests,-613900000.0,-232900000.0,114160000.0,-14730000.0
Net Income Including Noncontrolling Interests,4055500000.0,2120740000.0,2539200000.0,-20437720000.0
Net Income Continuous Operations,4055500000.0,2120740000.0,2539200000.0,-20437720000.0
Tax Provision,-208300000.0,153060000.0,-1082960000.0,-4128800000.0
Pretax Income,3847200000.0,2273800000.0,1456240000.0,-24566520000.0
Special Income Charges,-3300000.0,3047120000.0,-221610000.0,-109360000.0
Other Special Charges,3300000.0,-3047120000.0,221610000.0,
Write Off,,,,109360000.0
Gain On Sale Of Security,23038500000.0,7244430000.0,22208980000.0,1949580000.0
Operating Expense,45579800000.0,39213910000.0,46173170000.0,37047350000.0
Other Operating Expenses,16216400000.0,3849680000.0,5466670000.0,12641880000.0
Depreciation And Amortization In Income Statement,1381600000.0,1511230000.0,2598810000.0,2322250000.0
Depreciation Income Statement,1381600000.0,1511230000.0,2598810000.0,2322250000.0
Selling General And Administration,8122340000.0,6072060000.0,5545350000.0,
Selling And Marketing Expense,2883570000.0,2841440000.0,2277520000.0,
General And Administrative Expense,5238770000.0,3230620000.0,3267830000.0,
Insurance And Claims,17330100000.0,16862610000.0,15850490000.0,8010210000.0
Rent And Landing Fees,212320000.0,248180000.0,524050000.0,
Total Revenue,51727900000.0,38224030000.0,59486390000.0,38965920000.0
Operating Revenue,51727900000.0,38224030000.0,59486390000.0,38965920000.0
