,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,360721284.806879,263460150.467919,672591758.001435
Tax Rate For Calcs,0.23311,0.238778,0.251058,0.223981
Normalized EBITDA,43538600000.0,25221500000.0,21606300000.0,24550200000.0
Total Unusual Items,,1510700000.0,1049400000.0,3002900000.0
Total Unusual Items Excluding Goodwill,,1510700000.0,1049400000.0,3002900000.0
Net Income From Continuing Operation Net Minority Interest,29139400000.0,16766000000.0,13468900000.0,18274400000.0
Reconciled Depreciation,5262100000.0,4519300000.0,4507300000.0,3815400000.0
Reconciled Cost Of Revenue,82119000000.0,61542400000.0,52522800000.0,51523200000.0
EBITDA,43538600000.0,26732200000.0,22655700000.0,27553100000.0
EBIT,38276500000.0,22212900000.0,18148400000.0,23737700000.0
Net Interest Income,-280200000.0,2266000000.0,2949800000.0,2017800000.0
Interest Expense,280200000.0,187800000.0,164500000.0,188800000.0
Interest Income,,2453800000.0,3114300000.0,2206600000.0
Normalized Income,29139400000.0,15616021284.806879,12682960150.467918,15944091758.001434
Net Income From Continuing And Discontinued Operation,29139400000.0,16766000000.0,13468900000.0,18274400000.0
Total Expenses,112585300000.0,84014300000.0,73209000000.0,72795700000.0
Rent Expense Supplemental,,281100000.0,144500000.0,143700000.0
Diluted Average Shares,273918030.0,273685929.0,273670020.0,273080662.0
Basic Average Shares,273455330.0,273373553.0,273178699.0,272947381.0
Diluted EPS,106.38,61.26,49.24,66.92
Basic EPS,106.56,61.33,49.3,66.95
Diluted NI Availto Com Stockholders,29139400000.0,16766000000.0,13468900000.0,18274400000.0
Net Income Common Stockholders,29139400000.0,16766000000.0,13468900000.0,18274400000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,29139400000.0,16766000000.0,13468900000.0,18274400000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,29139400000.0,16766000000.0,13468900000.0,18274400000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,29139400000.0,16766000000.0,13468900000.0,18274400000.0
Tax Provision,8857300000.0,5259100000.0,4515000000.0,5274500000.0
Pretax Income,37996300000.0,22025100000.0,17983900000.0,23548900000.0
Other Non Operating Income Expenses,5951100000.0,264600000.0,315100000.0,193400000.0
Special Income Charges,,-42300000.0,-17500000.0,-26900000.0
Other Special Charges,,42300000.0,15800000.0,26900000.0
Write Off,,,1700000.0,
Net Non Operating Interest Income Expense,-280200000.0,2266000000.0,2949800000.0,2017800000.0
Total Other Finance Cost,,,-7000000.0,
Interest Expense Non Operating,280200000.0,187800000.0,164500000.0,188800000.0
Interest Income Non Operating,,2453800000.0,3114300000.0,2206600000.0
Operating Income,29173700000.0,17256400000.0,13406600000.0,18193100000.0
Operating Expense,30466300000.0,22471900000.0,20686200000.0,21272500000.0
Other Operating Expenses,17847700000.0,5044900000.0,4042900000.0,4900600000.0
Depreciation And Amortization In Income Statement,5262100000.0,4519300000.0,4507300000.0,3815400000.0
Amortization,,773000000.0,731700000.0,362000000.0
Depreciation Income Statement,5262100000.0,3746300000.0,3775600000.0,3453400000.0
Research And Development,,120400000.0,89300000.0,111200000.0
Selling General And Administration,,6003600000.0,4057800000.0,4890800000.0
Selling And Marketing Expense,,4964800000.0,3202300000.0,4114000000.0
General And Administrative Expense,,1038800000.0,855500000.0,776800000.0
Rent And Landing Fees,,281100000.0,144500000.0,143700000.0
Gross Profit,59640000000.0,39728300000.0,34092800000.0,39465600000.0
Cost Of Revenue,82119000000.0,61542400000.0,52522800000.0,51523200000.0
Total Revenue,141759000000.0,101270700000.0,86615600000.0,90988800000.0
Operating Revenue,141759000000.0,101270700000.0,86615600000.0,90988800000.0
