,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,8904413000.0,7116086000.0,6174615000.0,3092613000.0
Total Unusual Items,0.0,-892566000.0,212000.0,9720304000.0
Total Unusual Items Excluding Goodwill,0.0,-892566000.0,212000.0,9720304000.0
Net Income From Continuing Operation Net Minority Interest,6129900000.0,3532826000.0,3519807000.0,9755245000.0
Reconciled Depreciation,301113000.0,271416000.0,226906000.0,179335000.0
Reconciled Cost Of Revenue,37350700000.0,28245649000.0,18659921000.0,16448698000.0
EBITDA,8904413000.0,6223520000.0,6174827000.0,12812917000.0
EBIT,8603300000.0,5952104000.0,5947921000.0,12633582000.0
Net Interest Income,-2473400000.0,-1520114000.0,-1843810000.0,-2756461000.0
Interest Expense,2473400000.0,2419278000.0,2428114000.0,2878337000.0
Interest Income,,899195000.0,584304000.0,136396000.0
Normalized Income,6129900000.0,4425392000.0,3519595000.0,34941000.0
Net Income From Continuing And Discontinued Operation,6129900000.0,3532826000.0,3519807000.0,9755245000.0
Total Expenses,54734000000.0,21454908000.0,17243654000.0,16358843000.0
Rent Expense Supplemental,,43627000.0,54285000.0,105675000.0
Diluted Average Shares,647296727.0,647439252.0,647071974.0,647071974.0
Basic Average Shares,647296727.0,647439252.0,647071974.0,647071974.0
Diluted EPS,9.47,5.35,5.42,15.08
Basic EPS,9.47,5.35,5.42,15.08
Diluted NI Availto Com Stockholders,6129900000.0,3532826000.0,3519807000.0,9755245000.0
Net Income Common Stockholders,6129900000.0,3532826000.0,3519807000.0,9755245000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6129900000.0,3532826000.0,3519807000.0,9755245000.0
Net Income Including Noncontrolling Interests,6129900000.0,3532826000.0,3519807000.0,9755245000.0
Net Income Discontinuous Operations,0.0,0.0,,
Net Income Continuous Operations,6129900000.0,3532826000.0,3519807000.0,9755245000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,6129900000.0,3532826000.0,3519807000.0,9755245000.0
Other Non Operating Income Expenses,1355800000.0,251701000.0,86463000.0,163481000.0
Special Income Charges,0.0,-892566000.0,212000.0,9720304000.0
Other Special Charges,,890678000.0,-212000.0,-9720384000.0
Write Off,,1888000.0,0.0,80000.0
Net Non Operating Interest Income Expense,-2473400000.0,-1520114000.0,-1843810000.0,-2756461000.0
Total Other Finance Cost,,31000.0,,14520000.0
Interest Expense Non Operating,2473400000.0,2419278000.0,2428114000.0,2878337000.0
Interest Income Non Operating,,899195000.0,584304000.0,136396000.0
Operating Income,7247500000.0,5735266000.0,5179779000.0,2691781000.0
Operating Expense,17383300000.0,-6790741000.0,-1416267000.0,-89855000.0
Other Operating Expenses,14200300000.0,5280658000.0,3016698000.0,3343023000.0
Depreciation And Amortization In Income Statement,301100000.0,271416000.0,226906000.0,179335000.0
Depreciation Income Statement,301100000.0,271416000.0,226906000.0,179335000.0
Research And Development,,7597000.0,5926000.0,9173000.0
Selling General And Administration,,2157067000.0,2950544000.0,2406063000.0
Selling And Marketing Expense,,2128604000.0,2919604000.0,2374600000.0
General And Administrative Expense,,28463000.0,30940000.0,31463000.0
Rent And Landing Fees,,43627000.0,54285000.0,105675000.0
Gross Profit,24630800000.0,-1055475000.0,3763512000.0,2601926000.0
Cost Of Revenue,37350700000.0,28245649000.0,18659921000.0,16448698000.0
Total Revenue,61981500000.0,27190174000.0,22423433000.0,19050624000.0
Operating Revenue,61981500000.0,27190174000.0,22423433000.0,19050624000.0
