,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,56702478.929103,25913524.180893,122976681.964652
Tax Rate For Calcs,0.223528,0.238346,0.268534,0.236403
Normalized EBITDA,6970900000.0,8032100000.0,6609400000.0,5004900000.0
Total Unusual Items,564800000.0,237900000.0,96500000.0,520200000.0
Total Unusual Items Excluding Goodwill,564800000.0,237900000.0,96500000.0,520200000.0
Net Income From Continuing Operation Net Minority Interest,5042800000.0,5991400000.0,4614600000.0,3910000000.0
Reconciled Depreciation,464000000.0,388500000.0,389600000.0,389100000.0
Reconciled Cost Of Revenue,35444800000.0,29915700000.0,20718800000.0,21124100000.0
EBITDA,6970900000.0,8270000000.0,6705900000.0,5525100000.0
EBIT,6506900000.0,7881500000.0,6316300000.0,5136000000.0
Net Interest Income,-12400000.0,445800000.0,508500000.0,74900000.0
Interest Expense,12400000.0,15200000.0,7600000.0,15500000.0
Interest Income,485200000.0,461000000.0,516100000.0,90400000.0
Normalized Income,5042800000.0,5810202478.929103,4544013524.180893,3512776681.964652
Net Income From Continuing And Discontinued Operation,5042800000.0,5991400000.0,4614600000.0,3910000000.0
Total Expenses,40181500000.0,33119300000.0,23792000000.0,24745100000.0
Rent Expense Supplemental,42900000.0,41700000.0,36100000.0,28900000.0
Diluted Average Shares,152939345.0,152939345.0,152939345.0,152939345.0
Basic Average Shares,152939345.0,152939345.0,152939345.0,152939345.0
Diluted EPS,32.97,39.18,30.17,25.57
Basic EPS,32.97,39.18,30.17,25.57
Diluted NI Availto Com Stockholders,5042800000.0,5991400000.0,4614600000.0,3910000000.0
Net Income Common Stockholders,5042800000.0,5991400000.0,4614600000.0,3910000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5042800000.0,5991400000.0,4614600000.0,3910000000.0
Minority Interests,0.0,0.0,,
Net Income Including Noncontrolling Interests,5042800000.0,5991400000.0,4614600000.0,3910000000.0
Net Income Continuous Operations,5042800000.0,5991400000.0,4614600000.0,3910000000.0
Tax Provision,1451700000.0,1874900000.0,1694100000.0,1210500000.0
Pretax Income,6494500000.0,7866300000.0,6308700000.0,5120500000.0
Other Non Operating Income Expenses,1177400000.0,31700000.0,30800000.0,76900000.0
Special Income Charges,-22000000.0,30100000.0,-117300000.0,-216600000.0
Other Special Charges,100000.0,5000000.0,300000.0,800000.0
Write Off,21900000.0,-35100000.0,117000000.0,215800000.0
Net Non Operating Interest Income Expense,-12400000.0,445800000.0,508500000.0,74900000.0
Interest Expense Non Operating,12400000.0,15200000.0,7600000.0,15500000.0
Interest Income Non Operating,485200000.0,461000000.0,516100000.0,90400000.0
Operating Income,4629600000.0,3866400000.0,3429500000.0,3661700000.0
Operating Expense,4736700000.0,3203600000.0,3073200000.0,3621000000.0
Other Operating Expenses,2646000000.0,1284100000.0,973500000.0,1215800000.0
Depreciation And Amortization In Income Statement,464000000.0,388500000.0,389600000.0,389100000.0
Amortization,71800000.0,600000.0,2800000.0,2900000.0
Depreciation Income Statement,464000000.0,387900000.0,386800000.0,386200000.0
Selling General And Administration,1009400000.0,715700000.0,746700000.0,849400000.0
Selling And Marketing Expense,862300000.0,582000000.0,606500000.0,714800000.0
General And Administrative Expense,147100000.0,133700000.0,140200000.0,134600000.0
Rent And Landing Fees,42900000.0,41700000.0,36100000.0,28900000.0
Gross Profit,9366300000.0,7070000000.0,6502700000.0,7282700000.0
Cost Of Revenue,35444800000.0,29915700000.0,20718800000.0,21124100000.0
Total Revenue,44811100000.0,36985700000.0,27221500000.0,28406800000.0
Operating Revenue,44811100000.0,36985700000.0,27221500000.0,28406800000.0
