,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,955603000.0,26219490.0,13107153.798286
Tax Rate For Calcs,0.219708,0.2398,0.2563,0.203844
Normalized EBITDA,4377200000.0,10696600000.0,10672200000.0,4887500000.0
Total Unusual Items,0.0,3985000000.0,102300000.0,64300000.0
Total Unusual Items Excluding Goodwill,0.0,3985000000.0,102300000.0,64300000.0
Net Income From Continuing Operation Net Minority Interest,2507000000.0,10513300000.0,7377900000.0,3326500000.0
Reconciled Depreciation,892000000.0,834000000.0,777200000.0,738100000.0
Reconciled Cost Of Revenue,30720700000.0,30299500000.0,20607200000.0,20761600000.0
EBITDA,4377200000.0,14681600000.0,10774500000.0,4951800000.0
EBIT,3485200000.0,13847600000.0,9997300000.0,4213700000.0
Net Interest Income,-272300000.0,422000000.0,243100000.0,27600000.0
Interest Expense,272300000.0,16900000.0,76700000.0,35500000.0
Interest Income,330000000.0,457600000.0,337300000.0,81700000.0
Normalized Income,2507000000.0,7483903000.0,7301819490.0,3275307153.798286
Net Income From Continuing And Discontinued Operation,2507000000.0,10513300000.0,7377900000.0,3326500000.0
Total Expenses,41937100000.0,36666800000.0,25250200000.0,25575400000.0
Rent Expense Supplemental,13500000.0,14800000.0,17400000.0,21200000.0
Diluted Average Shares,618313905.0,620476905.0,620476905.0,620476905.0
Basic Average Shares,618313905.0,620476905.0,620476905.0,620476905.0
Diluted EPS,4.04,16.94,11.89,5.36
Basic EPS,4.04,16.94,11.89,5.36
Diluted NI Availto Com Stockholders,2507000000.0,10513300000.0,7377900000.0,3326500000.0
Net Income Common Stockholders,2507000000.0,10513300000.0,7377900000.0,3326500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2507000000.0,10513300000.0,7377900000.0,3326500000.0
Net Income Including Noncontrolling Interests,2507000000.0,10513300000.0,7377900000.0,3326500000.0
Net Income Continuous Operations,2507000000.0,10513400000.0,7377900000.0,3326500000.0
Tax Provision,705900000.0,3317300000.0,2542700000.0,851700000.0
Pretax Income,3212900000.0,13830700000.0,9920600000.0,4178200000.0
Other Non Operating Income Expenses,1209200000.0,9500000.0,800000.0,33000000.0
Special Income Charges,0.0,3814500000.0,-4800000.0,2400000.0
Other Special Charges,-14100000.0,-3814500000.0,4800000.0,-2400000.0
Net Non Operating Interest Income Expense,-272300000.0,422000000.0,243100000.0,27600000.0
Total Other Finance Cost,16200000.0,18700000.0,17500000.0,18600000.0
Interest Expense Non Operating,272300000.0,16900000.0,76700000.0,35500000.0
Interest Income Non Operating,330000000.0,457600000.0,337300000.0,81700000.0
Operating Income,2033400000.0,9441900000.0,9125300000.0,4001300000.0
Operating Expense,11216400000.0,6367300000.0,4643000000.0,4813800000.0
Other Operating Expenses,8427700000.0,2919400000.0,1661500000.0,2160500000.0
Depreciation And Amortization In Income Statement,892000000.0,834000000.0,777200000.0,738100000.0
Amortization,4300000.0,6400000.0,5700000.0,6800000.0
Depreciation Income Statement,892000000.0,827600000.0,771500000.0,731300000.0
Selling General And Administration,1337800000.0,1009000000.0,737300000.0,707800000.0
Selling And Marketing Expense,990100000.0,719600000.0,472500000.0,499100000.0
General And Administrative Expense,347700000.0,289400000.0,264800000.0,208700000.0
Rent And Landing Fees,13500000.0,14800000.0,17400000.0,21200000.0
Gross Profit,13249800000.0,15809200000.0,13768300000.0,8815100000.0
Cost Of Revenue,30720700000.0,30299500000.0,20607200000.0,20761600000.0
Total Revenue,43970500000.0,46108700000.0,34375500000.0,29576700000.0
Operating Revenue,43970500000.0,46108700000.0,34375500000.0,29576700000.0
