,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-456935421.495235,-393759991.068481,471232352.473022
Tax Rate For Calcs,0.228832,0.204345,0.204859,0.08767
Normalized EBITDA,103245300000.0,183094900000.0,102612200000.0,122889900000.0
Total Unusual Items,1481200000.0,-2236100000.0,-1922100000.0,5375100000.0
Total Unusual Items Excluding Goodwill,1481200000.0,-2236100000.0,-1922100000.0,5375100000.0
Net Income From Continuing Operation Net Minority Interest,56160000000.0,122560700000.0,61363500000.0,94220500000.0
Reconciled Depreciation,27015700000.0,24218700000.0,21738200000.0,20801600000.0
Reconciled Cost Of Revenue,1288313300000.0,733345900000.0,462489500000.0,601486000000.0
EBITDA,103245300000.0,180858800000.0,100690100000.0,128265000000.0
EBIT,76229600000.0,156640100000.0,78951900000.0,107460400000.0
Net Interest Income,-3665800000.0,591500000.0,2658900000.0,254600000.0
Interest Expense,3665800000.0,2004900000.0,1697400000.0,3171000000.0
Interest Income,3281300000.0,2596400000.0,4356300000.0,3425600000.0
Normalized Income,56160000000.0,124339864578.50476,62891840008.93152,89316632352.47302
Net Income From Continuing And Discontinued Operation,56160000000.0,122560700000.0,61363500000.0,94220500000.0
Total Expenses,1408818700000.0,793930000000.0,516950400000.0,652193500000.0
Rent Expense Supplemental,1273000000.0,1146800000.0,1305900000.0,1319900000.0
Diluted Average Shares,6594068777.0,6660577838.0,6762346087.0,6765212799.0
Basic Average Shares,6594068777.0,6660577838.0,6762346087.0,6765212799.0
Diluted EPS,8.52,18.4,9.073333,13.926667
Basic EPS,8.52,18.4,9.073333,13.926667
Diluted NI Availto Com Stockholders,56160000000.0,122560700000.0,61363500000.0,94220500000.0
Net Income Common Stockholders,56160000000.0,122560700000.0,61363500000.0,94220500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,56160000000.0,122560700000.0,61363500000.0,94220500000.0
Minority Interests,201100000.0,-475600000.0,-64700000.0,-925900000.0
Net Income Including Noncontrolling Interests,55958900000.0,123036300000.0,61428200000.0,95146400000.0
Net Income Continuous Operations,55958900000.0,123036300000.0,61428200000.0,95146400000.0
Tax Provision,16604900000.0,31598900000.0,15826300000.0,9143000000.0
Pretax Income,72563800000.0,154635200000.0,77254500000.0,104289400000.0
Other Non Operating Income Expenses,13284700000.0,499800000.0,416200000.0,559600000.0
Special Income Charges,220000000.0,-119400000.0,-178000000.0,-34600000.0
Other Special Charges,213300000.0,120800000.0,55100000.0,-900000.0
Write Off,510900000.0,6900000.0,23700000.0,38500000.0
Impairment Of Capital Assets,-944200000.0,-8300000.0,99200000.0,-3000000.0
Net Non Operating Interest Income Expense,-3665800000.0,591500000.0,2658900000.0,254600000.0
Interest Expense Non Operating,3665800000.0,2004900000.0,1697400000.0,3171000000.0
Interest Income Non Operating,3281300000.0,2596400000.0,4356300000.0,3425600000.0
Operating Income,47864300000.0,131390500000.0,54567300000.0,71356500000.0
Operating Expense,120505400000.0,60584100000.0,54460900000.0,50707500000.0
Other Operating Expenses,74465800000.0,16583800000.0,14467400000.0,11491500000.0
Depreciation And Amortization In Income Statement,27015700000.0,24218700000.0,21676000000.0,20804600000.0
Depreciation Income Statement,27015700000.0,24218700000.0,21676000000.0,20804600000.0
Research And Development,123900000.0,117300000.0,92000000.0,120300000.0
Selling General And Administration,3442100000.0,3695200000.0,3325000000.0,2818700000.0
Selling And Marketing Expense,1401100000.0,1704300000.0,1514400000.0,1726500000.0
General And Administrative Expense,2041000000.0,1990900000.0,1810600000.0,1092200000.0
Rent And Landing Fees,1273000000.0,1146800000.0,1305900000.0,1319900000.0
Gross Profit,168369700000.0,191974600000.0,109028200000.0,122064000000.0
Cost Of Revenue,1288313300000.0,733345900000.0,462489500000.0,601486000000.0
Total Revenue,1456683000000.0,925320500000.0,571517700000.0,723550000000.0
Operating Revenue,1456683000000.0,925320500000.0,571517700000.0,723550000000.0
