,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,49527934.95403,58883158.195574,65742884.90297
Tax Rate For Calcs,0.228421,0.238583,0.238725,0.214308
Normalized EBITDA,2574390000.0,2248820000.0,2116218000.0,1761857000.0
Total Unusual Items,0.0,207592000.0,246657000.0,306768000.0
Total Unusual Items Excluding Goodwill,0.0,207592000.0,246657000.0,306768000.0
Net Income From Continuing Operation Net Minority Interest,1721997000.0,1647809000.0,1583973000.0,1405302000.0
Reconciled Depreciation,223075000.0,214598000.0,206459000.0,192622000.0
Reconciled Cost Of Revenue,4192572000.0,4609694000.0,3901506000.0,3728095000.0
EBITDA,2574390000.0,2456412000.0,2362875000.0,2068625000.0
EBIT,2351315000.0,2241814000.0,2156416000.0,1876003000.0
Net Interest Income,-119532000.0,-66487000.0,-14939000.0,-111828000.0
Interest Expense,119532000.0,77683000.0,75732000.0,87373000.0
Interest Income,34517000.0,39244000.0,88262000.0,3873000.0
Normalized Income,1721997000.0,1489744934.95403,1396199158.195574,1164276884.90297
Net Income From Continuing And Discontinued Operation,1721997000.0,1647809000.0,1583973000.0,1405302000.0
Total Expenses,10983218000.0,9923586000.0,8490670000.0,8026235000.0
Rent Expense Supplemental,54976000.0,48900000.0,47086000.0,43232000.0
Diluted Average Shares,20612000.0,20618000.0,20618000.0,21882000.0
Basic Average Shares,20612000.0,20618000.0,20618000.0,21882000.0
Diluted EPS,83.54,79.92,74.64,64.22
Basic EPS,83.54,79.92,74.64,64.22
Diluted NI Availto Com Stockholders,1721997000.0,1647809000.0,1583973000.0,1405302000.0
Net Income Common Stockholders,1721997000.0,1647809000.0,1583973000.0,1405302000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1721997000.0,1647809000.0,1583973000.0,1405302000.0
Minority Interests,0.0,-3000.0,10000.0,-10000.0
Net Income Including Noncontrolling Interests,1721997000.0,1647812000.0,1583953000.0,1405322000.0
Net Income Extraordinary,,,-10000.0,
Net Income Discontinuous Operations,0.0,,0.0,
Net Income Continuous Operations,1721997000.0,1647806000.0,1583953000.0,1405312000.0
Tax Provision,509786000.0,516325000.0,496711000.0,383318000.0
Pretax Income,2231783000.0,2164131000.0,2080684000.0,1788630000.0
Other Non Operating Income Expenses,279048000.0,255400000.0,223000.0,
Special Income Charges,0.0,-7247000.0,-9991000.0,-11235000.0
Other Special Charges,2816000.0,2110000.0,-126000.0,2964000.0
Write Off,10503000.0,5137000.0,10117000.0,8271000.0
Net Non Operating Interest Income Expense,-119532000.0,-66487000.0,-14939000.0,-111828000.0
Total Other Finance Cost,37585000.0,28048000.0,27469000.0,28328000.0
Interest Expense Non Operating,119532000.0,77683000.0,75732000.0,87373000.0
Interest Income Non Operating,34517000.0,39244000.0,88262000.0,3873000.0
Operating Income,2072267000.0,1845011000.0,1739486000.0,1427126000.0
Operating Expense,6790646000.0,5313892000.0,4589164000.0,4298140000.0
Other Operating Expenses,4898997000.0,2239980000.0,1928085000.0,1954662000.0
Depreciation And Amortization In Income Statement,223075000.0,214598000.0,206459000.0,192622000.0
Depreciation Income Statement,223075000.0,214598000.0,206459000.0,192622000.0
Selling General And Administration,1525077000.0,1436909000.0,995061000.0,820521000.0
Selling And Marketing Expense,154138000.0,103501000.0,117008000.0,132006000.0
General And Administrative Expense,1370939000.0,1333408000.0,878053000.0,688515000.0
Rent And Landing Fees,54976000.0,48900000.0,47086000.0,43232000.0
Gross Profit,8862913000.0,7158903000.0,6328650000.0,5725266000.0
Cost Of Revenue,4192572000.0,4609694000.0,3901506000.0,3728095000.0
Total Revenue,13055485000.0,11768597000.0,10230156000.0,9453361000.0
Operating Revenue,13055485000.0,11768597000.0,10230156000.0,9453361000.0
