,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-45520000.0,225068566.493955,-58143944.481755,-201301045.942754
Tax Rate For Calcs,0.4,0.285838,0.324827,0.1493
Normalized EBITDA,1355200000.0,-517100000.0,2323400000.0,-742500000.0
Total Unusual Items,-113800000.0,787400000.0,-179000000.0,-1348300000.0
Total Unusual Items Excluding Goodwill,-113800000.0,787400000.0,-179000000.0,-1348300000.0
Net Income From Continuing Operation Net Minority Interest,-14900000.0,-496200000.0,603200000.0,-3025600000.0
Reconciled Depreciation,553800000.0,578600000.0,657400000.0,783900000.0
Reconciled Cost Of Revenue,19698100000.0,23856100000.0,25504900000.0,23186600000.0
EBITDA,1241400000.0,270300000.0,2144400000.0,-2090800000.0
EBIT,687600000.0,-308300000.0,1487000000.0,-2874700000.0
Net Interest Income,-420100000.0,-566600000.0,-786700000.0,-845200000.0
Interest Expense,420100000.0,386500000.0,593600000.0,681900000.0
Interest Income,,18900000.0,57900000.0,24600000.0
Normalized Income,53380000.0,-1058531433.506045,724056055.518245,-1878601045.942754
Net Income From Continuing And Discontinued Operation,-14900000.0,-496200000.0,603200000.0,-3025600000.0
Total Expenses,27270100000.0,31471900000.0,32853800000.0,32754500000.0
Rent Expense Supplemental,,6800000.0,107800000.0,125800000.0
Diluted Average Shares,248333333.0,255773196.0,256046535.0,256046535.0
Basic Average Shares,248333333.0,255773196.0,256046535.0,256046535.0
Diluted EPS,-0.06,-1.94,2.36,-11.82
Basic EPS,-0.06,-1.94,2.36,-11.82
Diluted NI Availto Com Stockholders,-14900000.0,-496200000.0,603200000.0,-3025600000.0
Net Income Common Stockholders,-14900000.0,-496200000.0,603200000.0,-3025600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-14900000.0,-496200000.0,603200000.0,-3025600000.0
Net Income Including Noncontrolling Interests,-14900000.0,-496200000.0,603200000.0,-3025600000.0
Net Income Continuous Operations,-14900000.0,-496200000.0,603200000.0,-3025600000.0
Tax Provision,282400000.0,-198600000.0,290200000.0,-531000000.0
Pretax Income,267500000.0,-694800000.0,893400000.0,-3556600000.0
Other Non Operating Income Expenses,339300000.0,1700000.0,27400000.0,32600000.0
Special Income Charges,-113800000.0,616500000.0,-179000000.0,-1262400000.0
Other Special Charges,,-1045400000.0,-32500000.0,11000000.0
Write Off,,428900000.0,211500000.0,715800000.0
Impairment Of Capital Assets,,,,535600000.0
Net Non Operating Interest Income Expense,-420100000.0,-566600000.0,-786700000.0,-845200000.0
Total Other Finance Cost,,199000000.0,251000000.0,187900000.0
Interest Expense Non Operating,420100000.0,386500000.0,593600000.0,681900000.0
Interest Income Non Operating,,18900000.0,57900000.0,24600000.0
Operating Income,462100000.0,-948900000.0,1537900000.0,-1217600000.0
Operating Expense,7572000000.0,7615800000.0,7348900000.0,9567900000.0
Other Operating Expenses,3480300000.0,2283700000.0,1149700000.0,4116200000.0
Depreciation And Amortization In Income Statement,553800000.0,578600000.0,657400000.0,783900000.0
Amortization,,6300000.0,6100000.0,6900000.0
Depreciation Income Statement,553800000.0,572300000.0,651300000.0,777000000.0
Research And Development,,260700000.0,423400000.0,
Selling General And Administration,,1195800000.0,1123400000.0,387600000.0
Selling And Marketing Expense,,859800000.0,740100000.0,
General And Administrative Expense,,336000000.0,383300000.0,387600000.0
Rent And Landing Fees,,6800000.0,107800000.0,125800000.0
Gross Profit,8034100000.0,6666900000.0,8886800000.0,8350300000.0
Cost Of Revenue,19698100000.0,23856100000.0,25504900000.0,23186600000.0
Total Revenue,27732200000.0,30523000000.0,34391700000.0,31536900000.0
Operating Revenue,27732200000.0,30523000000.0,34391700000.0,31536900000.0
