,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-2653003.347681,47601200.0,-724859300.2,-693214500.0
Tax Rate For Calcs,0.273505,0.4,0.3494,0.3
Normalized EBITDA,9049500000.0,8373299000.0,8407716000.0,6258378000.0
Total Unusual Items,-9700000.0,119003000.0,-2074583000.0,-2310715000.0
Total Unusual Items Excluding Goodwill,-9700000.0,119003000.0,-2074583000.0,-2310715000.0
Net Income From Continuing Operation Net Minority Interest,6076400000.0,3807689000.0,3581473000.0,932046000.0
Reconciled Depreciation,657700000.0,681860000.0,792836000.0,826777000.0
Reconciled Cost Of Revenue,12848700000.0,14496539000.0,13946729000.0,13975445000.0
EBITDA,9039800000.0,8492302000.0,6333133000.0,3947663000.0
EBIT,8382100000.0,7810442000.0,5540297000.0,3120886000.0
Net Interest Income,-18100000.0,697490000.0,1070435000.0,698700000.0
Interest Expense,18100000.0,19961000.0,35314000.0,63355000.0
Interest Income,698119000.0,717451000.0,1105749000.0,762055000.0
Normalized Income,6083446996.652319,3736287200.0,4931196699.8,2549546500.0
Net Income From Continuing And Discontinued Operation,6106900000.0,16947193000.0,3581473000.0,932046000.0
Total Expenses,25132000000.0,25791949000.0,25479569000.0,27450564000.0
Rent Expense Supplemental,20979000.0,18129000.0,35934000.0,69922000.0
Diluted Average Shares,169406034.0,169406034.0,169406034.0,169406034.0
Basic Average Shares,169406034.0,169406034.0,169406034.0,169406034.0
Diluted EPS,36.05,100.04,21.14,5.5
Basic EPS,36.05,100.04,21.14,5.5
Diluted NI Availto Com Stockholders,6106900000.0,16947193000.0,3581473000.0,932046000.0
Net Income Common Stockholders,6106900000.0,16947193000.0,3581473000.0,932046000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6106900000.0,16947193000.0,3581473000.0,932046000.0
Net Income Including Noncontrolling Interests,6106900000.0,16947193000.0,3581473000.0,932046000.0
Net Income Discontinuous Operations,30500000.0,13139504000.0,,
Net Income Continuous Operations,6076400000.0,3807689000.0,3581473000.0,932046000.0
Tax Provision,2287600000.0,3982792000.0,1923510000.0,2125485000.0
Pretax Income,8364000000.0,7790481000.0,5504983000.0,3057531000.0
Other Non Operating Income Expenses,1006600000.0,37001000.0,78000.0,1000.0
Special Income Charges,-9700000.0,119003000.0,-2074583000.0,-2310715000.0
Other Special Charges,-104294000.0,-317238000.0,-17821000.0,-5321433000.0
Write Off,0.0,14402000.0,2090000000.0,403300000.0
Impairment Of Capital Assets,0.0,-17010000.0,2090000000.0,6637385000.0
Restructuring And Mergern Acquisition,113695000.0,200843000.0,2404000.0,591463000.0
Net Non Operating Interest Income Expense,-18100000.0,697490000.0,1070435000.0,698700000.0
Interest Expense Non Operating,18100000.0,19961000.0,35314000.0,63355000.0
Interest Income Non Operating,698119000.0,717451000.0,1105749000.0,762055000.0
Operating Income,7385200000.0,6988343000.0,6509053000.0,4793243000.0
Operating Expense,12283300000.0,11295410000.0,11532840000.0,13475119000.0
Other Operating Expenses,5675700000.0,2215522000.0,2633888000.0,4096066000.0
Depreciation And Amortization In Income Statement,657700000.0,681860000.0,792836000.0,826777000.0
Amortization,96942000.0,94696000.0,90335000.0,97799000.0
Depreciation Income Statement,657700000.0,587164000.0,702501000.0,728978000.0
Selling General And Administration,1954447000.0,2263336000.0,1904097000.0,2183848000.0
Selling And Marketing Expense,1662579000.0,1837419000.0,1719401000.0,2013364000.0
General And Administrative Expense,291868000.0,425917000.0,184696000.0,170484000.0
Rent And Landing Fees,20979000.0,18129000.0,35934000.0,69922000.0
Gross Profit,19668500000.0,18283753000.0,18041893000.0,18268362000.0
Cost Of Revenue,12848700000.0,14496539000.0,13946729000.0,13975445000.0
Total Revenue,32517200000.0,32780292000.0,31988622000.0,32243807000.0
Operating Revenue,32517200000.0,32780292000.0,31988622000.0,32243807000.0
