,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-109164824.895791,-5866382.710207,-56928837.316618,-123862321.063395
Tax Rate For Calcs,0.201746,0.172541,0.172826,0.149864
Normalized EBITDA,25988700000.0,24409900000.0,23514000000.0,21299200000.0
Total Unusual Items,-541100000.0,-34000000.0,287400000.0,-121700000.0
Total Unusual Items Excluding Goodwill,-541100000.0,-34000000.0,-329400000.0,-826500000.0
Net Income From Continuing Operation Net Minority Interest,17024600000.0,17833900000.0,17208200000.0,14965800000.0
Reconciled Depreciation,2362900000.0,2099300000.0,2038500000.0,1972800000.0
Reconciled Cost Of Revenue,67027900000.0,64118200000.0,52453100000.0,45390200000.0
EBITDA,25447600000.0,24375900000.0,23801400000.0,21177500000.0
EBIT,23084700000.0,22276600000.0,21762900000.0,19204700000.0
Net Interest Income,-1757400000.0,-617000000.0,-1026000000.0,-1518800000.0
Interest Expense,1757400000.0,724000000.0,959300000.0,1600700000.0
Interest Income,,605600000.0,350500000.0,762500000.0
Normalized Income,17456535175.10421,17862033617.28979,18097471162.68338,16373237678.936605
Net Income From Continuing And Discontinued Operation,17024600000.0,17833900000.0,17208200000.0,14965800000.0
Total Expenses,108958200000.0,98751500000.0,86814800000.0,79460800000.0
Rent Expense Supplemental,,667200000.0,643700000.0,693400000.0
Diluted Average Shares,1022498498.0,1022586009.0,1022552718.0,1022457243.0
Basic Average Shares,1022498498.0,1022586009.0,1022435634.0,1022265738.0
Diluted EPS,16.65,17.44,16.83,14.64
Basic EPS,16.65,17.44,16.83,14.64
Diluted NI Availto Com Stockholders,17024600000.0,17833900000.0,17208200000.0,14965800000.0
Net Income Common Stockholders,17024600000.0,17833900000.0,17208200000.0,14965800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,17024600000.0,17833900000.0,17208200000.0,14965800000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,17024600000.0,17833900000.0,17208200000.0,14965800000.0
Net Income Continuous Operations,17024600000.0,17833900000.0,17208200000.0,14965800000.0
Tax Provision,4302700000.0,3718700000.0,3595400000.0,2638200000.0
Pretax Income,21327300000.0,21552600000.0,20803600000.0,17604000000.0
Other Non Operating Income Expenses,1684100000.0,176300000.0,162200000.0,296500000.0
Special Income Charges,-541100000.0,-149200000.0,-474900000.0,-871800000.0
Other Special Charges,187700000.0,-551700000.0,-279600000.0,-113800000.0
Write Off,,32000000.0,42700000.0,62500000.0
Impairment Of Capital Assets,60300000.0,621600000.0,616800000.0,17500000.0
Restructuring And Mergern Acquisition,293100000.0,47300000.0,95000000.0,200800000.0
Net Non Operating Interest Income Expense,-1757400000.0,-617000000.0,-1026000000.0,-1518800000.0
Total Other Finance Cost,,498600000.0,417200000.0,680600000.0
Interest Expense Non Operating,1757400000.0,724000000.0,959300000.0,1600700000.0
Interest Income Non Operating,,605600000.0,350500000.0,762500000.0
Operating Income,23028700000.0,22990700000.0,22545300000.0,19647200000.0
Operating Expense,41930300000.0,34633300000.0,34361700000.0,34070600000.0
Other Operating Expenses,19770200000.0,9474900000.0,8751700000.0,8612500000.0
Depreciation And Amortization In Income Statement,2362900000.0,2099300000.0,2038500000.0,1955300000.0
Amortization,,317300000.0,357400000.0,362800000.0
Depreciation Income Statement,2362900000.0,1782000000.0,1681100000.0,1592500000.0
Selling General And Administration,9855200000.0,12373300000.0,12620500000.0,12621200000.0
Selling And Marketing Expense,9855200000.0,11333500000.0,11550100000.0,11050900000.0
General And Administrative Expense,,1039800000.0,1070400000.0,1570300000.0
Rent And Landing Fees,,667200000.0,643700000.0,693400000.0
Gross Profit,64959000000.0,57624000000.0,56907000000.0,53717800000.0
Cost Of Revenue,67027900000.0,64118200000.0,52453100000.0,45390200000.0
Total Revenue,131986900000.0,121742200000.0,109360100000.0,99108000000.0
Operating Revenue,131986900000.0,121742200000.0,109360100000.0,99108000000.0
