,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,109523803.686822,337983372.064007,209847118.990794,274411532.61181
Tax Rate For Calcs,0.154673,0.226091,0.367379,0.300659
Normalized EBITDA,28569900000.0,19959400000.0,11642800000.0,14331300000.0
Total Unusual Items,708100000.0,1494900000.0,571200000.0,912700000.0
Total Unusual Items Excluding Goodwill,708100000.0,1494900000.0,571200000.0,912700000.0
Net Income From Continuing Operation Net Minority Interest,9747800000.0,6537300000.0,3333000000.0,3785100000.0
Reconciled Depreciation,3045200000.0,3401600000.0,2423400000.0,2338400000.0
Reconciled Cost Of Revenue,121140400000.0,106117000000.0,69102200000.0,84023900000.0
EBITDA,29278000000.0,21454300000.0,12214000000.0,15244000000.0
EBIT,26232800000.0,18052700000.0,9790600000.0,12905600000.0
Net Interest Income,-9427000000.0,-11200000.0,418400000.0,-1336300000.0
Interest Expense,9427000000.0,5229100000.0,3631300000.0,3832200000.0
Interest Income,6354800000.0,6220200000.0,5107700000.0,3592400000.0
Normalized Income,9149223803.686823,5380383372.064007,2971647118.990794,3146811532.61181
Net Income From Continuing And Discontinued Operation,9747800000.0,6537300000.0,3345700000.0,5521800000.0
Total Expenses,155345500000.0,133064900000.0,92121900000.0,106548200000.0
Rent Expense Supplemental,251100000.0,139500000.0,151900000.0,142900000.0
Diluted Average Shares,336740889.0,336690820.0,336627835.0,336578913.0
Basic Average Shares,336624771.0,336567373.0,336511573.0,336445436.0
Diluted EPS,28.95,19.42,9.94,16.46
Basic EPS,28.96,19.42,9.94,16.46
Diluted NI Availto Com Stockholders,9747800000.0,6537300000.0,3345700000.0,5521800000.0
Net Income Common Stockholders,9747800000.0,6537300000.0,3345700000.0,5521800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9747800000.0,6537300000.0,3345700000.0,5521800000.0
Minority Interests,-4458600000.0,-3387000000.0,-563500000.0,-2560300000.0
Net Income Including Noncontrolling Interests,14206400000.0,9924300000.0,3909200000.0,8082100000.0
Net Income Discontinuous Operations,,0.0,12700000.0,1736700000.0
Net Income Continuous Operations,14206400000.0,9924300000.0,3896500000.0,6345400000.0
Tax Provision,2599400000.0,2899300000.0,2262800000.0,2728000000.0
Pretax Income,16805800000.0,12823600000.0,6159300000.0,9073400000.0
Other Non Operating Income Expenses,9513000000.0,849400000.0,502000000.0,779100000.0
Special Income Charges,708100000.0,-184400000.0,-276300000.0,-322800000.0
Other Special Charges,-708100000.0,136400000.0,-37800000.0,5900000.0
Write Off,349100000.0,468800000.0,314100000.0,247700000.0
Impairment Of Capital Assets,0.0,0.0,0.0,69200000.0
Restructuring And Mergern Acquisition,0.0,-420800000.0,,
Net Non Operating Interest Income Expense,-9427000000.0,-11200000.0,418400000.0,-1336300000.0
Total Other Finance Cost,1397600000.0,1002300000.0,1058000000.0,1096500000.0
Interest Expense Non Operating,9427000000.0,5229100000.0,3631300000.0,3832200000.0
Interest Income Non Operating,6354800000.0,6220200000.0,5107700000.0,3592400000.0
Operating Income,12057000000.0,7681400000.0,1099500000.0,6152600000.0
Operating Expense,34205100000.0,26947900000.0,23019700000.0,22524300000.0
Other Operating Expenses,21729500000.0,11144400000.0,8953000000.0,10530400000.0
Depreciation And Amortization In Income Statement,3045200000.0,3401600000.0,2423400000.0,2338300000.0
Amortization,170400000.0,101100000.0,62800000.0,60300000.0
Depreciation Income Statement,3045200000.0,3300500000.0,2360600000.0,2278000000.0
Research And Development,100100000.0,62900000.0,46200000.0,41400000.0
Selling General And Administration,4739600000.0,5089600000.0,3506900000.0,2909400000.0
Selling And Marketing Expense,3783200000.0,4245800000.0,2812700000.0,1965200000.0
General And Administrative Expense,956400000.0,843800000.0,694200000.0,944200000.0
Rent And Landing Fees,251100000.0,139500000.0,151900000.0,142900000.0
Gross Profit,46262100000.0,34629300000.0,24119200000.0,28676900000.0
Cost Of Revenue,121140400000.0,106117000000.0,69102200000.0,84023900000.0
Total Revenue,167402500000.0,140746300000.0,93221400000.0,112700800000.0
Operating Revenue,167402500000.0,140746300000.0,93221400000.0,112700800000.0
