,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,9301832.723387,13589600.0,57530.092419,0.0
Tax Rate For Calcs,0.153742,0.4,0.004749,0.0
Normalized EBITDA,2958077000.0,2030452000.0,1064650000.0,896228000.0
Total Unusual Items,60503000.0,33974000.0,12115000.0,277992000.0
Total Unusual Items Excluding Goodwill,60503000.0,33974000.0,12115000.0,277992000.0
Net Income From Continuing Operation Net Minority Interest,1729664000.0,1170813000.0,264916000.0,303871000.0
Reconciled Depreciation,717503000.0,589482000.0,526150000.0,548192000.0
Reconciled Cost Of Revenue,11890372000.0,9433090000.0,6302739000.0,7209562000.0
EBITDA,3018580000.0,2064426000.0,1076765000.0,1174220000.0
EBIT,2301077000.0,1474944000.0,550615000.0,626028000.0
Net Interest Income,-86936000.0,-337482000.0,-250535000.0,-243672000.0
Interest Expense,257181000.0,304631000.0,284435000.0,322157000.0
Interest Income,170245000.0,64592000.0,94088000.0,124575000.0
Normalized Income,1678462832.723387,1150428600.0,252858530.092419,25879000.0
Net Income From Continuing And Discontinued Operation,1729664000.0,1170813000.0,264916000.0,303871000.0
Total Expenses,20298561000.0,15425718000.0,10941923000.0,12723959000.0
Rent Expense Supplemental,,151352000.0,145905000.0,43595000.0
Diluted Average Shares,63590588.0,52882249.0,45410985.0,45533704.0
Basic Average Shares,60477762.0,50728466.0,42855005.0,42820197.0
Diluted EPS,27.2,22.14,5.83,6.67
Basic EPS,28.6,23.08,6.18,7.1
Diluted NI Availto Com Stockholders,1729664000.0,1170813000.0,264916000.0,303871000.0
Net Income Common Stockholders,1729664000.0,1170813000.0,264916000.0,303871000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1729664000.0,1170813000.0,264916000.0,303871000.0
Net Income Including Noncontrolling Interests,1729664000.0,1170813000.0,264916000.0,303871000.0
Net Income Continuous Operations,1729664000.0,1170813000.0,264916000.0,303871000.0
Tax Provision,314232000.0,-500000.0,1264000.0,0.0
Pretax Income,2043896000.0,1170313000.0,266180000.0,303871000.0
Other Non Operating Income Expenses,80090000.0,2080000.0,7493000.0,20171000.0
Special Income Charges,60503000.0,6055000.0,-2261000.0,264825000.0
Other Special Charges,-60503000.0,-6055000.0,-6139000.0,-264825000.0
Write Off,,,8400000.0,0.0
Net Non Operating Interest Income Expense,-86936000.0,-337482000.0,-250535000.0,-243672000.0
Total Other Finance Cost,,97443000.0,60188000.0,46090000.0
Interest Expense Non Operating,257181000.0,304631000.0,284435000.0,322157000.0
Interest Income Non Operating,170245000.0,64592000.0,94088000.0,124575000.0
Operating Income,1923397000.0,1260801000.0,512703000.0,120099000.0
Operating Expense,8408189000.0,5992628000.0,4639184000.0,5514397000.0
Other Operating Expenses,1497521000.0,567862000.0,588623000.0,759787000.0
Depreciation And Amortization In Income Statement,717503000.0,589482000.0,526150000.0,548192000.0
Amortization,,16570000.0,16273000.0,14451000.0
Depreciation Income Statement,717503000.0,572912000.0,509877000.0,533741000.0
Selling General And Administration,,506972000.0,310475000.0,348806000.0
Selling And Marketing Expense,,320806000.0,165234000.0,190037000.0
General And Administrative Expense,,186166000.0,145241000.0,158769000.0
Rent And Landing Fees,,151352000.0,145905000.0,43595000.0
Gross Profit,10331586000.0,7253429000.0,5151887000.0,5634496000.0
Cost Of Revenue,11890372000.0,9433090000.0,6302739000.0,7209562000.0
Total Revenue,22221958000.0,16686519000.0,11454626000.0,12844058000.0
Operating Revenue,22221958000.0,16686519000.0,11454626000.0,12844058000.0
