,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-218092388.116558,-653825620.0,-1208863040.0,-3045570000.0
Tax Rate For Calcs,0.247748,0.1882,0.3124,0.3
Normalized EBITDA,244051900000.0,183309100000.0,160047000000.0,127045000000.0
Total Unusual Items,-880300000.0,-3474100000.0,-3869600000.0,2550800000.0
Total Unusual Items Excluding Goodwill,-880300000.0,-3474100000.0,-3869600000.0,-10151900000.0
Net Income From Continuing Operation Net Minority Interest,68272600000.0,70340400000.0,40673600000.0,44251900000.0
Reconciled Depreciation,45515900000.0,41241300000.0,40334000000.0,40408200000.0
Reconciled Cost Of Revenue,559718900000.0,480419600000.0,351677600000.0,409253200000.0
EBITDA,243171600000.0,179835000000.0,156177400000.0,129595800000.0
EBIT,197655700000.0,138593700000.0,115843400000.0,89187600000.0
Net Interest Income,-13202700000.0,-10271000000.0,-16629000000.0,-20947500000.0
Interest Expense,12522600000.0,12325100000.0,18129100000.0,22719300000.0
Interest Income,3872100000.0,2230400000.0,1583100000.0,1885800000.0
Normalized Income,68934807611.88344,73160674380.0,43334336960.0,64060930000.0
Net Income From Continuing And Discontinued Operation,68272600000.0,75497800000.0,43048200000.0,44251900000.0
Total Expenses,978615100000.0,767032500000.0,598577600000.0,666961800000.0
Rent Expense Supplemental,2416600000.0,1875800000.0,1550700000.0,1836600000.0
Diluted Average Shares,657224556.0,657612743.0,657226779.0,656767970.0
Basic Average Shares,656606572.0,656680321.0,656564406.0,656374681.0
Diluted EPS,103.88,114.8,65.5,67.18
Basic EPS,103.98,114.98,65.57,67.22
Diluted NI Availto Com Stockholders,68272600000.0,75497800000.0,43048200000.0,44251900000.0
Net Income Common Stockholders,68272600000.0,75497800000.0,43048200000.0,44251900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,68272600000.0,75497800000.0,43048200000.0,44251900000.0
Minority Interests,-42509400000.0,-36565100000.0,-26818800000.0,-22522900000.0
Net Income Including Noncontrolling Interests,110782000000.0,112062900000.0,69867000000.0,66774800000.0
Net Income Discontinuous Operations,0.0,5157400000.0,2374600000.0,0.0
Net Income Continuous Operations,110782000000.0,106905500000.0,67492400000.0,66774800000.0
Tax Provision,36485100000.0,19363100000.0,30221900000.0,-306500000.0
Pretax Income,147267100000.0,126268600000.0,97714300000.0,66468300000.0
Other Non Operating Income Expenses,-38395200000.0,-41204700000.0,-42494000000.0,-9064400000.0
Special Income Charges,-880300000.0,-7940700000.0,-11412800000.0,-15636900000.0
Other Special Charges,880300000.0,373300000.0,1292300000.0,1201500000.0
Write Off,225800000.0,7567400000.0,9310600000.0,1732700000.0
Impairment Of Capital Assets,,0.0,967400000.0,
Restructuring And Mergern Acquisition,880300000.0,0.0,809900000.0,
Net Non Operating Interest Income Expense,-13202700000.0,-10271000000.0,-16629000000.0,-20947500000.0
Total Other Finance Cost,13202700000.0,176300000.0,83000000.0,114000000.0
Interest Expense Non Operating,12522600000.0,12325100000.0,18129100000.0,22719300000.0
Interest Income Non Operating,3872100000.0,2230400000.0,1583100000.0,1885800000.0
Operating Income,197655700000.0,178854900000.0,158749600000.0,100524500000.0
Operating Expense,418896200000.0,286612900000.0,246900000000.0,257708600000.0
Other Operating Expenses,151192400000.0,30459300000.0,25285800000.0,37681000000.0
Depreciation And Amortization In Income Statement,45515900000.0,41241300000.0,39787800000.0,40033300000.0
Amortization,6334400000.0,6030700000.0,5635700000.0,6260100000.0
Depreciation Income Statement,45515900000.0,35210600000.0,34152100000.0,33773200000.0
Selling General And Administration,150249300000.0,160565500000.0,131231500000.0,128022000000.0
Selling And Marketing Expense,150249300000.0,158399800000.0,129226000000.0,126493000000.0
General And Administrative Expense,2914300000.0,2165700000.0,2005500000.0,1529000000.0
Rent And Landing Fees,2416600000.0,1875800000.0,1550700000.0,1836600000.0
Gross Profit,616551900000.0,465467800000.0,405649600000.0,358233100000.0
Cost Of Revenue,559718900000.0,480419600000.0,351677600000.0,409253200000.0
Total Revenue,1176270800000.0,945887400000.0,757327200000.0,767486300000.0
Operating Revenue,1176270800000.0,945887400000.0,757327200000.0,767486300000.0
