,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,16681939.661758,1743072.999282,-5512272.981624,-115660207.320489
Tax Rate For Calcs,0.173409,0.242127,0.251541,0.221511
Normalized EBITDA,1637010000.0,1606887000.0,1216573000.0,1585271000.0
Total Unusual Items,96200000.0,7199000.0,-21914000.0,-522142000.0
Total Unusual Items Excluding Goodwill,96200000.0,7199000.0,-21914000.0,-522142000.0
Net Income From Continuing Operation Net Minority Interest,914318000.0,947257000.0,609122000.0,472507000.0
Reconciled Depreciation,364608000.0,258460000.0,230789000.0,257191000.0
Reconciled Cost Of Revenue,11265826000.0,9484614000.0,6943837000.0,8493476000.0
EBITDA,1733210000.0,1614086000.0,1194659000.0,1063129000.0
EBIT,1368602000.0,1355626000.0,963870000.0,805938000.0
Net Interest Income,-262471000.0,-68636000.0,-131877000.0,-201125000.0
Interest Expense,262471000.0,105737000.0,150035000.0,198984000.0
Interest Income,,50679000.0,34620000.0,6814000.0
Normalized Income,834799939.661758,941801072.999282,625523727.018376,878988792.679511
Net Income From Continuing And Discontinued Operation,914318000.0,947257000.0,609122000.0,472507000.0
Total Expenses,17129820000.0,14288156000.0,10636624000.0,12836630000.0
Rent Expense Supplemental,,73586000.0,82150000.0,78402000.0
Diluted Average Shares,124059430.0,122701684.0,122627395.0,122627395.0
Basic Average Shares,122892204.0,122701684.0,122627395.0,122627395.0
Diluted EPS,7.37,7.72,4.97,3.85
Basic EPS,7.44,7.72,4.97,3.85
Diluted NI Availto Com Stockholders,914318000.0,947257000.0,609122000.0,472507000.0
Net Income Common Stockholders,914318000.0,947257000.0,609122000.0,472507000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,914318000.0,947257000.0,609122000.0,472507000.0
Net Income Including Noncontrolling Interests,914318000.0,947257000.0,609122000.0,472507000.0
Net Income Continuous Operations,914318000.0,947257000.0,609122000.0,472507000.0
Tax Provision,191813000.0,302632000.0,204713000.0,134447000.0
Pretax Income,1106131000.0,1249889000.0,813835000.0,606954000.0
Other Non Operating Income Expenses,153444000.0,38831000.0,18373000.0,11429000.0
Special Income Charges,96200000.0,2008000.0,-23882000.0,-522117000.0
Other Special Charges,-96200000.0,-4319000.0,7699000.0,295008000.0
Write Off,,2311000.0,16183000.0,227109000.0
Net Non Operating Interest Income Expense,-262471000.0,-68636000.0,-131877000.0,-201125000.0
Total Other Finance Cost,,13578000.0,16462000.0,8955000.0
Interest Expense Non Operating,262471000.0,105737000.0,150035000.0,198984000.0
Interest Income Non Operating,,50679000.0,34620000.0,6814000.0
Operating Income,1326479000.0,1285519000.0,979650000.0,1321561000.0
Operating Expense,5863994000.0,4803542000.0,3692787000.0,4343154000.0
Other Operating Expenses,3068060000.0,1186189000.0,871802000.0,1121937000.0
Depreciation And Amortization In Income Statement,364608000.0,258460000.0,230789000.0,257191000.0
Amortization,,5407000.0,5279000.0,5591000.0
Depreciation Income Statement,364608000.0,253053000.0,225510000.0,251600000.0
Selling General And Administration,,1393726000.0,1042052000.0,1294327000.0
Selling And Marketing Expense,,1262127000.0,898362000.0,1167733000.0
General And Administrative Expense,,131599000.0,143690000.0,126594000.0
Rent And Landing Fees,,73586000.0,82150000.0,78402000.0
Gross Profit,7190473000.0,6089061000.0,4672437000.0,5664715000.0
Cost Of Revenue,11265826000.0,9484614000.0,6943837000.0,8493476000.0
Total Revenue,18456299000.0,15573675000.0,11616274000.0,14158191000.0
Operating Revenue,18456299000.0,15573675000.0,11616274000.0,14158191000.0
