,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,9936587.865546,8629065.224996,-10677542.695705
Tax Rate For Calcs,0.4,0.322658,0.293805,0.323464
Normalized EBITDA,9906600000.0,10248042000.0,4191850000.0,6674845000.0
Total Unusual Items,-17022000.0,30796000.0,29370000.0,-33010000.0
Total Unusual Items Excluding Goodwill,-17022000.0,30796000.0,29370000.0,-33010000.0
Net Income From Continuing Operation Net Minority Interest,4096200000.0,5597633000.0,1657373000.0,3320946000.0
Reconciled Depreciation,2760900000.0,1977839000.0,1743606000.0,1618295000.0
Reconciled Cost Of Revenue,15095000000.0,14101638000.0,10466157000.0,10417841000.0
EBITDA,9906600000.0,10278838000.0,4221220000.0,6641835000.0
EBIT,7145700000.0,8300999000.0,2477614000.0,5023540000.0
Net Interest Income,-194600000.0,107970000.0,292620000.0,594938000.0
Interest Expense,194600000.0,36878000.0,130707000.0,114791000.0
Interest Income,192952000.0,169433000.0,447236000.0,735346000.0
Normalized Income,4096200000.0,5576773587.865546,1636632065.224996,3343278457.304295
Net Income From Continuing And Discontinued Operation,4096200000.0,5597633000.0,1657373000.0,3320946000.0
Total Expenses,36780000000.0,28983519000.0,21691549000.0,22841286000.0
Rent Expense Supplemental,36539000.0,24631000.0,29101000.0,30862000.0
Diluted Average Shares,73436928.0,73436928.0,73436928.0,73436928.0
Basic Average Shares,73436928.0,73436928.0,73436928.0,73436928.0
Diluted EPS,55.78,76.22,22.57,45.22
Basic EPS,55.78,76.22,22.57,45.22
Diluted NI Availto Com Stockholders,4096200000.0,5597633000.0,1657373000.0,3320946000.0
Net Income Common Stockholders,4096200000.0,5597633000.0,1657373000.0,3320946000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4096200000.0,5597633000.0,1657373000.0,3320946000.0
Net Income Including Noncontrolling Interests,4096200000.0,5597633000.0,1657373000.0,3320946000.0
Net Income Continuous Operations,4096200000.0,5597633000.0,1657373000.0,3320946000.0
Tax Provision,2854900000.0,2666488000.0,689534000.0,1587803000.0
Pretax Income,6951100000.0,8264121000.0,2346907000.0,4908749000.0
Other Non Operating Income Expenses,421500000.0,6316000.0,10141000.0,9869000.0
Special Income Charges,-46034000.0,-65460000.0,8506000.0,-24291000.0
Other Special Charges,-1966000.0,-15076000.0,-22661000.0,-394000.0
Write Off,48000000.0,80536000.0,14155000.0,24685000.0
Net Non Operating Interest Income Expense,-194600000.0,107970000.0,292620000.0,594938000.0
Total Other Finance Cost,22827000.0,24585000.0,23909000.0,25617000.0
Interest Expense Non Operating,194600000.0,36878000.0,130707000.0,114791000.0
Interest Income Non Operating,192952000.0,169433000.0,447236000.0,735346000.0
Operating Income,8385000000.0,7954452000.0,1829582000.0,4248533000.0
Operating Expense,21685000000.0,14881881000.0,11225392000.0,12423445000.0
Other Operating Expenses,16400100000.0,9553004000.0,6660673000.0,8019851000.0
Depreciation And Amortization In Income Statement,2760900000.0,1977839000.0,1743606000.0,1618295000.0
Amortization,10402000.0,10424000.0,10607000.0,10365000.0
Depreciation Income Statement,2760900000.0,1967415000.0,1732999000.0,1607930000.0
Research And Development,98679000.0,12631000.0,12540000.0,12329000.0
Selling General And Administration,879735000.0,1200135000.0,938649000.0,455029000.0
Selling And Marketing Expense,457468000.0,868253000.0,637257000.0,200358000.0
General And Administrative Expense,422267000.0,331882000.0,301392000.0,254671000.0
Rent And Landing Fees,36539000.0,24631000.0,29101000.0,30862000.0
Gross Profit,30070000000.0,22836333000.0,13054974000.0,16671978000.0
Cost Of Revenue,15095000000.0,14101638000.0,10466157000.0,10417841000.0
Total Revenue,45165000000.0,36937971000.0,23521131000.0,27089819000.0
Operating Revenue,45165000000.0,36937971000.0,23521131000.0,27089819000.0
