,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,1638960000.0,185231540.46791,-774645333.487058,-376050000.0
Tax Rate For Calcs,0.4,0.170783,0.296685,0.3
Normalized EBITDA,6420400000.0,14990200000.0,4848200000.0,14038400000.0
Total Unusual Items,4097400000.0,1084600000.0,-2611000000.0,-1253500000.0
Total Unusual Items Excluding Goodwill,4097400000.0,1084600000.0,-2611000000.0,-1253500000.0
Net Income From Continuing Operation Net Minority Interest,-265900000.0,4196500000.0,-6100200000.0,1970300000.0
Reconciled Depreciation,1285500000.0,1383400000.0,1355100000.0,1518400000.0
Reconciled Cost Of Revenue,78316800000.0,82667500000.0,66046900000.0,73267800000.0
EBITDA,10517800000.0,16074800000.0,2237200000.0,12784900000.0
EBIT,9232300000.0,14691400000.0,882100000.0,11266500000.0
Net Interest Income,-10123100000.0,-5446300000.0,-7462700000.0,-8043000000.0
Interest Expense,10123100000.0,9630600000.0,9555600000.0,7647000000.0
Interest Income,2768500000.0,4858100000.0,2547800000.0,126800000.0
Normalized Income,-2724340000.0,3297131540.46791,-4263845333.487058,2847750000.0
Net Income From Continuing And Discontinued Operation,-278400000.0,3995600000.0,-6100200000.0,1970300000.0
Total Expenses,94084300000.0,95914000000.0,79600900000.0,83965500000.0
Rent Expense Supplemental,917000000.0,984300000.0,652300000.0,906500000.0
Diluted Average Shares,1512988279.0,1512976244.0,1513028244.0,1512976244.0
Basic Average Shares,1512976244.0,1512976244.0,1513028244.0,1512976244.0
Diluted EPS,-0.19,3.72,-4.03,1.3
Basic EPS,-0.19,3.72,-4.03,1.3
Diluted NI Availto Com Stockholders,-278400000.0,3995600000.0,-6100200000.0,1970300000.0
Net Income Common Stockholders,-278400000.0,3995600000.0,-6100200000.0,1970300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-278400000.0,3995600000.0,-6100200000.0,1970300000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,-278400000.0,3995600000.0,-6100200000.0,1970300000.0
Net Income Discontinuous Operations,-12500000.0,-200900000.0,,
Net Income Continuous Operations,-265900000.0,4196500000.0,-6100200000.0,1970300000.0
Tax Provision,-624900000.0,864300000.0,-2573300000.0,1649200000.0
Pretax Income,-890800000.0,5060800000.0,-8673500000.0,3619500000.0
Other Non Operating Income Expenses,557400000.0,834400000.0,454900000.0,599600000.0
Special Income Charges,4097400000.0,1084600000.0,-2611000000.0,-1253500000.0
Other Special Charges,-4126300000.0,-1084600000.0,2611000000.0,99200000.0
Write Off,297200000.0,,,1154300000.0
Impairment Of Capital Assets,,,,0.0
Net Non Operating Interest Income Expense,-10123100000.0,-5446300000.0,-7462700000.0,-8043000000.0
Total Other Finance Cost,606300000.0,673800000.0,454900000.0,522800000.0
Interest Expense Non Operating,10123100000.0,9630600000.0,9555600000.0,7647000000.0
Interest Income Non Operating,2768500000.0,4858100000.0,2547800000.0,126800000.0
Operating Income,4481600000.0,6297400000.0,373300000.0,10405100000.0
Operating Expense,15767500000.0,13246500000.0,13554000000.0,10697700000.0
Other Operating Expenses,6115300000.0,2051900000.0,2043200000.0,-1270200000.0
Depreciation And Amortization In Income Statement,1285500000.0,1383400000.0,1355100000.0,1518400000.0
Amortization,139600000.0,80600000.0,49700000.0,52600000.0
Depreciation Income Statement,1285500000.0,1302800000.0,1305400000.0,1465800000.0
Selling General And Administration,1007200000.0,488100000.0,598600000.0,613200000.0
Selling And Marketing Expense,44400000.0,56600000.0,53400000.0,38800000.0
General And Administrative Expense,962800000.0,431500000.0,545200000.0,574400000.0
Rent And Landing Fees,917000000.0,,,
Gross Profit,20249100000.0,19543900000.0,13927300000.0,21102800000.0
Cost Of Revenue,78316800000.0,82667500000.0,66046900000.0,73267800000.0
Total Revenue,98565900000.0,102211400000.0,79974200000.0,94370600000.0
Operating Revenue,98565900000.0,102211400000.0,79974200000.0,94370600000.0
