,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.2508,0.2553,0.255616,0.282727
Net Income From Continuing Operation Net Minority Interest,495446900000.0,386000400000.0,318332100000.0,262573200000.0
Reconciled Depreciation,23489700000.0,16816900000.0,13850100000.0,12800300000.0
Net Interest Income,913988500000.0,748839500000.0,693048100000.0,561862500000.0
Interest Expense,775538200000.0,584297500000.0,592475900000.0,586264000000.0
Interest Income,1689526700000.0,1333137000000.0,1285524000000.0,1148126500000.0
Normalized Income,495446900000.0,386000400000.0,318332100000.0,262573200000.0
Net Income From Continuing And Discontinued Operation,495446900000.0,386000400000.0,318332100000.0,262573200000.0
Diluted Average Shares,5587173328.0,5563479823.0,5523478346.0,5505792553.0
Basic Average Shares,5565620562.0,5533113800.0,5499587357.0,5468802148.0
Diluted EPS,88.68,69.38,59.02,47.27
Basic EPS,89.02,69.76,59.27,47.59
Diluted NI Availto Com Stockholders,495446900000.0,386000400000.0,318332100000.0,262573200000.0
Net Income Common Stockholders,495446900000.0,386000400000.0,318332100000.0,262573200000.0
Net Income,495446900000.0,386000400000.0,318332100000.0,262573200000.0
Minority Interests,-817500000.0,-602600000.0,-235600000.0,-94100000.0
Net Income Including Noncontrolling Interests,496264400000.0,386603000000.0,318567700000.0,262573200000.0
Net Income Extraordinary,,,0.0,
Net Income Continuous Operations,496264400000.0,386603000000.0,318567700000.0,262573200000.0
Tax Provision,166117400000.0,132559200000.0,109393700000.0,103498400000.0
Pretax Income,662381800000.0,519162200000.0,427961400000.0,366071600000.0
Gain On Sale Of Security,14574900000.0,21082900000.0,49757100000.0,20267200000.0
Depreciation Amortization Depletion Income Statement,23489700000.0,16816900000.0,13860200000.0,12800300000.0
Depreciation And Amortization In Income Statement,23489700000.0,16816900000.0,13860200000.0,12800300000.0
Amortization,,,0.0,0.0
Amortization Of Intangibles Income Statement,,,0.0,0.0
Depreciation Income Statement,23489700000.0,16816900000.0,13860200000.0,12800300000.0
Selling General And Administration,400219800000.0,320219100000.0,136766700000.0,95256700000.0
General And Administrative Expense,400219800000.0,320219100000.0,136766700000.0,95256700000.0
Other Gand A,200493000000.0,154931400000.0,149223000000.0,133439400000.0
Salaries And Wages,199726800000.0,165287700000.0,136766700000.0,95256700000.0
Total Revenue,1205375000000.0,1019413700000.0,966376900000.0,794470700000.0
Operating Revenue,1205375000000.0,1019413700000.0,966376900000.0,794470700000.0
