,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,191277282.0,487764855.0,-2303070000.0
Tax Rate For Calcs,0.300853,0.20226,0.25149,0.3
Normalized EBITDA,-32496600000.0,138533600000.0,185681700000.0,62844600000.0
Total Unusual Items,0.0,945700000.0,1939500000.0,-7676900000.0
Total Unusual Items Excluding Goodwill,0.0,945700000.0,1939500000.0,-7676900000.0
Net Income From Continuing Operation Net Minority Interest,-69802300000.0,72942300000.0,106628900000.0,26387300000.0
Reconciled Depreciation,45601500000.0,40003600000.0,36254700000.0,33698700000.0
Reconciled Cost Of Revenue,4317694100000.0,3268621600000.0,2048412900000.0,2509450500000.0
EBITDA,-32496600000.0,139479300000.0,187621200000.0,55167700000.0
EBIT,-78098100000.0,99475700000.0,151366500000.0,21469000000.0
Net Interest Income,-21741100000.0,2422700000.0,1447800000.0,1977300000.0
Interest Expense,21741100000.0,8039500000.0,9396500000.0,7726100000.0
Interest Income,,10604400000.0,11006800000.0,9912600000.0
Normalized Income,-69802300000.0,72187877282.0,105177164855.0,31761130000.0
Net Income From Continuing And Discontinued Operation,-69802300000.0,72942300000.0,106628900000.0,26387300000.0
Total Expenses,4509675700000.0,3424790800000.0,2204905500000.0,2655364400000.0
Rent Expense Supplemental,,2370700000.0,2779300000.0,2941300000.0
Diluted Average Shares,1418457631.0,1420216121.0,1511057676.0,1523822625.0
Basic Average Shares,1418457631.0,1420216121.0,1511057676.0,1523822625.0
Diluted EPS,-49.21,51.36,70.57,17.32
Basic EPS,-49.21,51.36,70.57,17.32
Diluted NI Availto Com Stockholders,-69802300000.0,72942300000.0,106628900000.0,26387300000.0
Net Income Common Stockholders,-69802300000.0,72942300000.0,106628900000.0,26387300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-69802300000.0,72942300000.0,106628900000.0,26387300000.0
Net Income Including Noncontrolling Interests,-69802300000.0,72942300000.0,106628900000.0,26387300000.0
Net Income Continuous Operations,-69802300000.0,72942300000.0,106628900000.0,26387300000.0
Tax Provision,-30036900000.0,18493900000.0,35341100000.0,-12644400000.0
Pretax Income,-99839200000.0,91436200000.0,141970000000.0,13742900000.0
Other Non Operating Income Expenses,14659100000.0,12943700000.0,10248300000.0,12067700000.0
Special Income Charges,0.0,1403500000.0,-530200000.0,-9861500000.0
Other Special Charges,,-1406200000.0,511700000.0,9835200000.0
Write Off,,2700000.0,18500000.0,26300000.0
Net Non Operating Interest Income Expense,-21741100000.0,2422700000.0,1447800000.0,1977300000.0
Total Other Finance Cost,,142200000.0,162500000.0,209200000.0
Interest Expense Non Operating,21741100000.0,8039500000.0,9396500000.0,7726100000.0
Interest Income Non Operating,,10604400000.0,11006800000.0,9912600000.0
Operating Income,-117672300000.0,61094700000.0,116736300000.0,23873100000.0
Operating Expense,191981600000.0,156169200000.0,156492600000.0,145913900000.0
Other Operating Expenses,177064000000.0,119952900000.0,121463400000.0,111188100000.0
Selling General And Administration,,8964600000.0,3325600000.0,2940400000.0
Selling And Marketing Expense,,5700900000.0,1273200000.0,1556600000.0
General And Administrative Expense,,3263700000.0,2052400000.0,1383800000.0
Rent And Landing Fees,,2370700000.0,2779300000.0,2941300000.0
Gross Profit,74309300000.0,217263900000.0,273228900000.0,169787000000.0
Cost Of Revenue,4317694100000.0,3268621600000.0,2048412900000.0,2509450500000.0
Total Revenue,4392003400000.0,3485885500000.0,2321641800000.0,2679237500000.0
Operating Revenue,4392003400000.0,3485885500000.0,2321641800000.0,2679237500000.0
