,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,3360000.0,-87029200.0,2347800.0,2013300.0
Tax Rate For Calcs,0.4,0.4,0.3,0.3
Normalized EBITDA,-392900000.0,-390137000.0,-151108000.0,101554000.0
Total Unusual Items,8400000.0,-217573000.0,7826000.0,6711000.0
Total Unusual Items Excluding Goodwill,8400000.0,-217573000.0,7826000.0,6711000.0
Net Income From Continuing Operation Net Minority Interest,-1247500000.0,-1456048000.0,-1122799000.0,-671053000.0
Reconciled Depreciation,93300000.0,98410000.0,97103000.0,113970000.0
Reconciled Cost Of Revenue,1416000000.0,1097130000.0,1238568000.0,1296243000.0
EBITDA,-384500000.0,-607710000.0,-143282000.0,108265000.0
EBIT,-477800000.0,-706120000.0,-240385000.0,-5705000.0
Net Interest Income,-690200000.0,-657277000.0,-740884000.0,-534095000.0
Interest Expense,690200000.0,744283000.0,839227000.0,653524000.0
Interest Income,,87265000.0,98449000.0,119659000.0
Normalized Income,-1252540000.0,-1325504200.0,-1128277200.0,-675750700.0
Net Income From Continuing And Discontinued Operation,-1229000000.0,5321994000.0,-1097503000.0,1558740000.0
Total Expenses,3070600000.0,2585013000.0,2612480000.0,2971318000.0
Rent Expense Supplemental,,2942000.0,4775000.0,5335000.0
Diluted Average Shares,1204091640.0,355504342.0,355601640.0,355601640.0
Basic Average Shares,1204091640.0,355504342.0,355601640.0,355601640.0
Diluted EPS,-3.46,14.97,-3.09,4.38
Basic EPS,-3.46,14.97,-3.09,4.38
Diluted NI Availto Com Stockholders,-1229000000.0,5321994000.0,-1097503000.0,1558740000.0
Net Income Common Stockholders,-1229000000.0,5321994000.0,-1097503000.0,1558740000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1229000000.0,5321994000.0,-1097503000.0,1558740000.0
Minority Interests,0.0,-5055000.0,5000.0,-186000.0
Net Income Including Noncontrolling Interests,-1229000000.0,5327049000.0,-1097508000.0,1558926000.0
Net Income Discontinuous Operations,18500000.0,6778042000.0,25296000.0,2229793000.0
Net Income Continuous Operations,-1247500000.0,-1450993000.0,-1122804000.0,-670867000.0
Tax Provision,79500000.0,590000.0,43192000.0,11638000.0
Pretax Income,-1168000000.0,-1450403000.0,-1079612000.0,-659229000.0
Other Non Operating Income Expenses,546400000.0,252040000.0,225938000.0,150799000.0
Special Income Charges,8400000.0,4468000.0,7826000.0,6711000.0
Other Special Charges,,-4468000.0,-7826000.0,-6711000.0
Net Non Operating Interest Income Expense,-690200000.0,-657277000.0,-740884000.0,-534095000.0
Total Other Finance Cost,,259000.0,106000.0,230000.0
Interest Expense Non Operating,690200000.0,744283000.0,839227000.0,653524000.0
Interest Income Non Operating,,87265000.0,98449000.0,119659000.0
Operating Income,-1032500000.0,-827628000.0,-573595000.0,-368304000.0
Operating Expense,1654600000.0,1487883000.0,1373912000.0,1675075000.0
Other Operating Expenses,706400000.0,503326000.0,450957000.0,374167000.0
Depreciation And Amortization In Income Statement,93300000.0,98410000.0,97103000.0,95389000.0
Amortization,,14061000.0,14061000.0,14061000.0
Depreciation Income Statement,93300000.0,84349000.0,83042000.0,81328000.0
Selling General And Administration,,21755000.0,13724000.0,6730000.0
Selling And Marketing Expense,,15512000.0,6892000.0,3643000.0
General And Administrative Expense,,6243000.0,6832000.0,3087000.0
Rent And Landing Fees,,2942000.0,4775000.0,5335000.0
Gross Profit,622100000.0,660255000.0,800317000.0,1306771000.0
Cost Of Revenue,1416000000.0,1097130000.0,1238568000.0,1296243000.0
Total Revenue,2038100000.0,1757385000.0,2038885000.0,2603014000.0
Operating Revenue,2038100000.0,1757385000.0,2038885000.0,2603014000.0
