,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-155160000.0,-6042800.0,-42064800.0,2939827200.0
Tax Rate For Calcs,0.4,0.4,0.3,0.3
Normalized EBITDA,-4841100000.0,964366000.0,3338079000.0,-127988000.0
Total Unusual Items,-387900000.0,-15107000.0,-140216000.0,9799424000.0
Total Unusual Items Excluding Goodwill,-387900000.0,-15107000.0,-140216000.0,9799424000.0
Net Income From Continuing Operation Net Minority Interest,-6083800000.0,-1367321000.0,43025000.0,1206923000.0
Reconciled Depreciation,121300000.0,121478000.0,172501000.0,307620000.0
Reconciled Cost Of Revenue,6408300000.0,11971690000.0,11132701000.0,18479314000.0
EBITDA,-5229000000.0,949259000.0,3197863000.0,9671436000.0
EBIT,-5350300000.0,827781000.0,3025362000.0,9363816000.0
Net Interest Income,-276400000.0,-866842000.0,-1718370000.0,-4394286000.0
Interest Expense,276400000.0,1097738000.0,2273429000.0,5587094000.0
Interest Income,494600000.0,232598000.0,560531000.0,1210452000.0
Normalized Income,-5851060000.0,-1358256800.0,141176200.0,-5652673800.0
Net Income From Continuing And Discontinued Operation,-6083800000.0,-1367321000.0,43025000.0,1206923000.0
Total Expenses,11447100000.0,14432863000.0,13298117000.0,23740800000.0
Rent Expense Supplemental,9700000.0,651000.0,3660000.0,14610000.0
Diluted Average Shares,539096827.0,455149209.0,452024375.0,452024375.0
Basic Average Shares,539096827.0,455149209.0,452024375.0,452024375.0
Diluted EPS,-11.29,-3.00385,0.1,2.67
Basic EPS,-11.29,-3.0,0.1,2.67
Diluted NI Availto Com Stockholders,-6083800000.0,-1367321000.0,43025000.0,1206923000.0
Net Income Common Stockholders,-6083800000.0,-1367321000.0,43025000.0,1206923000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-6083800000.0,-1367321000.0,43025000.0,1206923000.0
Minority Interests,-7900000.0,5569000.0,-4160000.0,-4129000.0
Net Income Including Noncontrolling Interests,-6075900000.0,-1372890000.0,47185000.0,1211052000.0
Net Income Continuous Operations,-6075900000.0,-1372890000.0,47185000.0,1211052000.0
Tax Provision,449200000.0,1102933000.0,704748000.0,2565670000.0
Pretax Income,-5626700000.0,-269957000.0,751933000.0,3776722000.0
Other Non Operating Income Expenses,617000000.0,156894000.0,245267000.0,69990000.0
Special Income Charges,-387900000.0,-50976000.0,-157613000.0,9210580000.0
Other Special Charges,14700000.0,1922000.0,-4016000.0,-8058261000.0
Write Off,17400000.0,49054000.0,161629000.0,988371000.0
Impairment Of Capital Assets,196800000.0,,,
Restructuring And Mergern Acquisition,,,0.0,-2140690000.0
Net Non Operating Interest Income Expense,-276400000.0,-866842000.0,-1718370000.0,-4394286000.0
Total Other Finance Cost,3400000.0,1702000.0,5472000.0,17644000.0
Interest Expense Non Operating,276400000.0,1097738000.0,2273429000.0,5587094000.0
Interest Income Non Operating,494600000.0,232598000.0,560531000.0,1210452000.0
Operating Income,-5579400000.0,-95363000.0,1819698000.0,-2020708000.0
Operating Expense,5038800000.0,2461173000.0,2165416000.0,5261486000.0
Other Operating Expenses,3868300000.0,1474827000.0,1312482000.0,3331939000.0
Depreciation And Amortization In Income Statement,121300000.0,121478000.0,172501000.0,307620000.0
Amortization,600000.0,2676000.0,3225000.0,4051000.0
Depreciation Income Statement,121300000.0,118802000.0,169276000.0,303569000.0
Selling General And Administration,174000000.0,187064000.0,245278000.0,566549000.0
Selling And Marketing Expense,54000000.0,4619000.0,4059000.0,72526000.0
General And Administrative Expense,120000000.0,182445000.0,241219000.0,494023000.0
Rent And Landing Fees,9700000.0,651000.0,3660000.0,14610000.0
Gross Profit,-540600000.0,2365810000.0,3985114000.0,3240778000.0
Cost Of Revenue,6408300000.0,11971690000.0,11132701000.0,18479314000.0
Total Revenue,5867700000.0,14337500000.0,15117815000.0,21720092000.0
Operating Revenue,5867700000.0,14337500000.0,15117815000.0,21720092000.0
