,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-19543875.583127,48037396.666233,-326764500.0
Tax Rate For Calcs,0.228144,0.262179,0.266458,0.3
Normalized EBITDA,4857000000.0,5684870000.0,3841826000.0,2408431000.0
Total Unusual Items,,-74544000.0,180281000.0,-1089215000.0
Total Unusual Items Excluding Goodwill,,-74544000.0,180281000.0,-1089215000.0
Net Income From Continuing Operation Net Minority Interest,2767800000.0,3584290000.0,2506314000.0,737800000.0
Reconciled Depreciation,647300000.0,409080000.0,431492000.0,434622000.0
Reconciled Cost Of Revenue,13607000000.0,18139967000.0,17470030000.0,14937718000.0
EBITDA,4857000000.0,5610326000.0,4022107000.0,1319216000.0
EBIT,4209700000.0,5201246000.0,3590615000.0,884594000.0
Net Interest Income,-623800000.0,-302845000.0,-179576000.0,-368638000.0
Interest Expense,623800000.0,340812000.0,194397000.0,317819000.0
Interest Income,,170745000.0,101214000.0,23815000.0
Normalized Income,2767800000.0,3639290124.416873,2374070396.666233,1500250500.0
Net Income From Continuing And Discontinued Operation,2767800000.0,3584290000.0,2506314000.0,737800000.0
Total Expenses,25905800000.0,21989738000.0,20070966000.0,17596902000.0
Rent Expense Supplemental,,75823000.0,57843000.0,50007000.0
Diluted Average Shares,198124553.0,198017670.0,197399670.0,197399670.0
Basic Average Shares,198124553.0,198017670.0,197399670.0,197399670.0
Diluted EPS,13.97,18.11,12.7,3.74
Basic EPS,13.97,18.11,12.7,3.74
Diluted NI Availto Com Stockholders,2767800000.0,3584290000.0,2506314000.0,737800000.0
Net Income Common Stockholders,2767800000.0,3584290000.0,2506314000.0,737800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2767800000.0,3584290000.0,2506314000.0,737800000.0
Minority Interests,,-1840000.0,15047000.0,6831000.0
Net Income Including Noncontrolling Interests,2767800000.0,3586130000.0,2491267000.0,730969000.0
Net Income Continuous Operations,2767800000.0,3586130000.0,2491267000.0,730969000.0
Tax Provision,818100000.0,1274304000.0,904951000.0,-164194000.0
Pretax Income,3585900000.0,4860434000.0,3396218000.0,566775000.0
Other Non Operating Income Expenses,,26399000.0,5650000.0,2855000.0
Special Income Charges,,-24206000.0,-52361000.0,-999021000.0
Other Special Charges,,21876000.0,50979000.0,984791000.0
Write Off,,2330000.0,1382000.0,14230000.0
Net Non Operating Interest Income Expense,-623800000.0,-302845000.0,-179576000.0,-368638000.0
Total Other Finance Cost,,132778000.0,86393000.0,74634000.0
Interest Expense Non Operating,623800000.0,340812000.0,194397000.0,317819000.0
Interest Income Non Operating,,170745000.0,101214000.0,23815000.0
Operating Income,4209700000.0,4107468000.0,3419532000.0,1519438000.0
Operating Expense,12298800000.0,3849771000.0,2600936000.0,2659184000.0
Other Operating Expenses,9288200000.0,1690219000.0,1383575000.0,1490156000.0
Depreciation And Amortization In Income Statement,647300000.0,409080000.0,431492000.0,434622000.0
Depreciation Income Statement,647300000.0,409080000.0,431492000.0,434622000.0
Selling General And Administration,,2093071000.0,853667000.0,892539000.0
Selling And Marketing Expense,,2008811000.0,799857000.0,848682000.0
General And Administrative Expense,,84260000.0,53810000.0,43857000.0
Rent And Landing Fees,,75823000.0,57843000.0,50007000.0
Gross Profit,16508500000.0,7957239000.0,6020468000.0,4178622000.0
Cost Of Revenue,13607000000.0,18139967000.0,17470030000.0,14937718000.0
Total Revenue,30115500000.0,26097206000.0,23490498000.0,19116340000.0
Operating Revenue,30115500000.0,26097206000.0,23490498000.0,19116340000.0
