,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,9648400.0,1052710.5,1207644.0
Tax Rate For Calcs,0.4,0.4,0.2105,0.0785
Normalized EBITDA,683981000.0,491885000.0,826468000.0,817625000.0
Total Unusual Items,70365000.0,24121000.0,5001000.0,15384000.0
Total Unusual Items Excluding Goodwill,70365000.0,24121000.0,5001000.0,15384000.0
Net Income From Continuing Operation Net Minority Interest,52377000.0,11900000.0,256203000.0,299086000.0
Reconciled Depreciation,471555000.0,444716000.0,446813000.0,425350000.0
Reconciled Cost Of Revenue,4361827000.0,3809154000.0,3315837000.0,3218565000.0
EBITDA,683981000.0,516006000.0,831469000.0,833009000.0
EBIT,212426000.0,71290000.0,384656000.0,407659000.0
Net Interest Income,-121414000.0,-64976000.0,-70371000.0,-105712000.0
Interest Expense,121414000.0,48148000.0,60162000.0,83101000.0
Interest Income,1814000.0,1789000.0,5224000.0,2734000.0
Normalized Income,52377000.0,-2572600.0,252254710.5,284909644.0
Net Income From Continuing And Discontinued Operation,52377000.0,11900000.0,256203000.0,299086000.0
Total Expenses,6430208000.0,5362176000.0,4905183000.0,4880150000.0
Rent Expense Supplemental,7200000.0,6510000.0,5169000.0,4856000.0
Diluted Average Shares,31475048.0,31475048.0,31475048.0,31475048.0
Basic Average Shares,31475048.0,31475048.0,31475048.0,31475048.0
Diluted EPS,1.66,0.38,8.14,9.5
Basic EPS,1.66,0.38,8.14,9.5
Diluted NI Availto Com Stockholders,52377000.0,11900000.0,256203000.0,299086000.0
Net Income Common Stockholders,52377000.0,11900000.0,256203000.0,299086000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,52377000.0,11900000.0,256203000.0,299086000.0
Net Income Including Noncontrolling Interests,52377000.0,11900000.0,256203000.0,299086000.0
Net Income Continuous Operations,52377000.0,11900000.0,256203000.0,299086000.0
Tax Provision,38635000.0,11242000.0,68291000.0,25472000.0
Pretax Income,91012000.0,23142000.0,324494000.0,324558000.0
Other Non Operating Income Expenses,80176000.0,7458000.0,62224000.0,88985000.0
Special Income Charges,61026000.0,21489000.0,,
Other Special Charges,-61026000.0,-21489000.0,,
Net Non Operating Interest Income Expense,-121414000.0,-64976000.0,-70371000.0,-105712000.0
Total Other Finance Cost,18520000.0,18617000.0,15433000.0,25345000.0
Interest Expense Non Operating,121414000.0,48148000.0,60162000.0,83101000.0
Interest Income Non Operating,1814000.0,1789000.0,5224000.0,2734000.0
Operating Income,132250000.0,41518000.0,297806000.0,358001000.0
Operating Expense,2068381000.0,1553022000.0,1589346000.0,1661585000.0
Other Operating Expenses,1011561000.0,617978000.0,658768000.0,683700000.0
Depreciation And Amortization In Income Statement,471555000.0,444716000.0,446813000.0,425350000.0
Amortization,31127000.0,29991000.0,20150000.0,12143000.0
Depreciation Income Statement,471555000.0,414725000.0,426663000.0,413207000.0
Selling General And Administration,164409000.0,145877000.0,137683000.0,133343000.0
Selling And Marketing Expense,67900000.0,68062000.0,67003000.0,28869000.0
General And Administrative Expense,96509000.0,77815000.0,70680000.0,104474000.0
Rent And Landing Fees,7200000.0,6510000.0,5169000.0,4856000.0
Gross Profit,2200631000.0,1594540000.0,1887152000.0,2019586000.0
Cost Of Revenue,4361827000.0,3809154000.0,3315837000.0,3218565000.0
Total Revenue,6562458000.0,5403694000.0,5202989000.0,5238151000.0
Operating Revenue,6562458000.0,5403694000.0,5202989000.0,5238151000.0
