,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,4226732.68732,-2770489.319097,325245473.052356
Tax Rate For Calcs,0.239037,0.226392,0.242812,0.305731
Total Unusual Items,21400000.0,18670000.0,-11410000.0,1063830000.0
Total Unusual Items Excluding Goodwill,21400000.0,18670000.0,-11410000.0,1063830000.0
Net Income From Continuing Operation Net Minority Interest,15003000000.0,11878930000.0,7601180000.0,5018300000.0
Reconciled Depreciation,1525900000.0,1216980000.0,1053490000.0,1056490000.0
Net Interest Income,41474400000.0,32045390000.0,27859760000.0,22252320000.0
Interest Expense,32218300000.0,29910050000.0,26258270000.0,23968160000.0
Interest Income,73692700000.0,61955440000.0,54118030000.0,46220480000.0
Normalized Income,15003000000.0,11864486732.68732,7609819510.680903,4279715473.052356
Net Income From Continuing And Discontinued Operation,15003000000.0,11878930000.0,7601180000.0,5018300000.0
Diluted Average Shares,382895439.0,381449222.0,379223728.0,378981411.0
Basic Average Shares,379880425.0,379194372.0,378417476.0,378044762.0
Diluted EPS,39.18,31.14,20.04,13.24
Basic EPS,39.49,31.33,20.09,13.27
Diluted NI Availto Com Stockholders,15003000000.0,11878930000.0,7601180000.0,5018300000.0
Net Income Common Stockholders,15003000000.0,11878930000.0,7601180000.0,5018300000.0
Net Income,15003000000.0,11878930000.0,7601180000.0,5018300000.0
Minority Interests,-1072500000.0,-3570000.0,-6920000.0,-16430000.0
Net Income Including Noncontrolling Interests,16075500000.0,11882500000.0,7608100000.0,5034730000.0
Net Income Continuous Operations,16075500000.0,11882500000.0,7608100000.0,5034730000.0
Tax Provision,5049700000.0,3477340000.0,2439740000.0,2217110000.0
Pretax Income,21125200000.0,15359840000.0,10047840000.0,7251840000.0
Special Income Charges,21400000.0,18670000.0,-11410000.0,1063830000.0
Other Special Charges,-21400000.0,-18670000.0,11410000.0,-5440000.0
Write Off,,,,-1058390000.0
Gain On Sale Of Security,-2739300000.0,4882960000.0,3108950000.0,-650880000.0
Operating Expense,22466300000.0,23628480000.0,18373080000.0,17164410000.0
Other Operating Expenses,7645400000.0,12012560000.0,8324780000.0,5976410000.0
Depreciation And Amortization In Income Statement,1525900000.0,1216980000.0,1053440000.0,1056490000.0
Depreciation Income Statement,1525900000.0,1216980000.0,1053440000.0,1056490000.0
Selling General And Administration,3052700000.0,654600000.0,1363720000.0,2302970000.0
Selling And Marketing Expense,757400000.0,-830970000.0,323700000.0,534410000.0
General And Administrative Expense,2295300000.0,1485570000.0,1040020000.0,1768560000.0
Insurance And Claims,,202290000.0,236230000.0,102300000.0
Rent And Landing Fees,347600000.0,218070000.0,151990000.0,252660000.0
Total Revenue,42902900000.0,38888070000.0,33275180000.0,23487360000.0
Operating Revenue,42902900000.0,38888070000.0,33275180000.0,23487360000.0
