,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,744680000.0,5921314.203002,-11286647.831432,-7707000.0
Tax Rate For Calcs,0.4,0.22798,0.329018,0.3
Normalized EBITDA,-1029900000.0,5223041000.0,8309906000.0,5716059000.0
Total Unusual Items,1861700000.0,25973000.0,-34304000.0,-25690000.0
Total Unusual Items Excluding Goodwill,1861700000.0,25973000.0,-34304000.0,-25690000.0
Net Income From Continuing Operation Net Minority Interest,-1268900000.0,784626000.0,2067643000.0,523587000.0
Reconciled Depreciation,2192700000.0,2255291000.0,2465972000.0,2558979000.0
Reconciled Cost Of Revenue,11102900000.0,25040950000.0,19926524000.0,25052492000.0
EBITDA,831800000.0,5249014000.0,8275602000.0,5690369000.0
EBIT,-1360900000.0,2993723000.0,5809630000.0,3131390000.0
Net Interest Income,-2416800000.0,-1764204000.0,-2490202000.0,-3053873000.0
Interest Expense,2416800000.0,2139129000.0,2703041000.0,2895289000.0
Interest Income,146828000.0,115256000.0,219927000.0,170629000.0
Normalized Income,-2385920000.0,764574314.203002,2090660352.168568,541570000.0
Net Income From Continuing And Discontinued Operation,-1268900000.0,784626000.0,2067643000.0,523587000.0
Total Expenses,59705100000.0,45918366000.0,39490582000.0,48281331000.0
Rent Expense Supplemental,7569000.0,6661000.0,6489000.0,8767000.0
Diluted Average Shares,309896936.0,309896936.0,309896936.0,309896936.0
Basic Average Shares,309896936.0,309896936.0,309896936.0,309896936.0
Diluted EPS,-4.04,8.98,7.01,1.618512
Basic EPS,-4.04,8.98,7.01,1.618512
Diluted NI Availto Com Stockholders,-1268900000.0,784626000.0,2067643000.0,501572000.0
Net Income Common Stockholders,-1268900000.0,784626000.0,2067643000.0,501572000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1268900000.0,784626000.0,2067643000.0,501572000.0
Minority Interests,-18800000.0,-87281000.0,-24056000.0,-11043000.0
Net Income Including Noncontrolling Interests,-1250100000.0,871907000.0,2091699000.0,512615000.0
Net Income Extraordinary,,,7200000.0,-22015000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,-1250100000.0,871907000.0,2091699000.0,534630000.0
Tax Provision,-2079500000.0,194830000.0,1022125000.0,-298529000.0
Pretax Income,-3777700000.0,854594000.0,3106589000.0,236101000.0
Other Non Operating Income Expenses,401100000.0,24278000.0,10552000.0,-62221000.0
Special Income Charges,1861700000.0,1049000.0,-58307000.0,-170927000.0
Other Special Charges,-1949325000.0,-1049000.0,58307000.0,170927000.0
Net Non Operating Interest Income Expense,-2416800000.0,-1764204000.0,-2490202000.0,-3053873000.0
Total Other Finance Cost,109674000.0,-259669000.0,7088000.0,329213000.0
Interest Expense Non Operating,2416800000.0,2139129000.0,2703041000.0,2895289000.0
Interest Income Non Operating,146828000.0,115256000.0,219927000.0,170629000.0
Operating Income,-3623700000.0,2664647000.0,5614428000.0,3531929000.0
Operating Expense,48602200000.0,20877416000.0,19564058000.0,23228839000.0
Other Operating Expenses,42755100000.0,21899000.0,263942000.0,34118000.0
Depreciation And Amortization In Income Statement,2192700000.0,2255291000.0,2465972000.0,2558979000.0
Depreciation Income Statement,2192700000.0,2255291000.0,2465972000.0,2558979000.0
Selling General And Administration,16437158000.0,15189676000.0,13446745000.0,17085909000.0
Selling And Marketing Expense,14930809000.0,13712118000.0,12358214000.0,15619412000.0
General And Administrative Expense,1506349000.0,1477558000.0,1088531000.0,1466497000.0
Rent And Landing Fees,7569000.0,6661000.0,6489000.0,8767000.0
Gross Profit,44978500000.0,23542063000.0,25178486000.0,26760768000.0
Cost Of Revenue,11102900000.0,25040950000.0,19926524000.0,25052492000.0
Total Revenue,56081400000.0,48583013000.0,45105010000.0,51813260000.0
Operating Revenue,56081400000.0,48583013000.0,45105010000.0,51813260000.0
