,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,12200000.0,-1260000.0,2190000.0
Tax Rate For Calcs,0.110096,0.4,0.3,0.3
Total Unusual Items,0.0,30500000.0,-4200000.0,7300000.0
Total Unusual Items Excluding Goodwill,0.0,30500000.0,-4200000.0,7300000.0
Net Income From Continuing Operation Net Minority Interest,55723100000.0,41418100000.0,31491500000.0,8613400000.0
Reconciled Depreciation,5323900000.0,6008600000.0,6369000000.0,3140000000.0
Net Interest Income,202678700000.0,167324000000.0,156692700000.0,76037700000.0
Interest Expense,247172900000.0,221292500000.0,234388000000.0,137975100000.0
Interest Income,449851600000.0,388616500000.0,391080700000.0,214012800000.0
Normalized Income,55723100000.0,41399800000.0,31494440000.0,8608290000.0
Net Income From Continuing And Discontinued Operation,55723100000.0,41418100000.0,31491500000.0,8613400000.0
Diluted Average Shares,1245441139.0,1218410075.0,1129366570.0,525852645.0
Basic Average Shares,1245441139.0,1218410075.0,1129366570.0,525852645.0
Diluted EPS,44.74,33.99,27.88,16.38
Basic EPS,44.74,33.99,27.88,16.38
Diluted NI Availto Com Stockholders,55723100000.0,41418100000.0,31491500000.0,8613400000.0
Net Income Common Stockholders,55723100000.0,41418100000.0,31491500000.0,8613400000.0
Net Income,55723100000.0,41418100000.0,31491500000.0,8613400000.0
Minority Interests,-12100000.0,-23800000.0,-14300000.0,-6900000.0
Net Income Including Noncontrolling Interests,55735200000.0,41441900000.0,31505800000.0,8620100000.0
Net Income Extraordinary,0.0,0.0,,
Net Income Continuous Operations,55735200000.0,41441900000.0,31505800000.0,8620100000.0
Tax Provision,6594700000.0,-7310200000.0,-903820000.0,
Pretax Income,59899500000.0,39938900000.0,30157200000.0,7580600000.0
Special Income Charges,0.0,30500000.0,-4200000.0,7300000.0
Other Special Charges,-1700000.0,-30500000.0,4200000.0,-7300000.0
Gain On Sale Of Security,2960900000.0,12915600000.0,21255300000.0,8797300000.0
Operating Expense,155662000000.0,113535400000.0,107892800000.0,44327100000.0
Other Operating Expenses,79873200000.0,25572300000.0,23458200000.0,9826000000.0
Depreciation And Amortization In Income Statement,5323900000.0,6008600000.0,6369000000.0,3140100000.0
Depreciation Income Statement,5323900000.0,6008600000.0,6369000000.0,3140100000.0
Selling General And Administration,1697100000.0,981000000.0,999800000.0,517900000.0
Selling And Marketing Expense,943500000.0,302000000.0,130300000.0,88800000.0
General And Administrative Expense,753600000.0,679000000.0,869500000.0,429100000.0
Insurance And Claims,8135600000.0,7423100000.0,6824200000.0,2869100000.0
Rent And Landing Fees,6259300000.0,6154300000.0,6117700000.0,3181200000.0
Total Revenue,280723700000.0,241358500000.0,222101600000.0,109285300000.0
Operating Revenue,280723700000.0,241358500000.0,222101600000.0,109285300000.0
