,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-2860848.137328,3507048.558724,-23973821.902646
Tax Rate For Calcs,0.250605,0.253105,0.254374,0.27828
Total Unusual Items,0.0,-11303000.0,13787000.0,-86150000.0
Total Unusual Items Excluding Goodwill,0.0,-11303000.0,13787000.0,-86150000.0
Net Income From Continuing Operation Net Minority Interest,74434900000.0,48050380000.0,29300961000.0,44581806000.0
Reconciled Depreciation,4072100000.0,3520235000.0,3276435000.0,2909449000.0
Net Interest Income,175921200000.0,150008445000.0,135278933000.0,120587443000.0
Interest Expense,187758000000.0,158215978000.0,154719034000.0,167240856000.0
Interest Income,363679200000.0,308224423000.0,289997967000.0,287828299000.0
Normalized Income,74434900000.0,48058822151.86267,29290681048.558723,44643982178.09735
Net Income From Continuing And Discontinued Operation,74434900000.0,48050380000.0,29300961000.0,44581806000.0
Diluted Average Shares,776255183.0,775372364.0,733230801.0,695542990.0
Basic Average Shares,775248354.0,774094014.0,731929220.0,692966902.0
Diluted EPS,95.89,61.97,39.96,64.1
Basic EPS,96.01,62.07,40.03,64.33
Diluted NI Availto Com Stockholders,74434900000.0,48050380000.0,29300961000.0,44581806000.0
Net Income Common Stockholders,74434900000.0,48050380000.0,29300961000.0,44581806000.0
Net Income,74434900000.0,48050380000.0,29300961000.0,44581806000.0
Net Income Including Noncontrolling Interests,74434900000.0,48050374000.0,29300987000.0,44581836000.0
Net Income Extraordinary,0.0,0.0,0.0,
Net Income Continuous Operations,74434900000.0,48050374000.0,29300987000.0,44581836000.0
Tax Provision,24890600000.0,16281800000.0,9995400000.0,17188600000.0
Pretax Income,99321900000.0,64328191000.0,39294175000.0,61767285000.0
Special Income Charges,0.0,-11303000.0,13787000.0,-86150000.0
Other Special Charges,27786000.0,11303000.0,-13787000.0,86150000.0
Gain On Sale Of Security,-166272000.0,5931587000.0,14861935000.0,5525614000.0
Operating Expense,113458700000.0,114626457000.0,104307556000.0,87244673000.0
Other Operating Expenses,71672100000.0,65180816000.0,61457415000.0,46999411000.0
Depreciation And Amortization In Income Statement,4072062000.0,3520235000.0,3276435000.0,2909449000.0
Depreciation Income Statement,4072062000.0,3520235000.0,3276435000.0,2909449000.0
Selling General And Administration,1610571000.0,1193311000.0,1128484000.0,1303002000.0
Selling And Marketing Expense,951169000.0,670148000.0,502059000.0,580492000.0
General And Administrative Expense,659402000.0,523163000.0,626425000.0,722510000.0
Insurance And Claims,4964259000.0,4287941000.0,3226498000.0,2805134000.0
Rent And Landing Fees,6345802000.0,5664148000.0,4789234000.0,4992282000.0
Total Revenue,257648900000.0,220432051000.0,194185844000.0,185451008000.0
Operating Revenue,257648900000.0,220432051000.0,194185844000.0,185451008000.0
