,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,9412848.484848,9790882.061447,6764460.51168,0.0
Tax Rate For Calcs,0.276848,0.264618,0.270578,0.244588
Normalized EBITDA,4650000000.0,4492000000.0,4038000000.0,3119000000.0
Total Unusual Items,34000000.0,37000000.0,25000000.0,0.0
Total Unusual Items Excluding Goodwill,34000000.0,37000000.0,25000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,2981000000.0,2963000000.0,2613000000.0,2331000000.0
Reconciled Depreciation,524000000.0,466000000.0,441000000.0,407000000.0
Reconciled Cost Of Revenue,12709000000.0,10996000000.0,8828000000.0,8552000000.0
EBITDA,4684000000.0,4529000000.0,4063000000.0,3119000000.0
EBIT,4160000000.0,4063000000.0,3622000000.0,3119000000.0
Net Interest Income,191000000.0,194000000.0,191000000.0,-24000000.0
Interest Expense,35000000.0,27000000.0,26000000.0,24000000.0
Interest Income,226000000.0,221000000.0,217000000.0,264000000.0
Normalized Income,2956412848.484848,2935790882.061447,2594764460.51168,2331000000.0
Net Income From Continuing And Discontinued Operation,2981000000.0,2963000000.0,2613000000.0,2331000000.0
Total Expenses,14352000000.0,12532000000.0,10211000000.0,10056000000.0
Rent Expense Supplemental,11000000.0,8000000.0,10000000.0,12000000.0
Total Operating Income As Reported,3825000000.0,3755000000.0,3325000000.0,2724000000.0
Diluted Average Shares,4187731070.0,4218525134.0,4250732467.0,4265144228.0
Basic Average Shares,4180897857.0,4209546724.0,4242416665.0,4257754522.0
Diluted EPS,0.71,0.7,0.61,0.55
Basic EPS,0.71,0.7,0.62,0.55
Diluted NI Availto Com Stockholders,2981000000.0,2963000000.0,2613000000.0,2331000000.0
Net Income Common Stockholders,2981000000.0,2963000000.0,2613000000.0,2331000000.0
Net Income,2981000000.0,2963000000.0,2613000000.0,2331000000.0
Minority Interests,-2000000.0,-5000000.0,-10000000.0,-7000000.0
Net Income Including Noncontrolling Interests,2983000000.0,2968000000.0,2623000000.0,2338000000.0
Net Income Continuous Operations,2983000000.0,2968000000.0,2623000000.0,2338000000.0
Tax Provision,1142000000.0,1068000000.0,973000000.0,757000000.0
Pretax Income,4125000000.0,4036000000.0,3596000000.0,3095000000.0
Other Income Expense,74000000.0,64000000.0,55000000.0,395000000.0
Other Non Operating Income Expenses,40000000.0,27000000.0,30000000.0,395000000.0
Special Income Charges,-35000000.0,-23000000.0,-25000000.0,0.0
Gain On Sale Of Business,,,0.0,0.0
Write Off,35000000.0,23000000.0,25000000.0,24000000.0
Impairment Of Capital Assets,,,0.0,0.0
Earnings From Equity Interest,,,,0.0
Gain On Sale Of Security,69000000.0,60000000.0,50000000.0,105000000.0
Net Non Operating Interest Income Expense,191000000.0,194000000.0,191000000.0,-24000000.0
Interest Expense Non Operating,35000000.0,27000000.0,26000000.0,24000000.0
Interest Income Non Operating,226000000.0,221000000.0,217000000.0,264000000.0
Operating Income,3860000000.0,3779000000.0,3350000000.0,2724000000.0
Operating Expense,1643000000.0,1536000000.0,1383000000.0,1504000000.0
Other Operating Expenses,116000000.0,110000000.0,125000000.0,151000000.0
Other Taxes,37000000.0,35000000.0,35000000.0,27000000.0
Selling General And Administration,1490000000.0,1391000000.0,1223000000.0,1504000000.0
Selling And Marketing Expense,160000000.0,93000000.0,624000000.0,664000000.0
General And Administrative Expense,1330000000.0,1298000000.0,599000000.0,840000000.0
Other Gand A,397000000.0,398000000.0,300000000.0,840000000.0
Insurance And Claims,21000000.0,22000000.0,18000000.0,12000000.0
Rent And Landing Fees,7000000.0,5000000.0,6000000.0,3000000.0
Salaries And Wages,905000000.0,873000000.0,275000000.0,253000000.0
Gross Profit,5503000000.0,5315000000.0,4733000000.0,4228000000.0
Cost Of Revenue,12709000000.0,10996000000.0,8828000000.0,8552000000.0
Total Revenue,18212000000.0,16311000000.0,13561000000.0,12780000000.0
Operating Revenue,18212000000.0,16311000000.0,13561000000.0,12780000000.0
