,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-1007622000.0,3352241000.0,1675243000.0,3232363000.0
Total Unusual Items,-78000.0,2146000.0,280194000.0,-40947000.0
Total Unusual Items Excluding Goodwill,-78000.0,2146000.0,280194000.0,-40947000.0
Net Income From Continuing Operation Net Minority Interest,-3598500000.0,1196964000.0,94778000.0,1508583000.0
Reconciled Depreciation,494984000.0,500295000.0,418484000.0,418920000.0
Reconciled Cost Of Revenue,11812000000.0,14823845000.0,19673290000.0,16305277000.0
EBITDA,-1007700000.0,3354387000.0,1955437000.0,3191416000.0
EBIT,-1502700000.0,2854092000.0,1536953000.0,2772496000.0
Net Interest Income,-2095800000.0,-1871709000.0,-1479857000.0,-1242401000.0
Interest Expense,2095800000.0,1657128000.0,1442175000.0,1263913000.0
Interest Income,,48526000.0,116060000.0,157114000.0
Normalized Income,-3598422000.0,1194818000.0,-185416000.0,1549530000.0
Net Income From Continuing And Discontinued Operation,-3598500000.0,1196964000.0,94778000.0,1508583000.0
Total Expenses,15983542000.0,15780352000.0,22764007000.0,18478674000.0
Rent Expense Supplemental,,16152000.0,19642000.0,24697000.0
Diluted Average Shares,944488639.0,934724409.0,926293676.0,897616318.0
Basic Average Shares,944488639.0,934724409.0,926293676.0,897616318.0
Diluted EPS,-3.81,1.27,0.1,1.62
Basic EPS,-3.81,1.27,0.1,1.62
Diluted NI Availto Com Stockholders,-3598500000.0,1196964000.0,94778000.0,1410344000.0
Net Income Common Stockholders,-3598500000.0,1196964000.0,94778000.0,1410344000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,-1000.0
Preferred Stock Dividends,,0.0,,98240000.0
Net Income,-3598500000.0,1196964000.0,94778000.0,1508583000.0
Net Income Including Noncontrolling Interests,-3598500000.0,1196964000.0,94778000.0,1508583000.0
Net Income Continuous Operations,-3598500000.0,1196964000.0,94778000.0,1508583000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-3598500000.0,1196964000.0,94778000.0,1508583000.0
Other Non Operating Income Expenses,524120000.0,260426000.0,453199000.0,688992000.0
Special Income Charges,-78000.0,2146000.0,280194000.0,-40947000.0
Other Special Charges,,,,-5064000.0
Write Off,78000.0,32302000.0,870000.0,58878000.0
Restructuring And Mergern Acquisition,,-34448000.0,-281064000.0,-12867000.0
Net Non Operating Interest Income Expense,-2095800000.0,-1871709000.0,-1479857000.0,-1242401000.0
Total Other Finance Cost,,263107000.0,153742000.0,135602000.0
Interest Expense Non Operating,2095800000.0,1657128000.0,1442175000.0,1263913000.0
Interest Income Non Operating,,48526000.0,116060000.0,157114000.0
Operating Income,-2029042000.0,2826961000.0,857821000.0,2110012000.0
Operating Expense,4171542000.0,956507000.0,3090717000.0,2173397000.0
Other Operating Expenses,1387842000.0,86210000.0,87662000.0,68024000.0
Depreciation And Amortization In Income Statement,495000000.0,500295000.0,418484000.0,418920000.0
Depreciation Income Statement,495000000.0,500295000.0,418484000.0,418920000.0
Selling General And Administration,,340451000.0,380637000.0,326579000.0
Selling And Marketing Expense,,36981000.0,6243000.0,23361000.0
General And Administrative Expense,,303470000.0,374394000.0,303218000.0
Rent And Landing Fees,,16152000.0,19642000.0,24697000.0
Gross Profit,2142500000.0,3783468000.0,3948538000.0,4283409000.0
Cost Of Revenue,11812000000.0,14823845000.0,19673290000.0,16305277000.0
Total Revenue,13954500000.0,18607313000.0,23621828000.0,20588686000.0
Operating Revenue,13954500000.0,18607313000.0,23621828000.0,20588686000.0
