,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-134577291.14736,11809244.302248,-10975436.427579,-370549.604206
Tax Rate For Calcs,0.22277,0.231504,0.269257,0.017108
Normalized EBITDA,3859866000.0,4265155000.0,2712143000.0,4662382000.0
Total Unusual Items,125482000.0,51011000.0,-40762000.0,-21660000.0
Total Unusual Items Excluding Goodwill,-604108000.0,51011000.0,-40762000.0,-21660000.0
Net Income From Continuing Operation Net Minority Interest,1998401000.0,2224772000.0,888729000.0,2734221000.0
Reconciled Depreciation,1067515000.0,1186248000.0,1285893000.0,1457628000.0
Reconciled Cost Of Revenue,5713010000.0,6096592000.0,4455329000.0,8215144000.0
EBITDA,3985348000.0,4316166000.0,2671381000.0,4640722000.0
EBIT,2917833000.0,3129918000.0,1385488000.0,3183094000.0
Net Interest Income,-385933000.0,22835000.0,-128895000.0,-262181000.0
Interest Expense,385933000.0,307840000.0,313789000.0,325292000.0
Interest Income,,337754000.0,207057000.0,71227000.0
Normalized Income,3197521708.85264,2185570244.302248,918515563.572421,2755510450.395794
Net Income From Continuing And Discontinued Operation,1998401000.0,2224772000.0,888729000.0,2734221000.0
Total Expenses,16099139000.0,13151796000.0,11466157000.0,17425986000.0
Rent Expense Supplemental,,,-1182000.0,39039000.0
Diluted Average Shares,262601971.0,264538882.0,281084726.0,293471334.0
Basic Average Shares,262601971.0,264538882.0,281084726.0,293471334.0
Diluted EPS,7.61,8.41,3.16,9.32
Basic EPS,7.61,8.41,3.16,9.32
Diluted NI Availto Com Stockholders,1998401000.0,2224772000.0,888729000.0,2734221000.0
Net Income Common Stockholders,1998401000.0,2224772000.0,888729000.0,2734221000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1998401000.0,2224772000.0,888729000.0,2734221000.0
Minority Interests,30533000.0,56016000.0,105592000.0,-74781000.0
Net Income Including Noncontrolling Interests,1967868000.0,2168756000.0,783137000.0,2809002000.0
Net Income Continuous Operations,1967868000.0,2168756000.0,783137000.0,2808912000.0
Tax Provision,564032000.0,653322000.0,288562000.0,48890000.0
Pretax Income,2531900000.0,2822078000.0,1071699000.0,2857802000.0
Other Non Operating Income Expenses,1059111000.0,29378000.0,23473000.0,13578000.0
Special Income Charges,-604108000.0,-202193000.0,-320366000.0,-313315000.0
Other Special Charges,-386828000.0,-115492000.0,100429000.0,-13742000.0
Write Off,261346000.0,317349000.0,209904000.0,303778000.0
Impairment Of Capital Assets,,336000.0,10033000.0,23279000.0
Net Non Operating Interest Income Expense,-385933000.0,22835000.0,-128895000.0,-262181000.0
Total Other Finance Cost,,7079000.0,22163000.0,8116000.0
Interest Expense Non Operating,385933000.0,307840000.0,313789000.0,325292000.0
Interest Income Non Operating,,337754000.0,207057000.0,71227000.0
Operating Income,2462606000.0,2721179000.0,1204517000.0,3175813000.0
Operating Expense,10386129000.0,7055204000.0,7010828000.0,9210842000.0
Other Operating Expenses,5433431000.0,1765198000.0,1760306000.0,2482930000.0
Depreciation And Amortization In Income Statement,1067515000.0,1186248000.0,1285893000.0,1457628000.0
Amortization,,396193000.0,393873000.0,420161000.0
Depreciation Income Statement,1067515000.0,790055000.0,892020000.0,1037467000.0
Selling General And Administration,,690720000.0,471159000.0,1431759000.0
Selling And Marketing Expense,,569326000.0,357089000.0,1306537000.0
General And Administrative Expense,,121394000.0,114070000.0,125222000.0
Rent And Landing Fees,,,-1182000.0,39039000.0
Gross Profit,12848735000.0,9776383000.0,8215345000.0,12386655000.0
Cost Of Revenue,5713010000.0,6096592000.0,4455329000.0,8215144000.0
Total Revenue,18561745000.0,15872975000.0,12670674000.0,20601799000.0
Operating Revenue,18561745000.0,15872975000.0,12670674000.0,20601799000.0
