,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-204760000.0,467125004.527289,-446862.723428,-1703992800.0
Tax Rate For Calcs,0.4,0.027508,0.001166,0.3
Normalized EBITDA,8040200000.0,13304507000.0,6508296000.0,1945358000.0
Total Unusual Items,-511900000.0,16981328000.0,-383249000.0,-5679976000.0
Total Unusual Items Excluding Goodwill,-511900000.0,16981328000.0,-383249000.0,-5679976000.0
Net Income From Continuing Operation Net Minority Interest,2268700000.0,22472856000.0,-5582747000.0,-15044654000.0
Reconciled Depreciation,2657100000.0,2609921000.0,2667562000.0,2763374000.0
Reconciled Cost Of Revenue,33716400000.0,40994799000.0,26190321000.0,30133553000.0
EBITDA,7528300000.0,30285835000.0,6125047000.0,-3734618000.0
EBIT,4871200000.0,27675914000.0,3457485000.0,-6497992000.0
Net Interest Income,-4530200000.0,-4541342000.0,-9063650000.0,-8647689000.0
Interest Expense,4530200000.0,4567385000.0,9046749000.0,8540874000.0
Interest Income,87728000.0,47433000.0,24782000.0,35708000.0
Normalized Income,2575840000.0,5958653004.527289,-5199944862.723428,-11068670800.0
Net Income From Continuing And Discontinued Operation,2268700000.0,22472856000.0,-5582747000.0,-15044654000.0
Total Expenses,58266200000.0,48879091000.0,32975722000.0,36889481000.0
Rent Expense Supplemental,119261000.0,107893000.0,106856000.0,106421000.0
Diluted Average Shares,970998244.0,970998244.0,638633063.0,638633063.0
Basic Average Shares,970998244.0,791361199.0,638633063.0,638633063.0
Diluted EPS,2.34,23.57,-8.74,-23.56
Basic EPS,2.34,28.4,-8.74,-23.56
Diluted NI Availto Com Stockholders,2268700000.0,22472856000.0,-5582747000.0,-15044654000.0
Net Income Common Stockholders,2268700000.0,22472856000.0,-5582747000.0,-15044654000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2268700000.0,22472856000.0,-5582747000.0,-15044654000.0
Net Income Including Noncontrolling Interests,2268700000.0,22472856000.0,-5582747000.0,-15044654000.0
Net Income Continuous Operations,2268700000.0,22472856000.0,-5582747000.0,-15044654000.0
Tax Provision,-1927700000.0,635673000.0,-6517000.0,5788000.0
Pretax Income,341000000.0,23108529000.0,-5589264000.0,-15038866000.0
Other Non Operating Income Expenses,220700000.0,2303000.0,1418000.0,14380000.0
Special Income Charges,-511900000.0,16981313000.0,-383250000.0,-5679970000.0
Other Special Charges,457718000.0,-17235017000.0,-1000.0,5650689000.0
Write Off,151586000.0,253704000.0,382853000.0,29281000.0
Impairment Of Capital Assets,32302000.0,0.0,398000.0,
Net Non Operating Interest Income Expense,-4530200000.0,-4541342000.0,-9063650000.0,-8647689000.0
Total Other Finance Cost,25457000.0,21390000.0,41683000.0,142523000.0
Interest Expense Non Operating,4530200000.0,4567385000.0,9046749000.0,8540874000.0
Interest Income Non Operating,87728000.0,47433000.0,24782000.0,35708000.0
Operating Income,5162400000.0,10671387000.0,3849112000.0,-681344000.0
Operating Expense,24549800000.0,7884292000.0,6785401000.0,6755928000.0
Other Operating Expenses,19125400000.0,264258000.0,218444000.0,313773000.0
Depreciation And Amortization In Income Statement,2657100000.0,2609921000.0,2667562000.0,2763374000.0
Amortization,36314000.0,22690000.0,24964000.0,55660000.0
Depreciation Income Statement,2657100000.0,2587231000.0,2642598000.0,2707714000.0
Selling General And Administration,2511455000.0,2489365000.0,1921904000.0,1516195000.0
Selling And Marketing Expense,1682397000.0,1701276000.0,1345137000.0,941757000.0
General And Administrative Expense,829058000.0,788089000.0,576767000.0,574438000.0
Rent And Landing Fees,36211000.0,23893000.0,22856000.0,22421000.0
Gross Profit,29712200000.0,18555679000.0,10634513000.0,6074584000.0
Cost Of Revenue,33716400000.0,40994799000.0,26190321000.0,30133553000.0
Total Revenue,63428600000.0,59550478000.0,36824834000.0,36208137000.0
Operating Revenue,63428600000.0,59550478000.0,36824834000.0,36208137000.0
