,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-680147469.313366,471617475.255737,-10471664.814622,28805866.347923
Tax Rate For Calcs,0.299664,0.268871,0.239868,0.073196
Normalized EBITDA,10049600000.0,16348650000.0,12217236000.0,6546458000.0
Total Unusual Items,-2269700000.0,1754065000.0,-43656000.0,393544000.0
Total Unusual Items Excluding Goodwill,-2269700000.0,1754065000.0,-43656000.0,393544000.0
Net Income From Continuing Operation Net Minority Interest,3189300000.0,11962342000.0,7908823000.0,4886445000.0
Reconciled Depreciation,1743000000.0,1531860000.0,1448777000.0,1183528000.0
Reconciled Cost Of Revenue,32472300000.0,38027775000.0,24237440000.0,23329893000.0
EBITDA,7779900000.0,18102715000.0,12173580000.0,6940002000.0
EBIT,6036900000.0,16533318000.0,10687266000.0,5718937000.0
Net Interest Income,-1482800000.0,180326000.0,-207809000.0,-491756000.0
Interest Expense,1482800000.0,171849000.0,282731000.0,446576000.0
Interest Income,833884000.0,467647000.0,175975000.0,44055000.0
Normalized Income,4778852530.686634,10679894475.255737,7942007335.185378,4521706866.347923
Net Income From Continuing And Discontinued Operation,3189300000.0,11962342000.0,7908823000.0,4886445000.0
Total Expenses,44555100000.0,45186861000.0,30322524000.0,29521468000.0
Rent Expense Supplemental,43466000.0,33432000.0,29202000.0,29905000.0
Diluted Average Shares,43786413.0,43786413.0,43786413.0,43786413.0
Basic Average Shares,43786413.0,43786413.0,43786413.0,43786413.0
Diluted EPS,72.85,273.2,180.62,111.6
Basic EPS,72.85,273.2,180.62,111.6
Diluted NI Availto Com Stockholders,3189300000.0,11962342000.0,7908823000.0,4886445000.0
Net Income Common Stockholders,3189300000.0,11962342000.0,7908823000.0,4886445000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3189300000.0,11962342000.0,7908823000.0,4886445000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,3189300000.0,11962342000.0,7908823000.0,4886445000.0
Net Income Continuous Operations,3189400000.0,11962342000.0,7908823000.0,4886445000.0
Tax Provision,1364700000.0,4399127000.0,2495712000.0,385916000.0
Pretax Income,4554100000.0,16361469000.0,10404535000.0,5272361000.0
Other Non Operating Income Expenses,6616400000.0,279074000.0,614244000.0,84332000.0
Special Income Charges,-2269700000.0,1044556000.0,-43656000.0,-10114000.0
Other Special Charges,2269700000.0,11129000.0,43645000.0,
Write Off,3002000.0,-1055685000.0,,
Restructuring And Mergern Acquisition,,0.0,11000.0,10114000.0
Net Non Operating Interest Income Expense,-1482800000.0,180326000.0,-207809000.0,-491756000.0
Total Other Finance Cost,133340000.0,115472000.0,101053000.0,89235000.0
Interest Expense Non Operating,1482800000.0,171849000.0,282731000.0,446576000.0
Interest Income Non Operating,833884000.0,467647000.0,175975000.0,44055000.0
Operating Income,1717800000.0,13425697000.0,10217013000.0,5795759000.0
Operating Expense,12082800000.0,7159086000.0,6085084000.0,6191575000.0
Other Operating Expenses,8792300000.0,4012142000.0,3263010000.0,3558899000.0
Depreciation And Amortization In Income Statement,1743000000.0,1569397000.0,1486314000.0,1221065000.0
Amortization,11316000.0,21324000.0,14576000.0,12913000.0
Depreciation Income Statement,1743000000.0,1548073000.0,1471738000.0,1208152000.0
Selling General And Administration,1453511000.0,897631000.0,849755000.0,612723000.0
General And Administrative Expense,1453511000.0,897631000.0,849755000.0,612723000.0
Rent And Landing Fees,43466000.0,33432000.0,29202000.0,29905000.0
Gross Profit,13800600000.0,20584783000.0,16302097000.0,11987334000.0
Cost Of Revenue,32472300000.0,38027775000.0,24237440000.0,23329893000.0
Total Revenue,46272900000.0,58612558000.0,40539537000.0,35317227000.0
Operating Revenue,46272900000.0,58612558000.0,40539537000.0,35317227000.0
