,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,9357767.346808,-2984861.345898,-849169.354183
Tax Rate For Calcs,0.309404,0.237507,0.242672,0.314507
Normalized EBITDA,8962100000.0,9847000000.0,9710200000.0,8105100000.0
Total Unusual Items,0.0,39400000.0,-12300000.0,-2700000.0
Total Unusual Items Excluding Goodwill,0.0,39400000.0,-12300000.0,-2700000.0
Net Income From Continuing Operation Net Minority Interest,3586200000.0,4635600000.0,4053800000.0,2480400000.0
Reconciled Depreciation,2283300000.0,2234700000.0,2253300000.0,2198200000.0
Reconciled Cost Of Revenue,31978300000.0,27017700000.0,22047000000.0,10614700000.0
EBITDA,8962100000.0,9886400000.0,9697900000.0,8102400000.0
EBIT,6678800000.0,7651700000.0,7444600000.0,5904200000.0
Net Interest Income,-1334000000.0,-1123300000.0,-1639500000.0,-2183800000.0
Interest Expense,1334000000.0,1388300000.0,1884000000.0,2214300000.0
Interest Income,,298600000.0,280100000.0,65900000.0
Normalized Income,3586200000.0,4605557767.346808,4063115138.654102,2482250830.645817
Net Income From Continuing And Discontinued Operation,3586200000.0,4635600000.0,4053800000.0,2480400000.0
Total Expenses,58411200000.0,46927500000.0,40141900000.0,37858400000.0
Rent Expense Supplemental,,118900000.0,145100000.0,183600000.0
Diluted Average Shares,117657480.0,117684692.0,117670066.0,117670066.0
Basic Average Shares,117657480.0,117684692.0,117670066.0,117670066.0
Diluted EPS,30.48,39.39,34.45,21.08
Basic EPS,30.48,39.39,34.45,21.08
Diluted NI Availto Com Stockholders,3586200000.0,4635600000.0,4053800000.0,2480400000.0
Net Income Common Stockholders,3586200000.0,4635600000.0,4053800000.0,2480400000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3586200000.0,4635600000.0,4053800000.0,2480400000.0
Minority Interests,-104900000.0,-140200000.0,-157400000.0,-49000000.0
Net Income Including Noncontrolling Interests,3691100000.0,4775800000.0,4211200000.0,2529400000.0
Net Income Continuous Operations,3691100000.0,4775800000.0,4211200000.0,2529400000.0
Tax Provision,1653700000.0,1487600000.0,1349400000.0,1160500000.0
Pretax Income,5344800000.0,6263400000.0,5560600000.0,3689900000.0
Other Non Operating Income Expenses,575200000.0,75300000.0,80100000.0,94400000.0
Special Income Charges,0.0,-207700000.0,-363700000.0,-270700000.0
Other Special Charges,,207700000.0,363700000.0,270700000.0
Impairment Of Capital Assets,,,,302300000.0
Net Non Operating Interest Income Expense,-1334000000.0,-1123300000.0,-1639500000.0,-2183800000.0
Total Other Finance Cost,,33600000.0,35600000.0,35400000.0
Interest Expense Non Operating,1334000000.0,1388300000.0,1884000000.0,2214300000.0
Interest Income Non Operating,,298600000.0,280100000.0,65900000.0
Operating Income,6103800000.0,7271400000.0,7132500000.0,5782300000.0
Operating Expense,26432900000.0,19909800000.0,18094900000.0,27243700000.0
Other Operating Expenses,20272400000.0,12404000000.0,10724600000.0,19105200000.0
Depreciation And Amortization In Income Statement,2283300000.0,2234700000.0,2253300000.0,2198200000.0
Amortization,,12000000.0,48200000.0,35500000.0
Depreciation Income Statement,2283300000.0,2222700000.0,2205100000.0,2162700000.0
Selling General And Administration,,1516500000.0,1338100000.0,2316800000.0
Selling And Marketing Expense,,1427300000.0,1257800000.0,2277700000.0
General And Administrative Expense,,89200000.0,80300000.0,39100000.0
Rent And Landing Fees,,118900000.0,145100000.0,183600000.0
Gross Profit,32536700000.0,27181200000.0,25227400000.0,33026000000.0
Cost Of Revenue,31978300000.0,27017700000.0,22047000000.0,10614700000.0
Total Revenue,64515000000.0,54198900000.0,47274400000.0,43640700000.0
Operating Revenue,64515000000.0,54198900000.0,47274400000.0,43640700000.0
