,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-89542942.5198,67955340.0,74139360.0,50190420.0
Tax Rate For Calcs,0.26618,0.3174,0.3606,0.3274
Normalized EBITDA,21844500000.0,11095500000.0,6461400000.0,9478700000.0
Total Unusual Items,-336400000.0,214100000.0,205600000.0,153300000.0
Total Unusual Items Excluding Goodwill,-336400000.0,214100000.0,205600000.0,153300000.0
Net Income From Continuing Operation Net Minority Interest,11957900000.0,5426000000.0,2399500000.0,4753200000.0
Reconciled Depreciation,2818500000.0,1930500000.0,1742500000.0,1494800000.0
Reconciled Cost Of Revenue,35357800000.0,18070100000.0,13816700000.0,14235400000.0
EBITDA,21508100000.0,11309600000.0,6667000000.0,9632000000.0
EBIT,18689600000.0,9379100000.0,4924500000.0,8137200000.0
Net Interest Income,-2224800000.0,-1221600000.0,-1034000000.0,-725100000.0
Interest Expense,2224800000.0,1412100000.0,1222400000.0,1173300000.0
Interest Income,345800000.0,225100000.0,261100000.0,529300000.0
Normalized Income,12204757057.4802,5279855340.0,2268039360.0,4650090420.0
Net Income From Continuing And Discontinued Operation,11957900000.0,5426000000.0,2399500000.0,4753200000.0
Total Expenses,47068600000.0,30059000000.0,22621500000.0,22711500000.0
Rent Expense Supplemental,158100000.0,141500000.0,126600000.0,152200000.0
Diluted Average Shares,169402344.0,169402344.0,172453081.0,178243585.0
Basic Average Shares,169402344.0,169402344.0,172453081.0,178243585.0
Diluted EPS,70.59,32.03,13.73,26.28
Basic EPS,70.59,32.03,13.73,26.28
Diluted NI Availto Com Stockholders,11957900000.0,5426000000.0,2367200000.0,4684100000.0
Average Dilution Earnings,,0.0,-32300000.0,-69100000.0
Net Income Common Stockholders,11957900000.0,5426000000.0,2399500000.0,4753200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,11957900000.0,5426000000.0,2399500000.0,4753200000.0
Minority Interests,-124300000.0,-12200000.0,32300000.0,69100000.0
Net Income Including Noncontrolling Interests,12082200000.0,5438200000.0,2367200000.0,4684100000.0
Net Income Continuous Operations,12082200000.0,5438200000.0,2367200000.0,4684100000.0
Tax Provision,4382600000.0,2528800000.0,1334900000.0,2279800000.0
Pretax Income,16464800000.0,7967000000.0,3702100000.0,6963900000.0
Other Non Operating Income Expenses,1726500000.0,62000000.0,66700000.0,119400000.0
Special Income Charges,-336400000.0,18200000.0,1600000.0,-44600000.0
Other Special Charges,289400000.0,-22700000.0,-6000000.0,-1800000.0
Write Off,2700000.0,,0.0,5600000.0
Impairment Of Capital Assets,31200000.0,4500000.0,4400000.0,40800000.0
Net Non Operating Interest Income Expense,-2224800000.0,-1221600000.0,-1034000000.0,-725100000.0
Total Other Finance Cost,66500000.0,34600000.0,72700000.0,81100000.0
Interest Expense Non Operating,2224800000.0,1412100000.0,1222400000.0,1173300000.0
Interest Income Non Operating,345800000.0,225100000.0,261100000.0,529300000.0
Operating Income,17299500000.0,8718000000.0,4651800000.0,7476900000.0
Operating Expense,11710800000.0,11988900000.0,8804800000.0,8476100000.0
Other Operating Expenses,4055600000.0,6067500000.0,4566500000.0,4309700000.0
Depreciation And Amortization In Income Statement,2818500000.0,1930500000.0,1536200000.0,1494800000.0
Amortization,138000000.0,53800000.0,42000000.0,37900000.0
Depreciation Income Statement,2818500000.0,1876700000.0,1494200000.0,1456900000.0
Selling General And Administration,701600000.0,1023500000.0,97600000.0,40600000.0
Selling And Marketing Expense,574300000.0,923500000.0,11400000.0,3300000.0
General And Administrative Expense,127300000.0,100000000.0,86200000.0,37300000.0
Rent And Landing Fees,158100000.0,141500000.0,126600000.0,152200000.0
Gross Profit,29010300000.0,20706900000.0,13456600000.0,15953000000.0
Cost Of Revenue,35357800000.0,18070100000.0,13816700000.0,14235400000.0
Total Revenue,64368100000.0,38777000000.0,27273300000.0,30188400000.0
Operating Revenue,64368100000.0,38777000000.0,27273300000.0,30188400000.0
