,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-219168272.340426,21741240.0,-4107740.0,540000.0
Tax Rate For Calcs,0.356255,0.3518,0.3367,0.3
Normalized EBITDA,13343300000.0,11026000000.0,13808200000.0,9052000000.0
Total Unusual Items,-615200000.0,61800000.0,-12200000.0,1800000.0
Total Unusual Items Excluding Goodwill,-615200000.0,61800000.0,-12200000.0,1800000.0
Net Income From Continuing Operation Net Minority Interest,2624800000.0,2100200000.0,3193400000.0,1507600000.0
Reconciled Depreciation,4070600000.0,3866900000.0,3866900000.0,3778300000.0
Reconciled Cost Of Revenue,100109400000.0,81887600000.0,55765600000.0,54577900000.0
EBITDA,12728100000.0,11087800000.0,13796000000.0,9053800000.0
EBIT,8657500000.0,7220900000.0,9929100000.0,5275500000.0
Net Interest Income,-4545000000.0,-3917700000.0,-4325400000.0,-5237800000.0
Interest Expense,4545000000.0,4130800000.0,4585600000.0,5443200000.0
Interest Income,21500000.0,273200000.0,333100000.0,252100000.0
Normalized Income,3020831727.659574,2060141240.0,3201492260.0,1506340000.0
Net Income From Continuing And Discontinued Operation,2624800000.0,2100200000.0,3193400000.0,1507600000.0
Total Expenses,137541900000.0,111649000000.0,81796200000.0,80362100000.0
Rent Expense Supplemental,206800000.0,186900000.0,158800000.0,188500000.0
Total Operating Income As Reported,,11098600000.0,13494100000.0,
Diluted Average Shares,246709064.0,246230880.0,246230880.0,246230880.0
Basic Average Shares,246668022.0,246230880.0,246230880.0,246230880.0
Diluted EPS,10.64,8.53,12.97,6.12
Basic EPS,10.64,8.53,12.97,6.12
Diluted NI Availto Com Stockholders,2624800000.0,2100200000.0,3193400000.0,1507600000.0
Net Income Common Stockholders,2624800000.0,2100200000.0,3193400000.0,1507600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2624800000.0,2100200000.0,3193400000.0,1507600000.0
Minority Interests,-5700000.0,87800000.0,-115900000.0,94500000.0
Net Income Including Noncontrolling Interests,2630500000.0,2012400000.0,3309300000.0,1413100000.0
Net Income Continuous Operations,2630500000.0,2012400000.0,3309300000.0,1413100000.0
Tax Provision,1465100000.0,1087100000.0,2009100000.0,-1657800000.0
Pretax Income,4112500000.0,3090100000.0,5343500000.0,-167700000.0
Other Non Operating Income Expenses,365200000.0,60000000.0,44800000.0,20200000.0
Special Income Charges,-615200000.0,35400000.0,-49200000.0,-2400000.0
Other Special Charges,615200000.0,-35400000.0,49200000.0,2400000.0
Net Non Operating Interest Income Expense,-4545000000.0,-3917700000.0,-4325400000.0,-5237800000.0
Total Other Finance Cost,59800000.0,60100000.0,72900000.0,46700000.0
Interest Expense Non Operating,4545000000.0,4130800000.0,4585600000.0,5443200000.0
Interest Income Non Operating,21500000.0,273200000.0,333100000.0,252100000.0
Operating Income,8907500000.0,6880000000.0,9225800000.0,6015700000.0
Operating Expense,37432500000.0,29761400000.0,26030600000.0,25784200000.0
Other Operating Expenses,21181700000.0,9150800000.0,7294000000.0,8207400000.0
Depreciation And Amortization In Income Statement,4070600000.0,3853600000.0,3866900000.0,3778300000.0
Depreciation Income Statement,4070600000.0,3853600000.0,3866900000.0,3778300000.0
Selling General And Administration,8058700000.0,7217200000.0,5512800000.0,5165400000.0
Selling And Marketing Expense,6912500000.0,6152200000.0,4494400000.0,5165400000.0
General And Administrative Expense,1146200000.0,1065000000.0,1018400000.0,
Rent And Landing Fees,206800000.0,186900000.0,158800000.0,188500000.0
Gross Profit,46340000000.0,36641400000.0,35256400000.0,31799900000.0
Cost Of Revenue,100109400000.0,81887600000.0,55765600000.0,54577900000.0
Total Revenue,146449400000.0,118529000000.0,91022000000.0,86377800000.0
Operating Revenue,146449400000.0,118529000000.0,91022000000.0,86377800000.0
