,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,13976829.757369,2600374.591081,-44781318.876868,-2640706.747796
Tax Rate For Calcs,0.198817,0.19191,0.187449,0.10426
Normalized EBITDA,3554100000.0,2654972000.0,3331598000.0,2698109000.0
Total Unusual Items,70300000.0,13550000.0,-238899000.0,-25328000.0
Total Unusual Items Excluding Goodwill,70300000.0,13550000.0,-238899000.0,-25328000.0
Net Income From Continuing Operation Net Minority Interest,2397400000.0,1619735000.0,1994496000.0,1703421000.0
Reconciled Depreciation,501300000.0,581672000.0,555881000.0,529194000.0
Reconciled Cost Of Revenue,14348800000.0,12923963000.0,10189165000.0,9086954000.0
EBITDA,3624400000.0,2668522000.0,3092699000.0,2672781000.0
EBIT,3123100000.0,2086850000.0,2536818000.0,2143587000.0
Net Interest Income,-130900000.0,-79292000.0,-158548000.0,-302395000.0
Interest Expense,130900000.0,117636000.0,190486000.0,328535000.0
Interest Income,76527000.0,38764000.0,33793000.0,26454000.0
Normalized Income,2341076829.757369,1608785374.591081,2188613681.123132,1726108293.252204
Net Income From Continuing And Discontinued Operation,2397400000.0,1619735000.0,1994496000.0,1703421000.0
Total Expenses,22202700000.0,20025326000.0,16471840000.0,15100586000.0
Rent Expense Supplemental,24202000.0,25743000.0,22415000.0,14635000.0
Diluted Average Shares,367208644.0,367208644.0,367208644.0,367208644.0
Basic Average Shares,367208644.0,367208644.0,367208644.0,367208644.0
Diluted EPS,6.53,4.41,5.43,4.64
Basic EPS,6.53,4.41,5.43,4.64
Diluted NI Availto Com Stockholders,2397400000.0,1619735000.0,1994496000.0,1703421000.0
Net Income Common Stockholders,2397400000.0,1619735000.0,1994496000.0,1703421000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2397400000.0,1619735000.0,1994496000.0,1703421000.0
Minority Interests,100000.0,28432000.0,87981000.0,77607000.0
Net Income Including Noncontrolling Interests,2397300000.0,1591303000.0,1906515000.0,1625814000.0
Net Income Continuous Operations,2397300000.0,1591303000.0,1906515000.0,1625814000.0
Tax Provision,594900000.0,377911000.0,439817000.0,189238000.0
Pretax Income,2992200000.0,1969214000.0,2346332000.0,1815052000.0
Other Non Operating Income Expenses,395300000.0,107623000.0,135795000.0,146693000.0
Special Income Charges,70300000.0,13550000.0,-238899000.0,-41716000.0
Other Special Charges,-251797000.0,-13550000.0,238338000.0,40937000.0
Write Off,,0.0,561000.0,779000.0
Net Non Operating Interest Income Expense,-130900000.0,-79292000.0,-158548000.0,-302395000.0
Total Other Finance Cost,640000.0,420000.0,1855000.0,314000.0
Interest Expense Non Operating,130900000.0,117636000.0,190486000.0,328535000.0
Interest Income Non Operating,76527000.0,38764000.0,33793000.0,26454000.0
Operating Income,2657500000.0,1925664000.0,2607984000.0,1996643000.0
Operating Expense,7853900000.0,7101363000.0,6282675000.0,6013632000.0
Other Operating Expenses,2965300000.0,753298000.0,668009000.0,722536000.0
Depreciation And Amortization In Income Statement,501200000.0,581672000.0,555881000.0,529194000.0
Amortization,10455000.0,12586000.0,13751000.0,12083000.0
Depreciation Income Statement,501200000.0,569086000.0,542130000.0,517111000.0
Selling General And Administration,1743300000.0,3154841000.0,2625374000.0,2410686000.0
Selling And Marketing Expense,1743300000.0,3020443000.0,2491660000.0,2259992000.0
General And Administrative Expense,164978000.0,134398000.0,133714000.0,150694000.0
Rent And Landing Fees,24202000.0,25743000.0,22415000.0,14635000.0
Gross Profit,10511400000.0,9027027000.0,8890659000.0,8010275000.0
Cost Of Revenue,14348800000.0,12923963000.0,10189165000.0,9086954000.0
Total Revenue,24860200000.0,21950990000.0,19079824000.0,17097229000.0
Operating Revenue,24860200000.0,21950990000.0,19079824000.0,17097229000.0
