,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,52502890.367541,55275959.014668,47238083.243373
Tax Rate For Calcs,0.262124,0.279717,0.262096,0.22667
Normalized EBITDA,8439700000.0,6552000000.0,8802700000.0,8089300000.0
Total Unusual Items,192000000.0,187700000.0,210900000.0,208400000.0
Total Unusual Items Excluding Goodwill,192000000.0,187700000.0,210900000.0,208400000.0
Net Income From Continuing Operation Net Minority Interest,4735800000.0,3588600000.0,5297400000.0,5210100000.0
Reconciled Depreciation,1800800000.0,1697700000.0,1653000000.0,1421200000.0
Reconciled Cost Of Revenue,52642800000.0,44569100000.0,31703100000.0,32877900000.0
EBITDA,8439700000.0,6739700000.0,9013600000.0,8297700000.0
EBIT,6638900000.0,5042000000.0,7360600000.0,6876500000.0
Net Interest Income,-290000000.0,-252000000.0,-174100000.0,-181200000.0
Interest Expense,290000000.0,277900000.0,236100000.0,206900000.0
Interest Income,28400000.0,25900000.0,62000000.0,25700000.0
Normalized Income,4735800000.0,3453402890.367541,5141775959.014668,5048938083.243373
Net Income From Continuing And Discontinued Operation,4735800000.0,3588600000.0,5297400000.0,5210100000.0
Total Expenses,69048200000.0,58027900000.0,43595800000.0,46014700000.0
Rent Expense Supplemental,178100000.0,153400000.0,173300000.0,320600000.0
Diluted Average Shares,808998294.0,808379580.0,808379580.0,808379580.0
Basic Average Shares,808379580.0,808379580.0,808379580.0,808379580.0
Diluted EPS,5.853333,4.44,6.553333,6.446667
Basic EPS,5.86,4.44,6.553333,6.446667
Diluted NI Availto Com Stockholders,4735800000.0,3588600000.0,5297400000.0,5210100000.0
Net Income Common Stockholders,4735800000.0,3588600000.0,5297400000.0,5210100000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4735800000.0,3588600000.0,5297400000.0,5210100000.0
Minority Interests,51100000.0,157100000.0,40200000.0,52300000.0
Net Income Including Noncontrolling Interests,4684700000.0,3431500000.0,5257200000.0,5157800000.0
Net Income Continuous Operations,4684700000.0,3431500000.0,5257200000.0,5157800000.0
Tax Provision,1664200000.0,1332600000.0,1867300000.0,1511800000.0
Pretax Income,6348900000.0,4764100000.0,7124500000.0,6669600000.0
Other Non Operating Income Expenses,259800000.0,36200000.0,23800000.0,15600000.0
Special Income Charges,53300000.0,44800000.0,67300000.0,14300000.0
Other Special Charges,-53300000.0,-44800000.0,-67300000.0,-14300000.0
Net Non Operating Interest Income Expense,-290000000.0,-252000000.0,-174100000.0,-181200000.0
Interest Expense Non Operating,290000000.0,277900000.0,236100000.0,206900000.0
Interest Income Non Operating,28400000.0,25900000.0,62000000.0,25700000.0
Operating Income,6379100000.0,4795900000.0,6979800000.0,6623400000.0
Operating Expense,16405400000.0,13458800000.0,11892700000.0,13136800000.0
Other Operating Expenses,10834100000.0,2933700000.0,2463800000.0,2850300000.0
Depreciation And Amortization In Income Statement,1800800000.0,1697700000.0,1653000000.0,1421200000.0
Amortization,144500000.0,149900000.0,155800000.0,144100000.0
Depreciation Income Statement,1800800000.0,1547800000.0,1497200000.0,1277100000.0
Selling General And Administration,6835900000.0,5987900000.0,4722700000.0,5602600000.0
Selling And Marketing Expense,6685900000.0,5859800000.0,4604200000.0,5500800000.0
General And Administrative Expense,150000000.0,128100000.0,118500000.0,101800000.0
Rent And Landing Fees,178100000.0,153400000.0,173300000.0,320600000.0
Gross Profit,22784500000.0,18254700000.0,18872500000.0,19760200000.0
Cost Of Revenue,52642800000.0,44569100000.0,31703100000.0,32877900000.0
Total Revenue,75427300000.0,62823800000.0,50575600000.0,52638100000.0
Operating Revenue,75427300000.0,62823800000.0,50575600000.0,52638100000.0
