,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,3053038.943059,730542.672274,-17006122.078588
Tax Rate For Calcs,0.230203,0.276769,0.327451,0.136523
Total Unusual Items,0.0,11031000.0,2231000.0,-124566000.0
Total Unusual Items Excluding Goodwill,0.0,11031000.0,2231000.0,-124566000.0
Net Income From Continuing Operation Net Minority Interest,11060900000.0,6732673000.0,3593893000.0,2350247000.0
Reconciled Depreciation,1056600000.0,1191794000.0,1241383000.0,1188816000.0
Net Interest Income,33488100000.0,27153770000.0,23595144000.0,23479415000.0
Interest Expense,31677400000.0,28722967000.0,31109126000.0,36420443000.0
Interest Income,65165500000.0,55876737000.0,54704270000.0,59899858000.0
Normalized Income,11060900000.0,6724695038.943059,3592392542.672274,2457806877.921412
Net Income From Continuing And Discontinued Operation,11060900000.0,6732673000.0,3593893000.0,2350247000.0
Diluted Average Shares,802677794.0,800558859.0,799320719.0,799319945.0
Basic Average Shares,800934106.0,799608076.0,799320719.0,799319945.0
Diluted EPS,13.78,8.41,4.5,2.94
Basic EPS,13.81,8.42,4.5,2.94
Diluted NI Availto Com Stockholders,11060900000.0,6732673000.0,3593893000.0,2350247000.0
Net Income Common Stockholders,11060900000.0,6732673000.0,3593893000.0,2350247000.0
Net Income,11060900000.0,6732673000.0,3593893000.0,2350247000.0
Net Income Including Noncontrolling Interests,11060900000.0,6732707000.0,3593904000.0,2350286000.0
Net Income Extraordinary,0.0,0.0,0.0,
Net Income Continuous Operations,11060900000.0,6732707000.0,3593904000.0,2350286000.0
Tax Provision,3307700000.0,2576500000.0,1749800000.0,371600000.0
Pretax Income,14368600000.0,9309207000.0,5343704000.0,2721886000.0
Special Income Charges,0.0,11031000.0,2231000.0,-124566000.0
Other Special Charges,,-11031000.0,-2231000.0,124566000.0
Gain On Sale Of Security,,-501754000.0,3547592000.0,3399910000.0
Operating Expense,20319600000.0,19075598000.0,22420712000.0,18724410000.0
Other Operating Expenses,10260000000.0,5528503000.0,6939359000.0,6275707000.0
Depreciation And Amortization In Income Statement,,1191794000.0,1241383000.0,1188816000.0
Depreciation Income Statement,,1191794000.0,1241383000.0,1188816000.0
Selling General And Administration,,188594000.0,136324000.0,245541000.0
Selling And Marketing Expense,,98952000.0,60685000.0,134153000.0
General And Administrative Expense,,89642000.0,75639000.0,111388000.0
Insurance And Claims,,899485000.0,807222000.0,670308000.0
Rent And Landing Fees,,1797273000.0,1742136000.0,1764719000.0
Total Revenue,45077500000.0,34892174000.0,34159385000.0,35150162000.0
Operating Revenue,45077500000.0,34892174000.0,34159385000.0,35150162000.0
