,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,43601250.0,2268000.0,-20885180.0
Tax Rate For Calcs,0.249096,0.2625,0.252,0.2014
Normalized EBITDA,13367100000.0,12853400000.0,8653600000.0,6687800000.0
Total Unusual Items,0.0,166100000.0,9000000.0,-103700000.0
Total Unusual Items Excluding Goodwill,0.0,166100000.0,9000000.0,-103700000.0
Net Income From Continuing Operation Net Minority Interest,8141000000.0,8418400000.0,5152600000.0,3766800000.0
Reconciled Depreciation,1736900000.0,1411200000.0,1467000000.0,1370900000.0
Reconciled Cost Of Revenue,37528800000.0,29317200000.0,21381400000.0,21545300000.0
EBITDA,13367100000.0,13019500000.0,8662600000.0,6584100000.0
EBIT,11630200000.0,11608300000.0,7195600000.0,5213200000.0
Net Interest Income,-788600000.0,-201100000.0,-264200000.0,-477500000.0
Interest Expense,788600000.0,193100000.0,307000000.0,496500000.0
Interest Income,,31800000.0,42800000.0,19000000.0
Normalized Income,8141000000.0,8295901250.0,5145868000.0,3849614820.0
Net Income From Continuing And Discontinued Operation,8141000000.0,8418400000.0,5152600000.0,3766800000.0
Total Expenses,48594800000.0,35607500000.0,27411800000.0,27030600000.0
Rent Expense Supplemental,,19200000.0,36700000.0,29600000.0
Diluted Average Shares,341915162.0,344029424.0,344050000.0,356040210.0
Basic Average Shares,341915162.0,344029424.0,344050000.0,356040210.0
Diluted EPS,23.81,24.47,14.98,10.58
Basic EPS,23.81,24.47,14.98,10.58
Diluted NI Availto Com Stockholders,8141000000.0,8418400000.0,5152600000.0,3766800000.0
Net Income Common Stockholders,8141000000.0,8418400000.0,5152600000.0,3766800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,8141000000.0,8418400000.0,5152600000.0,3766800000.0
Minority Interests,,0.0,0.0,
Net Income Including Noncontrolling Interests,8141000000.0,8418400000.0,5152600000.0,3766800000.0
Net Income Continuous Operations,8141000000.0,8418400000.0,5152600000.0,3766800000.0
Tax Provision,2700600000.0,2996800000.0,1736000000.0,949900000.0
Pretax Income,10841600000.0,11415200000.0,6888600000.0,4716700000.0
Other Non Operating Income Expenses,623200000.0,310300000.0,307100000.0,271100000.0
Special Income Charges,0.0,18400000.0,-26900000.0,-158300000.0
Other Special Charges,,-30100000.0,-2600000.0,-19900000.0
Write Off,,11700000.0,29500000.0,178200000.0
Net Non Operating Interest Income Expense,-788600000.0,-201100000.0,-264200000.0,-477500000.0
Total Other Finance Cost,,39800000.0,,
Interest Expense Non Operating,788600000.0,193100000.0,307000000.0,496500000.0
Interest Income Non Operating,,31800000.0,42800000.0,19000000.0
Operating Income,11007000000.0,11140300000.0,6859600000.0,5027000000.0
Operating Expense,11066000000.0,6290300000.0,6030400000.0,5485300000.0
Other Operating Expenses,6099700000.0,1326300000.0,735900000.0,745000000.0
Depreciation And Amortization In Income Statement,1736900000.0,1411200000.0,1467000000.0,1370900000.0
Amortization,,2500000.0,,
Depreciation Income Statement,1736900000.0,1408700000.0,1467000000.0,1370900000.0
Selling General And Administration,,903900000.0,884100000.0,864500000.0
Selling And Marketing Expense,,725800000.0,585600000.0,533000000.0
General And Administrative Expense,,178100000.0,298500000.0,331500000.0
Rent And Landing Fees,,19200000.0,36700000.0,29600000.0
Gross Profit,22073000000.0,17430600000.0,12890000000.0,10512300000.0
Cost Of Revenue,37528800000.0,29317200000.0,21381400000.0,21545300000.0
Total Revenue,59601800000.0,46747800000.0,34271400000.0,32057600000.0
Operating Revenue,59601800000.0,46747800000.0,34271400000.0,32057600000.0
