,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,12531642.9,10957665.6,17280969.2
Tax Rate For Calcs,0.046344,0.0329,0.0252,0.0412
Normalized EBITDA,3066306000.0,2056211000.0,3001700000.0,2567556000.0
Total Unusual Items,0.0,380901000.0,434828000.0,419441000.0
Total Unusual Items Excluding Goodwill,0.0,380901000.0,434828000.0,419441000.0
Net Income From Continuing Operation Net Minority Interest,2717255000.0,2124519000.0,3104952000.0,2590374000.0
Reconciled Depreciation,205478000.0,209312000.0,222466000.0,256638000.0
Reconciled Cost Of Revenue,5645380000.0,5338126000.0,5405925000.0,4949680000.0
EBITDA,3066306000.0,2437112000.0,3436528000.0,2986997000.0
EBIT,2860828000.0,2227800000.0,3214062000.0,2730359000.0
Net Interest Income,-1884000.0,1677000.0,2473000.0,966000.0
Interest Expense,1884000.0,281000.0,3936000.0,3826000.0
Interest Income,,2951000.0,7523000.0,5751000.0
Normalized Income,2717255000.0,1756149642.9,2681081665.6,2188213969.2
Net Income From Continuing And Discontinued Operation,2717255000.0,2124519000.0,3104952000.0,2590374000.0
Total Expenses,8391788000.0,7865608000.0,7600754000.0,7012622000.0
Rent Expense Supplemental,,13089000.0,9775000.0,8385000.0
Diluted Average Shares,56739507.0,58414050.0,59449642.0,61937206.0
Basic Average Shares,56739507.0,58414050.0,59449642.0,61937206.0
Diluted EPS,47.89,36.37,52.23,41.82
Basic EPS,47.89,36.37,52.23,41.82
Diluted NI Availto Com Stockholders,2717255000.0,2124519000.0,3104952000.0,2590374000.0
Net Income Common Stockholders,2717255000.0,2124519000.0,3104952000.0,2590374000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2717255000.0,2124519000.0,3104952000.0,2590374000.0
Minority Interests,-9194000.0,-3449000.0,-7104000.0,-8671000.0
Net Income Including Noncontrolling Interests,2726449000.0,2127968000.0,3112056000.0,2599045000.0
Net Income Continuous Operations,2726449000.0,2127968000.0,3112056000.0,2599045000.0
Tax Provision,132495000.0,99551000.0,98070000.0,127488000.0
Pretax Income,2858944000.0,2227519000.0,3210126000.0,2726533000.0
Other Non Operating Income Expenses,549063000.0,9967000.0,10569000.0,11190000.0
Special Income Charges,0.0,-16473000.0,-4496000.0,-10426000.0
Other Special Charges,,-1192000.0,819000.0,-4223000.0
Write Off,,17665000.0,3677000.0,14649000.0
Net Non Operating Interest Income Expense,-1884000.0,1677000.0,2473000.0,966000.0
Total Other Finance Cost,,993000.0,1114000.0,959000.0
Interest Expense Non Operating,1884000.0,281000.0,3936000.0,3826000.0
Interest Income Non Operating,,2951000.0,7523000.0,5751000.0
Operating Income,2311765000.0,1834208000.0,2762302000.0,2290841000.0
Operating Expense,2746408000.0,2527482000.0,2194829000.0,2062942000.0
Other Operating Expenses,1557621000.0,508779000.0,391857000.0,364455000.0
Depreciation And Amortization In Income Statement,205478000.0,209312000.0,222466000.0,256638000.0
Amortization,,3982000.0,6794000.0,11036000.0
Depreciation Income Statement,205478000.0,205330000.0,215672000.0,245602000.0
Selling General And Administration,,883494000.0,724753000.0,754365000.0
Selling And Marketing Expense,,801245000.0,658246000.0,680506000.0
General And Administrative Expense,,82249000.0,66507000.0,73859000.0
Rent And Landing Fees,,13089000.0,9775000.0,8385000.0
Gross Profit,5058173000.0,4361690000.0,4957131000.0,4353783000.0
Cost Of Revenue,5645380000.0,5338126000.0,5405925000.0,4949680000.0
Total Revenue,10703553000.0,9699816000.0,10363056000.0,9303463000.0
Operating Revenue,10703553000.0,9699816000.0,10363056000.0,9303463000.0
