,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,27555652.968848,14867937.324965,28756164.509292
Tax Rate For Calcs,0.253319,0.250122,0.225251,0.194742
Normalized EBITDA,1939543000.0,1188697000.0,697813000.0,1060737000.0
Total Unusual Items,0.0,110169000.0,66006000.0,147663000.0
Total Unusual Items Excluding Goodwill,0.0,110169000.0,66006000.0,147663000.0
Net Income From Continuing Operation Net Minority Interest,1229809000.0,873720000.0,495740000.0,842693000.0
Reconciled Depreciation,217606000.0,136611000.0,122302000.0,159677000.0
Reconciled Cost Of Revenue,789772000.0,701668000.0,610715000.0,491463000.0
EBITDA,1939543000.0,1298866000.0,763819000.0,1208400000.0
EBIT,1721937000.0,1162255000.0,641517000.0,1048723000.0
Net Interest Income,-74902000.0,-37369000.0,847000.0,-1832000.0
Interest Expense,74902000.0,-2894000.0,1645000.0,2235000.0
Interest Income,5242000.0,3338000.0,3384000.0,3913000.0
Normalized Income,1229809000.0,791106652.968848,444601937.324965,723786164.509292
Net Income From Continuing And Discontinued Operation,1229809000.0,873720000.0,495740000.0,842693000.0
Total Expenses,3019125000.0,2116953000.0,1535342000.0,1785232000.0
Rent Expense Supplemental,222000.0,709000.0,4533000.0,5433000.0
Diluted Average Shares,111000000.0,111000000.0,111000000.0,111000000.0
Basic Average Shares,111000000.0,111000000.0,111000000.0,111000000.0
Diluted EPS,11.08,7.87,4.47,7.59
Basic EPS,11.08,7.87,4.47,7.59
Diluted NI Availto Com Stockholders,1229809000.0,873720000.0,495740000.0,842693000.0
Net Income Common Stockholders,1229809000.0,873720000.0,495740000.0,842693000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1229809000.0,873720000.0,495740000.0,842693000.0
Net Income Including Noncontrolling Interests,1229809000.0,873720000.0,495740000.0,842693000.0
Net Income Continuous Operations,1229809000.0,873720000.0,495740000.0,842693000.0
Tax Provision,417226000.0,291429000.0,144132000.0,203795000.0
Pretax Income,1647035000.0,1165149000.0,639872000.0,1046488000.0
Other Non Operating Income Expenses,217820000.0,6021000.0,5119000.0,2091000.0
Special Income Charges,0.0,-58791000.0,-1004000.0,18241000.0
Other Special Charges,-8821000.0,58791000.0,1004000.0,-21053000.0
Write Off,,,,2812000.0
Net Non Operating Interest Income Expense,-74902000.0,-37369000.0,847000.0,-1832000.0
Total Other Finance Cost,62172000.0,43601000.0,892000.0,3510000.0
Interest Expense Non Operating,74902000.0,-2894000.0,1645000.0,2235000.0
Interest Income Non Operating,5242000.0,3338000.0,3384000.0,3913000.0
Operating Income,1504117000.0,1087694000.0,566951000.0,890668000.0
Operating Expense,2229353000.0,1415285000.0,924627000.0,1293769000.0
Other Operating Expenses,1316945000.0,579498000.0,294989000.0,506011000.0
Depreciation And Amortization In Income Statement,217606000.0,136611000.0,122302000.0,159677000.0
Amortization,229000.0,219000.0,258000.0,190000.0
Depreciation Income Statement,217606000.0,136392000.0,122044000.0,159487000.0
Selling General And Administration,152519000.0,149059000.0,90226000.0,136967000.0
Selling And Marketing Expense,134647000.0,133098000.0,78012000.0,128434000.0
General And Administrative Expense,17872000.0,15961000.0,12214000.0,8533000.0
Rent And Landing Fees,222000.0,709000.0,4533000.0,5433000.0
Gross Profit,3733470000.0,2502979000.0,1491578000.0,2184437000.0
Cost Of Revenue,789772000.0,701668000.0,610715000.0,491463000.0
Total Revenue,4523242000.0,3204647000.0,2102293000.0,2675900000.0
Operating Revenue,4523242000.0,3204647000.0,2102293000.0,2675900000.0
