,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-17998627.977558,-22065500.667991,13674600.0
Tax Rate For Calcs,0.260385,0.240309,0.374798,0.3
Normalized EBITDA,5969504000.0,2545280000.0,1328484000.0,979902000.0
Total Unusual Items,0.0,-74898000.0,-58873000.0,45582000.0
Total Unusual Items Excluding Goodwill,0.0,-74898000.0,-58873000.0,45582000.0
Net Income From Continuing Operation Net Minority Interest,3840190000.0,1810499000.0,445977000.0,277742000.0
Reconciled Depreciation,777354000.0,597245000.0,556278000.0,552584000.0
Reconciled Cost Of Revenue,30068196000.0,21817746000.0,11463322000.0,10293105000.0
EBITDA,5969504000.0,2470382000.0,1269611000.0,1025484000.0
EBIT,5192150000.0,1873137000.0,713333000.0,472900000.0
Net Interest Income,0.0,501683000.0,601532000.0,648275000.0
Interest Expense,0.0,854000.0,0.0,1068000.0
Interest Income,679126000.0,502537000.0,602342000.0,654328000.0
Normalized Income,3840190000.0,1867398372.022442,482784499.332009,245834600.0
Net Income From Continuing And Discontinued Operation,3840190000.0,1810499000.0,445977000.0,277742000.0
Total Expenses,43477546000.0,29284481000.0,16646934000.0,15505997000.0
Rent Expense Supplemental,29009000.0,10824000.0,10482000.0,8742000.0
Diluted Average Shares,10683000.0,10683000.0,10683000.0,10683000.0
Basic Average Shares,10683000.0,10683000.0,10683000.0,10683000.0
Diluted EPS,359.47,169.47,41.75,26.0
Basic EPS,359.47,169.47,41.75,26.0
Diluted NI Availto Com Stockholders,3840190000.0,1810499000.0,445977000.0,277742000.0
Net Income Common Stockholders,3840190000.0,1810499000.0,445977000.0,277742000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3840190000.0,1810499000.0,445977000.0,277742000.0
Net Income Including Noncontrolling Interests,3840190000.0,1810499000.0,445977000.0,277742000.0
Net Income Continuous Operations,3840190000.0,1810499000.0,445977000.0,277742000.0
Tax Provision,1351960000.0,572704000.0,267356000.0,194090000.0
Pretax Income,5192150000.0,2383203000.0,713333000.0,471832000.0
Other Non Operating Income Expenses,1478202000.0,8896000.0,3860000.0,43878000.0
Special Income Charges,0.0,-162518000.0,-127817000.0,4583000.0
Other Special Charges,-232263000.0,-9180000.0,-59338000.0,-91545000.0
Write Off,,,-33999000.0,65986000.0
Restructuring And Mergern Acquisition,0.0,171698000.0,221154000.0,20976000.0
Net Non Operating Interest Income Expense,0.0,501683000.0,601532000.0,648275000.0
Total Other Finance Cost,,854000.0,810000.0,4985000.0
Interest Expense Non Operating,0.0,854000.0,0.0,1068000.0
Interest Income Non Operating,679126000.0,502537000.0,602342000.0,654328000.0
Operating Income,3713948000.0,1873137000.0,115564000.0,-375022000.0
Operating Expense,13409350000.0,7466735000.0,5183612000.0,5212892000.0
Other Operating Expenses,8833012000.0,3649967000.0,2289863000.0,2557321000.0
Depreciation And Amortization In Income Statement,777354000.0,597245000.0,556278000.0,552584000.0
Amortization,48213000.0,39512000.0,49684000.0,41760000.0
Depreciation Income Statement,777354000.0,557733000.0,506594000.0,510824000.0
Research And Development,518416000.0,220480000.0,221962000.0,277132000.0
Selling General And Administration,458006000.0,387271000.0,224451000.0,25631000.0
Selling And Marketing Expense,414056000.0,340028000.0,178986000.0,
General And Administrative Expense,43950000.0,47243000.0,45465000.0,25631000.0
Rent And Landing Fees,29009000.0,10824000.0,10482000.0,8742000.0
Gross Profit,17123298000.0,9339872000.0,5299176000.0,4837870000.0
Cost Of Revenue,30068196000.0,21817746000.0,11463322000.0,10293105000.0
Total Revenue,47191494000.0,31157618000.0,16762498000.0,15130975000.0
Operating Revenue,47191494000.0,31157618000.0,16762498000.0,15130975000.0
