,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-7818600000.0,230139225.148379,-1934190000.0
Tax Rate For Calcs,0.375162,0.4,0.267542,0.3
Normalized EBITDA,18714800000.0,23484100000.0,25953200000.0,29013200000.0
Total Unusual Items,0.0,-19546500000.0,860200000.0,-6447300000.0
Total Unusual Items Excluding Goodwill,0.0,-19546500000.0,860200000.0,-6447300000.0
Net Income From Continuing Operation Net Minority Interest,4300800000.0,-15280400000.0,12165300000.0,-3994900000.0
Reconciled Depreciation,8806900000.0,16587100000.0,8874100000.0,11595800000.0
Reconciled Cost Of Revenue,67797600000.0,70880500000.0,59165500000.0,59721500000.0
EBITDA,18714800000.0,3937600000.0,26813400000.0,22565900000.0
EBIT,9907900000.0,-12649500000.0,17939300000.0,10970100000.0
Net Interest Income,-2743000000.0,-467700000.0,-1009500000.0,-2339300000.0
Interest Expense,2743000000.0,1072600000.0,1174800000.0,3397800000.0
Interest Income,324300000.0,960000000.0,396900000.0,1290500000.0
Normalized Income,4300800000.0,-3552500000.0,11535239225.148378,518210000.0
Net Income From Continuing And Discontinued Operation,4300800000.0,-15280400000.0,12165300000.0,-2693900000.0
Total Expenses,154301000000.0,156421900000.0,131877400000.0,137544400000.0
Rent Expense Supplemental,702700000.0,680800000.0,671700000.0,686800000.0
Diluted Average Shares,456946986.0,455240297.0,455236627.0,455071369.0
Basic Average Shares,454692962.0,454042888.0,453280606.0,452713439.0
Diluted EPS,9.41,-33.65,26.72,-5.95
Basic EPS,9.46,-33.65,26.84,-5.95
Diluted NI Availto Com Stockholders,4300800000.0,-15280400000.0,12165300000.0,-2693900000.0
Net Income Common Stockholders,4300800000.0,-15280400000.0,12165300000.0,-2693900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4300800000.0,-15280400000.0,12165300000.0,-2693900000.0
Minority Interests,-176100000.0,-186800000.0,-114000000.0,3900000.0
Net Income Including Noncontrolling Interests,4476900000.0,-15093600000.0,12279300000.0,-2697800000.0
Net Income Discontinuous Operations,,,0.0,1301000000.0
Net Income Continuous Operations,4476900000.0,-15093600000.0,12279300000.0,-3998800000.0
Tax Provision,2688000000.0,1371500000.0,4485200000.0,11571100000.0
Pretax Income,7164900000.0,-13722100000.0,16764500000.0,7572300000.0
Other Non Operating Income Expenses,733600000.0,98500000.0,417300000.0,410400000.0
Special Income Charges,0.0,-19904900000.0,329500000.0,-7515200000.0
Other Special Charges,249600000.0,19858700000.0,-756400000.0,7507100000.0
Write Off,34300000.0,46200000.0,426900000.0,1300000.0
Impairment Of Capital Assets,,,0.0,6800000.0
Net Non Operating Interest Income Expense,-2743000000.0,-467700000.0,-1009500000.0,-2339300000.0
Total Other Finance Cost,340900000.0,355100000.0,231600000.0,232000000.0
Interest Expense Non Operating,2743000000.0,1072600000.0,1174800000.0,3397800000.0
Interest Income Non Operating,324300000.0,960000000.0,396900000.0,1290500000.0
Operating Income,8398800000.0,5506000000.0,17392500000.0,13883600000.0
Operating Expense,86503400000.0,85541400000.0,72711900000.0,77822900000.0
Other Operating Expenses,50541800000.0,18901600000.0,16872600000.0,19273100000.0
Depreciation And Amortization In Income Statement,8806900000.0,16587100000.0,8874100000.0,9702200000.0
Depreciation Income Statement,8806900000.0,16587100000.0,8874100000.0,9702200000.0
Selling General And Administration,21239100000.0,18966200000.0,17725100000.0,19021700000.0
Selling And Marketing Expense,10751300000.0,9811900000.0,9091100000.0,9640000000.0
General And Administrative Expense,10487800000.0,9154300000.0,8634000000.0,9381700000.0
Rent And Landing Fees,702700000.0,680800000.0,671700000.0,686800000.0
Gross Profit,94902200000.0,91047400000.0,90104400000.0,91706500000.0
Cost Of Revenue,67797600000.0,70880500000.0,59165500000.0,59721500000.0
Total Revenue,162699800000.0,161927900000.0,149269900000.0,151428000000.0
Operating Revenue,162699800000.0,161927900000.0,149269900000.0,151428000000.0
