,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-146472285.787657,57102681.003214,377098154.452223,2258466.186988
Tax Rate For Calcs,0.261278,0.257567,0.164708,0.322224
Total Unusual Items,-560600000.0,221700000.0,2289500000.0,7009000.0
Total Unusual Items Excluding Goodwill,-560600000.0,221700000.0,2289500000.0,7009000.0
Net Income From Continuing Operation Net Minority Interest,20724000000.0,11368700000.0,7732100000.0,10751453000.0
Reconciled Depreciation,2259600000.0,1518800000.0,1505200000.0,1468738000.0
Net Interest Income,69352100000.0,64844900000.0,66366400000.0,59850290000.0
Interest Expense,50943000000.0,43735900000.0,50671500000.0,54725838000.0
Interest Income,120295100000.0,108580800000.0,117037900000.0,114576128000.0
Normalized Income,21138127714.21234,11204102681.003214,5819698154.452223,10746702466.186989
Net Income From Continuing And Discontinued Operation,20724000000.0,11368700000.0,7732100000.0,10751453000.0
Diluted Average Shares,1234357052.0,1233745604.0,1108279000.0,899590545.0
Basic Average Shares,1233147111.0,1232287519.0,1105895353.0,898259114.0
Diluted EPS,16.79,9.21,6.98,11.95
Basic EPS,16.81,9.23,6.99,11.97
Diluted NI Availto Com Stockholders,20724000000.0,11368700000.0,7732100000.0,10751453000.0
Net Income Common Stockholders,20724000000.0,11368700000.0,7732100000.0,10751453000.0
Net Income,20724000000.0,11368700000.0,7732100000.0,10751453000.0
Minority Interests,12000000.0,-134700000.0,-70700000.0,-106724000.0
Net Income Including Noncontrolling Interests,20712000000.0,11503400000.0,7802800000.0,10858177000.0
Net Income Continuous Operations,20712000000.0,11503400000.0,7802800000.0,10858177000.0
Tax Provision,7325600000.0,3990800000.0,1538600000.0,5162120000.0
Pretax Income,28037600000.0,15494200000.0,9341400000.0,16020297000.0
Special Income Charges,-560600000.0,221700000.0,2289500000.0,7009000.0
Other Special Charges,-29100000.0,-221700000.0,-2289500000.0,-7009000.0
Write Off,,,25200000.0,5222000.0
Gain On Sale Of Security,254100000.0,801700000.0,665000000.0,509366000.0
Operating Expense,34537500000.0,26886100000.0,21325500000.0,26435915000.0
Other Operating Expenses,11124600000.0,5418000000.0,2964000000.0,4039321000.0
Depreciation And Amortization In Income Statement,2259600000.0,1519900000.0,1505100000.0,1468738000.0
Depreciation Income Statement,2259600000.0,1519900000.0,1505100000.0,1468738000.0
Selling General And Administration,3891000000.0,3057800000.0,2238300000.0,3853182000.0
Selling And Marketing Expense,2130800000.0,1330000000.0,882800000.0,2033869000.0
General And Administrative Expense,1760200000.0,1727800000.0,1355500000.0,1819313000.0
Insurance And Claims,706600000.0,532900000.0,530500000.0,533957000.0
Rent And Landing Fees,167700000.0,184400000.0,189500000.0,385735000.0
Total Revenue,74528400000.0,68600100000.0,67979000000.0,65194646000.0
Operating Revenue,74528400000.0,68600100000.0,67979000000.0,65194646000.0
