,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,18159568.42703,329561200.0,4423523.849809,-10625512.482369
Tax Rate For Calcs,0.026784,0.4,0.081403,0.008637
Normalized EBITDA,609700000.0,298628000.0,-668682000.0,-592140000.0
Total Unusual Items,678000000.0,823903000.0,54341000.0,-1230280000.0
Total Unusual Items Excluding Goodwill,678000000.0,823903000.0,54341000.0,-1230280000.0
Net Income From Continuing Operation Net Minority Interest,1014100000.0,1544903000.0,-717388000.0,-1934117000.0
Reconciled Depreciation,122000000.0,65064000.0,69875000.0,77070000.0
Reconciled Cost Of Revenue,5137800000.0,3031370000.0,1172953000.0,4830494000.0
EBITDA,1287700000.0,1122531000.0,-614341000.0,-1822420000.0
EBIT,1165700000.0,1057467000.0,-684216000.0,-1899490000.0
Net Interest Income,-109100000.0,43967000.0,20830000.0,56526000.0
Interest Expense,109100000.0,64662000.0,93568000.0,62958000.0
Interest Income,370632000.0,109112000.0,130489000.0,132819000.0
Normalized Income,354259568.42703,1050561200.0,-767305476.150191,-714462512.482369
Net Income From Continuing And Discontinued Operation,1014100000.0,1544903000.0,-717388000.0,-1934117000.0
Total Expenses,7289200000.0,4749166000.0,2662743000.0,6754609000.0
Rent Expense Supplemental,35126000.0,77473000.0,50545000.0,63822000.0
Diluted Average Shares,154875916.0,155097077.0,154120748.0,154428216.0
Basic Average Shares,154576310.0,154295260.0,154120748.0,154069401.0
Diluted EPS,6.55,9.96,-4.65,-12.553333
Basic EPS,6.56,10.01,-4.65,-12.553333
Diluted NI Availto Com Stockholders,1014100000.0,1544903000.0,-717388000.0,-1934117000.0
Net Income Common Stockholders,1014100000.0,1544903000.0,-717388000.0,-1934117000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1014100000.0,1544903000.0,-717388000.0,-1934117000.0
Minority Interests,-14200000.0,-72200000.0,-2918000.0,11382000.0
Net Income Including Noncontrolling Interests,1028300000.0,1617103000.0,-714470000.0,-1945499000.0
Net Income Continuous Operations,1028300000.0,1617103000.0,-714470000.0,-1945499000.0
Tax Provision,28300000.0,-624298000.0,-63314000.0,-16949000.0
Pretax Income,1056600000.0,992805000.0,-777784000.0,-1962448000.0
Other Non Operating Income Expenses,529500000.0,37309000.0,30867000.0,101370000.0
Special Income Charges,678000000.0,951787000.0,229000.0,-1345780000.0
Other Special Charges,-340027000.0,16636000.0,-229000.0,1345780000.0
Write Off,-338181000.0,-968423000.0,,
Net Non Operating Interest Income Expense,-109100000.0,43967000.0,20830000.0,56526000.0
Total Other Finance Cost,7127000.0,483000.0,16091000.0,13335000.0
Interest Expense Non Operating,109100000.0,64662000.0,93568000.0,62958000.0
Interest Income Non Operating,370632000.0,109112000.0,130489000.0,132819000.0
Operating Income,-1223100000.0,-814999000.0,-1004959000.0,-645252000.0
Operating Expense,2151400000.0,1717796000.0,1489790000.0,1924115000.0
Other Operating Expenses,1237700000.0,366636000.0,299431000.0,416737000.0
Depreciation And Amortization In Income Statement,122000000.0,65064000.0,69875000.0,77070000.0
Depreciation Income Statement,122000000.0,65064000.0,69875000.0,77070000.0
Selling General And Administration,582506000.0,373971000.0,317573000.0,544789000.0
Selling And Marketing Expense,350155000.0,225906000.0,183323000.0,338827000.0
General And Administrative Expense,232351000.0,148065000.0,134250000.0,205962000.0
Rent And Landing Fees,35126000.0,77473000.0,50545000.0,63822000.0
Gross Profit,928300000.0,902797000.0,484831000.0,1278863000.0
Cost Of Revenue,5137800000.0,3031370000.0,1172953000.0,4830494000.0
Total Revenue,6066100000.0,3934167000.0,1657784000.0,6109357000.0
Operating Revenue,6066100000.0,3934167000.0,1657784000.0,6109357000.0
