,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,1413136.935416,347249.004953,1474759.104816
Tax Rate For Calcs,0.4,0.171414,0.025716,0.061819
Normalized EBITDA,1937000000.0,-38445000.0,-57277000.0,-70439000.0
Total Unusual Items,-7000.0,8244000.0,13503000.0,23856000.0
Total Unusual Items Excluding Goodwill,-7000.0,8244000.0,13503000.0,23856000.0
Net Income From Continuing Operation Net Minority Interest,1952900000.0,1427135000.0,88122000.0,1799427000.0
Reconciled Depreciation,20200000.0,19661000.0,19340000.0,18155000.0
Reconciled Cost Of Revenue,95800000.0,83055000.0,87695000.0,82897000.0
EBITDA,1937000000.0,-30201000.0,-43774000.0,-46583000.0
EBIT,1916800000.0,-49862000.0,-63114000.0,-64738000.0
Net Interest Income,10035000.0,177338000.0,142239000.0,164553000.0
Interest Income,10035000.0,177338000.0,142239000.0,164553000.0
Normalized Income,1952900000.0,1420304136.935416,74966249.004953,1777045759.104816
Net Income From Continuing And Discontinued Operation,1952900000.0,1427135000.0,88122000.0,1799427000.0
Total Expenses,246700000.0,219065000.0,215908000.0,218493000.0
Rent Expense Supplemental,45000.0,,,
Diluted Average Shares,11428568.0,11428568.0,11428568.0,11428568.0
Basic Average Shares,11428568.0,11428568.0,11428568.0,11428568.0
Diluted EPS,170.88,124.87,7.71,157.45
Basic EPS,170.88,124.87,7.71,157.45
Diluted NI Availto Com Stockholders,1952900000.0,1427135000.0,88122000.0,1799427000.0
Net Income Common Stockholders,1952900000.0,1427135000.0,88122000.0,1799427000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1952900000.0,1427135000.0,88122000.0,1799427000.0
Net Income Including Noncontrolling Interests,1952900000.0,1427135000.0,88122000.0,1799427000.0
Net Income Continuous Operations,1952900000.0,1427135000.0,88122000.0,1799427000.0
Tax Provision,-22100000.0,295239000.0,2326000.0,118569000.0
Pretax Income,1930800000.0,1722374000.0,90448000.0,1917996000.0
Other Non Operating Income Expenses,14000000.0,-2955000.0,-2180000.0,-2106000.0
Special Income Charges,-7000.0,100000.0,741000.0,-139000.0
Other Special Charges,1000.0,-106000.0,-747000.0,133000.0
Impairment Of Capital Assets,6000.0,6000.0,6000.0,6000.0
Net Non Operating Interest Income Expense,10035000.0,177338000.0,142239000.0,164553000.0
Interest Income Non Operating,10035000.0,177338000.0,142239000.0,164553000.0
Operating Income,1916800000.0,-49862000.0,-63114000.0,-64738000.0
Operating Expense,150900000.0,136010000.0,128213000.0,135596000.0
Other Operating Expenses,52900000.0,26694000.0,22096000.0,23523000.0
Depreciation And Amortization In Income Statement,20200000.0,19661000.0,19334000.0,18149000.0
Depreciation Income Statement,20200000.0,19661000.0,19334000.0,18149000.0
Selling General And Administration,4342000.0,5000000.0,4332000.0,5183000.0
General And Administrative Expense,4342000.0,5000000.0,4332000.0,5183000.0
Rent And Landing Fees,45000.0,,,
Gross Profit,2067700000.0,86148000.0,65099000.0,70858000.0
Cost Of Revenue,95800000.0,83055000.0,87695000.0,82897000.0
Total Revenue,2163500000.0,169203000.0,152794000.0,153755000.0
Operating Revenue,2163500000.0,169203000.0,152794000.0,153755000.0
