,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,65100000.0,77400000.0,4818049.490539
Tax Rate For Calcs,0.241538,0.217,0.215,0.240902
Normalized EBITDA,19540000000.0,17290000000.0,16500000000.0,15550000000.0
Total Unusual Items,780000000.0,300000000.0,360000000.0,20000000.0
Total Unusual Items Excluding Goodwill,780000000.0,300000000.0,360000000.0,20000000.0
Net Income From Continuing Operation Net Minority Interest,13020000000.0,12250000000.0,11720000000.0,10210000000.0
Reconciled Depreciation,1550000000.0,1390000000.0,1390000000.0,1500000000.0
Reconciled Cost Of Revenue,53510000000.0,57050000000.0,45280000000.0,40230000000.0
EBITDA,19540000000.0,17590000000.0,16860000000.0,15570000000.0
EBIT,17990000000.0,16200000000.0,15470000000.0,14070000000.0
Net Interest Income,-560000000.0,200000000.0,250000000.0,220000000.0
Interest Expense,560000000.0,190000000.0,240000000.0,330000000.0
Interest Income,490000000.0,590000000.0,590000000.0,720000000.0
Normalized Income,13020000000.0,12015100000.0,11437400000.0,10194818049.49054
Net Income From Continuing And Discontinued Operation,13020000000.0,12250000000.0,11720000000.0,10210000000.0
Total Expenses,81090000000.0,79110000000.0,65380000000.0,59230000000.0
Rent Expense Supplemental,200000000.0,200000000.0,200000000.0,160000000.0
Diluted Average Shares,,1291346731.0,1291039741.0,1291227082.0
Basic Average Shares,,1291346731.0,1290125697.0,1289891915.0
Diluted EPS,,9.486221,9.08,7.91
Basic EPS,,9.486221,9.08,7.91
Diluted NI Availto Com Stockholders,13020000000.0,12250000000.0,11720000000.0,10210000000.0
Net Income Common Stockholders,13020000000.0,12250000000.0,11720000000.0,10210000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,13020000000.0,12250000000.0,11720000000.0,10210000000.0
Minority Interests,-200000000.0,-300000000.0,-270000000.0,-220000000.0
Net Income Including Noncontrolling Interests,13220000000.0,12550000000.0,11990000000.0,10430000000.0
Net Income Continuous Operations,13220000000.0,12550000000.0,11990000000.0,10430000000.0
Tax Provision,4210000000.0,3460000000.0,3240000000.0,3310000000.0
Pretax Income,17430000000.0,16010000000.0,15230000000.0,13740000000.0
Other Non Operating Income Expenses,1440000000.0,120000000.0,130000000.0,130000000.0
Special Income Charges,280000000.0,0.0,120000000.0,-310000000.0
Other Special Charges,-280000000.0,,-130000000.0,290000000.0
Write Off,,0.0,,
Impairment Of Capital Assets,,0.0,10000000.0,20000000.0
Net Non Operating Interest Income Expense,-560000000.0,200000000.0,250000000.0,220000000.0
Total Other Finance Cost,240000000.0,200000000.0,100000000.0,170000000.0
Interest Expense Non Operating,560000000.0,190000000.0,240000000.0,330000000.0
Interest Income Non Operating,490000000.0,590000000.0,590000000.0,720000000.0
Operating Income,16550000000.0,15410000000.0,14530000000.0,13310000000.0
Operating Expense,27580000000.0,22060000000.0,20100000000.0,19000000000.0
Other Operating Expenses,11080000000.0,6520000000.0,5800000000.0,5480000000.0
Depreciation And Amortization In Income Statement,1550000000.0,1390000000.0,1380000000.0,1380000000.0
Amortization,80000000.0,70000000.0,60000000.0,30000000.0
Depreciation Income Statement,1550000000.0,1320000000.0,1320000000.0,1350000000.0
Selling General And Administration,8420000000.0,8690000000.0,7590000000.0,7810000000.0
Selling And Marketing Expense,8420000000.0,7960000000.0,6980000000.0,7270000000.0
General And Administrative Expense,1010000000.0,730000000.0,610000000.0,540000000.0
Rent And Landing Fees,200000000.0,200000000.0,200000000.0,160000000.0
Gross Profit,44130000000.0,37470000000.0,34630000000.0,32310000000.0
Cost Of Revenue,53510000000.0,57050000000.0,45280000000.0,40230000000.0
Total Revenue,97640000000.0,94520000000.0,79910000000.0,72540000000.0
Operating Revenue,97640000000.0,94520000000.0,79910000000.0,72540000000.0
